Destination,SERIES,2018,2019,Average
Angola,TFR,19.0,150.0,84.5
Antigua and Barbuda,TFR,4.0,0.0,2.0
Armenia,TFR,0.0,0.0,0.0
Australia,VFR,80.0,0.0,40.0
Azerbaijan,VFR,6.0,104.0,55.0
Bahamas,TFR,6.0,12.0,9.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,7.0,0.0,3.5
Belarus,VFN,3.0,27.0,15.0
Belgium,TCER,755.0,0.0,377.5
Benin,TFR,33.0,0.0,16.5
Bhutan,TFN,0.0,12.0,6.0
Botswana,TFR,7681.0,0.0,3840.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,101.0,59.0,80.0
Canada,TFR,385.0,0.0,192.5
Cayman Islands,TFR,15.0,0.0,7.5
China,VFN,564.0,0.0,282.0
Colombia,TFR,7.0,0.0,3.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,2.0,7.0,4.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,19.0,0.0,9.5
Egypt,VFN,202.0,0.0,101.0
Finland,TCER,226.0,220.0,223.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,560.0,0.0,280.0
Indonesia,VFN,332.0,274.0,303.0
Israel,TFR,133.0,0.0,66.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,54.0,154.0,104.0
Jordan,TFN,6.0,0.0,3.0
Kazakhstan,VFR,1.0,1.0,1.0
"Korea, Republic of",VFN,119.0,83.0,101.0
Kuwait,VFN,76.0,0.0,38.0
Latvia,TCER,624.0,397.0,510.5
Lebanon,TFN,3.0,6.0,4.5
Lesotho,VFR,4897.0,5439.0,5168.0
Madagascar,TFN,42.0,0.0,21.0
Malaysia,TFN,167.0,177.0,172.0
Maldives,TFN,17.0,0.0,8.5
Mali,TFR,36.0,0.0,18.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,424.0,435.0,429.5
Mexico,TFR,198.0,0.0,99.0
Mongolia,TFN,1.0,1.0,1.0
Morocco,TFN,84.0,0.0,42.0
Mozambique,VFR,34645.0,25463.0,30054.0
New Zealand,VFR,68.0,42.0,55.0
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,210.0,0.0,105.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,95.0,51.0,73.0
Seychelles,TFR,92.0,55.0,73.5
Sierra Leone,TFR,1.0,0.0,0.5
South Africa,TFR,883735.0,917631.0,900683.0
Sri Lanka,TFR,16.0,3.0,9.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1832.0,0.0,916.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,438.0,855.0,646.5
Trinidad and Tobago,TFN,7.0,0.0,3.5
Turkey,TFN,97.0,0.0,48.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,72.0,0.0,36.0
United Arab Emirates,THSN,3403.0,0.0,1701.5
United States of America,TFR,1629.0,1611.0,1620.0
Zimbabwe,VFR,52909.0,0.0,26454.5
