Destination,SERIES,2018,2019,Average
Angola,TFR,401.0,271.0,336.0
Antigua and Barbuda,TFR,2.0,0.0,1.0
Armenia,TFR,56.0,0.0,28.0
Australia,VFR,470.0,0.0,235.0
Azerbaijan,VFR,242.0,212.0,227.0
Bahamas,TFR,5.0,3.0,4.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,10.0,0.0,5.0
Belarus,VFN,42.0,42.0,42.0
Belgium,TCER,4354.0,0.0,2177.0
Benin,TFR,114.0,0.0,57.0
Bhutan,TFN,0.0,19.0,9.5
Botswana,TFR,341.0,0.0,170.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,124.0,278.0,201.0
Canada,TFR,4860.0,0.0,2430.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,51890.0,0.0,25945.0
Colombia,TFR,260.0,0.0,130.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,46.0,65.0,55.5
Dominica,TFR,4.0,0.0,2.0
Ecuador,VFR,50.0,0.0,25.0
Egypt,VFN,9632.0,0.0,4816.0
El Salvador,TFN,55.0,61.0,58.0
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,599.0,718.0,658.5
Grenada,TFN,4.0,4.0,4.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,24277.0,0.0,12138.5
Indonesia,VFN,528.0,577.0,552.5
"Iran, Islamic Republic of",VFN,820.0,0.0,410.0
Israel,TFR,5145.0,0.0,2572.5
Italy,TFN,930.0,335.0,632.5
Japan,VFN,731.0,997.0,864.0
Jordan,TFN,2500.0,0.0,1250.0
Kazakhstan,VFR,28.0,40.0,34.0
"Korea, Republic of",VFN,4280.0,7107.0,5693.5
Kuwait,VFN,22068.0,0.0,11034.0
Lebanon,TFN,80767.0,23134.0,51950.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,105.0,0.0,52.5
Malaysia,TFN,638.0,456.0,547.0
Maldives,TFN,104.0,0.0,52.0
Mali,TFR,1511.0,0.0,755.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,309.0,318.0,313.5
Mexico,TFR,227.0,0.0,113.5
Mongolia,TFN,66.0,57.0,61.5
Morocco,TFN,1116.0,0.0,558.0
New Zealand,VFR,96.0,81.0,88.5
Nicaragua,TFN,10.0,10.0,10.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,137.0,0.0,68.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,46.0,0.0,23.0
Paraguay,TFN,2.0,0.0,1.0
Poland,TCER,321.0,0.0,160.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,36416.0,17398.0,26907.0
Seychelles,TFR,1425.0,1608.0,1516.5
Sierra Leone,TFR,64.0,0.0,32.0
South Africa,TFR,9031.0,6705.0,7868.0
Sri Lanka,TFR,207.0,139.0,173.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,2408.0,0.0,1204.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,46445.0,39848.0,43146.5
Trinidad and Tobago,TFN,11.0,18.0,14.5
Turkey,TFN,9005.0,0.0,4502.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,247.0,0.0,123.5
United Arab Emirates,THSN,10381.0,67956.0,39168.5
United States of America,TFR,22328.0,21890.0,22109.0
Uzbekistan,VFR,18.0,0.0,9.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
