Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,4.0,0.0,2.0
Armenia,TFR,6.0,0.0,3.0
Australia,VFR,45610.0,0.0,22805.0
Azerbaijan,VFR,7.0,6.0,6.5
Bahamas,TFR,29.0,30.0,29.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,22.0,0.0,11.0
Belarus,VFN,0.0,1.0,0.5
Belgium,TCER,115.0,0.0,57.5
Benin,TFR,24.0,0.0,12.0
Bhutan,TFN,1.0,8.0,4.5
Botswana,TFR,27.0,0.0,13.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,6.0,0.0,3.0
Cambodia,TFR,262.0,0.0,131.0
Canada,TFR,1457.0,0.0,728.5
Cayman Islands,TFR,1.0,0.0,0.5
China,VFN,5078.0,0.0,2539.0
Colombia,TFR,14.0,0.0,7.0
Costa Rica,TFN,25.0,41.0,33.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,8.0,0.0,4.0
Finland,TCER,32.0,102.0,67.0
French Polynesia,TFR,109.0,75.0,92.0
Grenada,TFN,6.0,0.0,3.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,4969.0,0.0,2484.5
Indonesia,VFN,1158.0,1507.0,1332.5
Israel,TFR,1263.0,0.0,631.5
Italy,TFN,703.0,0.0,351.5
Japan,VFN,1520.0,2038.0,1779.0
Jordan,TFN,78.0,0.0,39.0
Kazakhstan,VFR,16.0,14.0,15.0
Kiribati,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,3116.0,2832.0,2974.0
Kuwait,VFN,43.0,0.0,21.5
Lebanon,TFN,1372.0,603.0,987.5
Malaysia,TFN,2617.0,2892.0,2754.5
Maldives,TFN,17.0,0.0,8.5
Mali,TFR,53.0,0.0,26.5
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,36.0,26.0,31.0
Mexico,TFR,107.0,0.0,53.5
Mongolia,TFN,13.0,68.0,40.5
Morocco,TFN,250.0,0.0,125.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,30876.0,33630.0,32253.0
Nicaragua,TFN,0.0,2.0,1.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,74.0,0.0,37.0
Panama,VFR,31.0,0.0,15.5
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,932.0,0.0,466.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Samoa,VFR,3869.0,4161.0,4015.0
Saudi Arabia,TFN,0.0,85.0,42.5
Seychelles,TFR,3.0,3.0,3.0
Singapore,VFR,0.0,0.0,0.0
Solomon Islands,TFR,1850.0,1838.0,1844.0
South Africa,TFR,143.0,170.0,156.5
Sri Lanka,TFR,159.0,144.0,151.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,1.0,0.0,0.5
"Tanzania, United Republic of",VFR,86.0,0.0,43.0
Thailand,TFR,0.0,0.0,0.0
Tonga,TFR,2153.0,0.0,1076.5
Trinidad and Tobago,TFN,23.0,18.0,20.5
Turkey,TFN,137.0,0.0,68.5
Tuvalu,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,12.0,0.0,6.0
United Arab Emirates,THSN,238.0,1414.0,826.0
United States of America,TFR,8224.0,8346.0,8285.0
Uzbekistan,VFR,5.0,0.0,2.5
Vanuatu,TFR,0.0,0.0,0.0
