Destination,SERIES,2018,2019,Average
Albania,VFN,12111.0,14302.0,13206.5
Algeria,VFN,1293.0,776.0,1034.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,91.0,99.0,95.0
Antigua and Barbuda,TFR,111.0,0.0,55.5
Armenia,TFR,1331.0,0.0,665.5
Aruba,TFR,519.0,0.0,259.5
Australia,VFR,16890.0,0.0,8445.0
Austria,TCER,119967.0,120183.0,120075.0
Azerbaijan,VFR,1694.0,2146.0,1920.0
Bahamas,TFR,677.0,654.0,665.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,577.0,0.0,288.5
Belarus,VFN,6047.0,6527.0,6287.0
Belgium,TCER,35544.0,0.0,17772.0
Benin,TFR,94.0,0.0,47.0
Bhutan,TFN,169.0,226.0,197.5
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,2401.0,0.0,1200.5
Botswana,TFR,716.0,0.0,358.0
Brazil,TFR,8033.0,6991.0,7512.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,175.0,152.0,163.5
Bulgaria,TCER,31874.0,27524.0,29699.0
Cambodia,TFR,7375.0,0.0,3687.5
Canada,TFR,16339.0,0.0,8169.5
Cayman Islands,TFR,153.0,0.0,76.5
Chile,TFN,3432.0,3533.0,3482.5
China,VFN,57967.0,0.0,28983.5
Colombia,TFR,2027.0,0.0,1013.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,113.0,116.0,114.5
Costa Rica,TFN,1824.0,1832.0,1828.0
Croatia,TCER,112709.0,118756.0,115732.5
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,542.0,0.0,271.0
Cyprus,TFR,26507.0,0.0,13253.5
Czech Republic,TCEN,78305.0,72192.0,75248.5
Denmark,TCER,114868.0,99207.0,107037.5
Dominica,TFR,113.0,0.0,56.5
Dominican Republic,TFR,4214.0,4675.0,4444.5
Ecuador,VFR,919.0,0.0,459.5
Egypt,VFN,9948.0,0.0,4974.0
El Salvador,TFN,494.0,181.0,337.5
Estonia,TCER,834993.0,0.0,417496.5
Ethiopia,TFR,3481.0,0.0,1740.5
Fiji,TFR,631.0,620.0,625.5
