Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,5.0,0.0,2.5
Australia,VFR,0.0,0.0,0.0
Barbados,TFR,39.0,0.0,19.5
Belgium,TCER,203.0,0.0,101.5
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,13.0,4.0,8.5
Canada,TFR,323.0,0.0,161.5
Cayman Islands,TFR,0.0,0.0,0.0
Colombia,TFR,3.0,0.0,1.5
Costa Rica,TFN,0.0,0.0,0.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,28.0,0.0,14.0
Ecuador,VFR,20.0,0.0,10.0
Finland,TCER,38.0,25.0,31.5
Grenada,TFN,5.0,27.0,16.0
Guyana,TFR,1567.0,1261.0,1414.0
Honduras,TFN,0.0,0.0,0.0
Indonesia,VFN,5.0,3.0,4.0
Italy,TFN,0.0,19.0,9.5
Kuwait,VFN,0.0,0.0,0.0
Maldives,TFN,0.0,0.0,0.0
Martinique,TFR,15054.0,0.0,7527.0
Mauritius,TFR,86.0,138.0,112.0
Mexico,TFR,389.0,0.0,194.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,1.0,13.0,7.0
Panama,VFR,4.0,0.0,2.0
Poland,TCER,18.0,0.0,9.0
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,0.0,0.0,0.0
South Africa,TFR,0.0,0.0,0.0
Sri Lanka,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,6.0,0.0,3.0
United States of America,TFR,1910.0,2058.0,1984.0
