Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Australia,VFR,2950.0,0.0,1475.0
Azerbaijan,VFR,0.0,0.0,0.0
Bahamas,TFR,10.0,8.0,9.0
Barbados,TFR,3.0,0.0,1.5
Belgium,TCER,131.0,0.0,65.5
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,1030.0,0.0,515.0
Cayman Islands,TFR,0.0,0.0,0.0
Colombia,TFR,6.0,0.0,3.0
Cook Islands,TFR,503.0,446.0,474.5
Ecuador,VFR,48.0,0.0,24.0
Finland,TCER,22.0,23.0,22.5
India,TFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,2297.0,1148.5
"Korea, Republic of",VFN,0.0,0.0,0.0
Kuwait,VFN,0.0,0.0,0.0
Malaysia,TFN,0.0,0.0,0.0
Maldives,TFN,0.0,0.0,0.0
Mali,TFR,2.0,0.0,1.0
Mauritius,TFR,5.0,5.0,5.0
Mexico,TFR,668.0,0.0,334.0
Mongolia,TFN,0.0,0.0,0.0
New Caledonia,TFR,3167.0,3966.0,3566.5
New Zealand,VFR,24605.0,26291.0,25448.0
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Poland,TCER,354.0,0.0,177.0
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,87.0,126.0,106.5
Seychelles,TFR,2.0,4.0,3.0
South Africa,TFR,1.0,4.0,2.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,429.0,5963.0,3196.0
United States of America,TFR,2852.0,4185.0,3518.5
Vanuatu,TFR,0.0,0.0,0.0
