Destination,SERIES,2018,2019,Average
Angola,TFR,291.0,134.0,212.5
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,62.0,0.0,31.0
Australia,VFR,30.0,0.0,15.0
Azerbaijan,VFR,42.0,16.0,29.0
Bahamas,TFR,7.0,11.0,9.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,5.0,3.0,4.0
Belgium,TCER,996.0,0.0,498.0
Benin,TFR,4960.0,0.0,2480.0
Botswana,TFR,58.0,0.0,29.0
Bulgaria,TCER,69.0,94.0,81.5
Canada,TFR,470.0,0.0,235.0
Cayman Islands,TFR,1.0,0.0,0.5
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,1724.0,0.0,862.0
Colombia,TFR,9.0,0.0,4.5
Congo,THSR,621.0,0.0,310.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,8.0,4.5
Ecuador,VFR,12.0,0.0,6.0
Egypt,VFN,393.0,0.0,196.5
Finland,TCER,38.0,49.0,43.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,244.0,0.0,122.0
Indonesia,VFN,85.0,153.0,119.0
Israel,TFR,168.0,0.0,84.0
Italy,TFN,206.0,0.0,103.0
Japan,VFN,106.0,143.0,124.5
Jordan,TFN,3.0,0.0,1.5
Kazakhstan,VFR,4.0,9.0,6.5
"Korea, Republic of",VFN,133.0,103.0,118.0
Kuwait,VFN,28.0,0.0,14.0
Lebanon,TFN,335.0,322.0,328.5
Madagascar,TFN,50.0,0.0,25.0
Malaysia,TFN,113.0,62.0,87.5
Maldives,TFN,3.0,0.0,1.5
Mali,TFR,3616.0,0.0,1808.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,160.0,205.0,182.5
Mexico,TFR,4784.0,0.0,2392.0
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,7509.0,0.0,3754.5
New Zealand,VFR,30.0,99.0,64.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,12.0,0.0,6.0
Poland,TCER,107.0,0.0,53.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,174.0,136.0,155.0
Seychelles,TFR,45.0,35.0,40.0
Sierra Leone,TFR,91.0,0.0,45.5
South Africa,TFR,6388.0,6227.0,6307.5
Sri Lanka,TFR,5.0,5.0,5.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,132.0,0.0,66.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,3532.0,5933.0,4732.5
Trinidad and Tobago,TFN,12.0,16.0,14.0
Turkey,TFN,2121.0,0.0,1060.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,32.0,0.0,16.0
United Arab Emirates,THSN,283.0,2539.0,1411.0
United States of America,TFR,2384.0,2363.0,2373.5
