Destination,SERIES,2018,2019,Average
Angola,TFR,794.0,354.0,574.0
Antigua and Barbuda,TFR,4.0,0.0,2.0
Australia,VFR,40.0,0.0,20.0
Azerbaijan,VFR,16.0,9.0,12.5
Bahamas,TFR,2.0,5.0,3.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,10.0,9.0,9.5
Belgium,TCER,282.0,0.0,141.0
Benin,TFR,556.0,0.0,278.0
Botswana,TFR,57.0,0.0,28.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,22.0,20.0,21.0
Canada,TFR,129.0,0.0,64.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,2616.0,0.0,1308.0
Colombia,TFR,3.0,0.0,1.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,6.0,10.0,8.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,29.0,0.0,14.5
Egypt,VFN,308.0,0.0,154.0
Finland,TCER,61.0,34.0,47.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,365.0,0.0,182.5
Indonesia,VFN,344.0,299.0,321.5
"Iran, Islamic Republic of",VFN,55.0,0.0,27.5
Israel,TFR,84.0,0.0,42.0
Italy,TFN,41.0,0.0,20.5
Japan,VFN,77.0,116.0,96.5
Jordan,TFN,13.0,0.0,6.5
Kazakhstan,VFR,13.0,7.0,10.0
"Korea, Republic of",VFN,208.0,155.0,181.5
Kuwait,VFN,109.0,0.0,54.5
Latvia,TCER,4.0,4.0,4.0
Lebanon,TFN,452.0,536.0,494.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,4.0,0.0,2.0
Malaysia,TFN,457.0,503.0,480.0
Maldives,TFN,6.0,0.0,3.0
Mali,TFR,255.0,0.0,127.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,62.0,51.0,56.5
Mexico,TFR,23.0,0.0,11.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,912.0,0.0,456.0
New Zealand,VFR,14.0,31.0,22.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,4.0,0.0,2.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,42.0,0.0,21.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1673.0,506.0,1089.5
Seychelles,TFR,9.0,5.0,7.0
Sierra Leone,TFR,758.0,0.0,379.0
South Africa,TFR,509.0,450.0,479.5
Sri Lanka,TFR,8.0,7.0,7.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,272.0,0.0,136.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,754.0,1358.0,1056.0
Trinidad and Tobago,TFN,9.0,6.0,7.5
Turkey,TFN,1172.0,0.0,586.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,146.0,0.0,73.0
United Arab Emirates,THSN,619.0,1574.0,1096.5
United States of America,TFR,1722.0,1870.0,1796.0
Uzbekistan,VFR,3.0,0.0,1.5
