Destination,SERIES,2018,2019,Average
Albania,VFN,822.0,2699.0,1760.5
Angola,TFR,15.0,9.0,12.0
Australia,VFR,460.0,0.0,230.0
Azerbaijan,VFR,610124.0,725174.0,667649.0
Bahamas,TFR,71.0,24.0,47.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,11.0,0.0,5.5
Belarus,VFN,16945.0,18537.0,17741.0
Belgium,TCER,3449.0,0.0,1724.5
Bhutan,TFN,3.0,5.0,4.0
Botswana,TFR,32.0,0.0,16.0
Bulgaria,TCER,4684.0,4349.0,4516.5
Canada,TFR,530.0,0.0,265.0
Cayman Islands,TFR,5.0,0.0,2.5
Chile,TFN,45.0,60.0,52.5
China,VFN,11796.0,0.0,5898.0
Colombia,TFR,113.0,0.0,56.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,29.0,35.0,32.0
Cyprus,TFR,0.0,0.0,0.0
Ecuador,VFR,123.0,0.0,61.5
Egypt,VFN,11706.0,0.0,5853.0
Finland,TCER,1723.0,1768.0,1745.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,4.0,3.0,3.5
India,TFN,1610.0,0.0,805.0
Indonesia,VFN,631.0,768.0,699.5
"Iran, Islamic Republic of",VFN,33185.0,0.0,16592.5
Israel,TFR,9341.0,0.0,4670.5
Italy,TFN,19288.0,38862.0,29075.0
Japan,VFN,839.0,1640.0,1239.5
Jordan,TFN,720.0,0.0,360.0
Kazakhstan,VFR,17807.0,20114.0,18960.5
"Korea, Republic of",VFN,1066.0,1299.0,1182.5
Kuwait,VFN,1045.0,0.0,522.5
Kyrgyzstan,VFR,6460.0,0.0,3230.0
Latvia,TCER,4680.0,6130.0,5405.0
Lebanon,TFN,582.0,429.0,505.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,7.0,0.0,3.5
Malaysia,TFN,419.0,505.0,462.0
Maldives,TFN,275.0,0.0,137.5
Mali,TFR,19.0,0.0,9.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,50.0,57.0,53.5
Mexico,TFR,366.0,0.0,183.0
"Moldova, Republic of",TCEN,1018.0,1010.0,1014.0
Mongolia,TFN,37.0,64.0,50.5
Morocco,TFN,345.0,0.0,172.5
New Zealand,VFR,19.0,31.0,25.0
Nicaragua,TFN,21.0,12.0,16.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,136.0,0.0,68.0
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,8154.0,0.0,4077.0
Russian Federation,VFN,73366.0,0.0,36683.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,91.0,0.0,45.5
Saudi Arabia,TFN,363.0,695.0,529.0
Seychelles,TFR,56.0,56.0,56.0
Sierra Leone,TFR,68.0,0.0,34.0
South Africa,TFR,277.0,235.0,256.0
Sri Lanka,TFR,697.0,565.0,631.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,181.0,0.0,90.5
"Tanzania, United Republic of",VFR,130.0,0.0,65.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,300.0,150.0
Trinidad and Tobago,TFN,4.0,7.0,5.5
Turkey,TFN,2065948.0,0.0,1032974.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,47531.0,0.0,23765.5
United Arab Emirates,THSN,4561.0,10291.0,7426.0
United States of America,TFR,111.0,10481.0,5296.0
Uzbekistan,VFR,2617.0,0.0,1308.5
