Destination,SERIES,2018,2019,Average
Albania,VFN,142291.0,165703.0,153997.0
Algeria,VFN,15951.0,11807.0,13879.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,2086.0,1592.0,1839.0
Anguilla,TFR,394.0,597.0,495.5
Antigua and Barbuda,TFR,2216.0,0.0,1108.0
Argentina,TFR,126588.0,0.0,63294.0
Armenia,TFR,28655.0,0.0,14327.5
Aruba,TFR,6539.0,0.0,3269.5
Australia,VFR,207290.0,0.0,103645.0
Austria,TCER,14092157.0,14383461.0,14237809.0
Azerbaijan,VFR,17164.0,20494.0,18829.0
Bahamas,TFR,12960.0,11557.0,12258.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,10675.0,0.0,5337.5
Belarus,VFN,64505.0,70614.0,67559.5
Belgium,TCER,1071746.0,0.0,535873.0
Belize,TFN,9176.0,0.0,4588.0
Benin,TFR,2360.0,0.0,1180.0
Bermuda,TFR,1316.0,0.0,658.0
Bhutan,TFN,3422.0,3375.0,3398.5
"Bolivia, Plurinational State of",TFN,31658.0,0.0,15829.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,50402.0,0.0,25201.0
Botswana,TFR,40030.0,0.0,20015.0
Brazil,TFR,209039.0,206882.0,207960.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,1827.0,1944.0,1885.5
Bulgaria,TCER,568243.0,463033.0,515638.0
Burkina Faso,THSR,2499.0,0.0,1249.5
Cabo Verde,THSR,90157.0,92320.0,91238.5
Cambodia,TFR,98976.0,0.0,49488.0
Cameroon,THSN,14246.0,0.0,7123.0
Canada,TFR,405984.0,0.0,202992.0
Cayman Islands,TFR,1117.0,0.0,558.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,80394.0,82541.0,81467.5
China,VFN,643074.0,0.0,321537.0
Colombia,TFR,70470.0,0.0,35235.0
Comoros,TFN,0.0,0.0,0.0
Congo,THSR,511.0,0.0,255.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,3072.0,3007.0,3039.5
Costa Rica,TFN,74574.0,80580.0,77577.0
Croatia,TCER,2783513.0,2881284.0,2832398.5
Cuba,VFR,197122.0,0.0,98561.0
Curaçao,TFR,18537.0,0.0,9268.5
Cyprus,TFR,189200.0,0.0,94600.0
Czech Republic,TCEN,2031104.0,2075460.0,2053282.0
Denmark,TCER,3451664.0,3784323.0,3617993.5
Dominica,TFR,888.0,0.0,444.0
Dominican Republic,TFR,216528.0,178908.0,197718.0
Ecuador,VFR,34669.0,0.0,17334.5
Egypt,VFN,1707382.0,0.0,853691.0
El Salvador,TFN,4485.0,4260.0,4372.5
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,143529.0,0.0,71764.5
Ethiopia,TFR,36847.0,0.0,18423.5
Fiji,TFR,9658.0,8871.0,9264.5
Finland,TCER,304387.0,313131.0,308759.0
France,TFR,12272217.0,0.0,6136108.5
French Polynesia,TFR,4539.0,5010.0,4774.5
Gambia,TFN,5397.0,0.0,2698.5
Georgia,THSR,84805.0,0.0,42402.5
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,4381448.0,4026286.0,4203867.0
