Destination,SERIES,2018,2019,Average
Albania,VFN,61.0,78.0,69.5
Angola,TFR,313.0,619.0,466.0
Antigua and Barbuda,TFR,6.0,0.0,3.0
Armenia,TFR,4.0,0.0,2.0
Australia,VFR,1400.0,0.0,700.0
Azerbaijan,VFR,53.0,126.0,89.5
Bahamas,TFR,40.0,40.0,40.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,85.0,0.0,42.5
Belarus,VFN,251.0,196.0,223.5
Belgium,TCER,1187.0,0.0,593.5
Benin,TFR,8255.0,0.0,4127.5
Bhutan,TFN,0.0,8.0,4.0
Botswana,TFR,389.0,0.0,194.5
Brazil,TFR,486.0,520.0,503.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,141.0,180.0,160.5
Burkina Faso,THSR,6169.0,0.0,3084.5
Cambodia,TFR,502.0,0.0,251.0
Canada,TFR,4208.0,0.0,2104.0
Cayman Islands,TFR,8.0,0.0,4.0
Chile,TFN,30.0,47.0,38.5
China,VFN,22890.0,0.0,11445.0
Colombia,TFR,173.0,0.0,86.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,93.0,115.0,104.0
Dominica,TFR,5.0,0.0,2.5
Ecuador,VFR,180.0,0.0,90.0
Egypt,VFN,7887.0,0.0,3943.5
Ethiopia,TFR,7656.0,0.0,3828.0
Finland,TCER,333.0,268.0,300.5
Grenada,TFN,19.0,20.0,19.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,5054.0,0.0,2527.0
Indonesia,VFN,1373.0,1864.0,1618.5
"Iran, Islamic Republic of",VFN,362.0,0.0,181.0
Israel,TFR,1870.0,0.0,935.0
Italy,TFN,925.0,2627.0,1776.0
Japan,VFN,1485.0,1567.0,1526.0
Jordan,TFN,1841.0,0.0,920.5
Kazakhstan,VFR,66.0,42.0,54.0
"Korea, Republic of",VFN,3063.0,3082.0,3072.5
Kuwait,VFN,2603.0,0.0,1301.5
Latvia,TCER,80.0,82.0,81.0
Lebanon,TFN,4612.0,13377.0,8994.5
Lesotho,VFR,175.0,319.0,247.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,153.0,0.0,76.5
Malaysia,TFN,1211.0,1121.0,1166.0
Maldives,TFN,84.0,0.0,42.0
Mali,TFR,2812.0,0.0,1406.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,1011.0,1036.0,1023.5
Mexico,TFR,1313.0,0.0,656.5
Mongolia,TFN,19.0,15.0,17.0
Morocco,TFN,1987.0,0.0,993.5
New Zealand,VFR,194.0,464.0,329.0
Nicaragua,TFN,8.0,76.0,42.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,115.0,0.0,57.5
Paraguay,TFN,5.0,0.0,2.5
Poland,TCER,205.0,0.0,102.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,8456.0,2751.0,5603.5
Seychelles,TFR,198.0,243.0,220.5
Sierra Leone,TFR,2457.0,0.0,1228.5
South Africa,TFR,20999.0,18381.0,19690.0
Sri Lanka,TFR,127.0,108.0,117.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,2829.0,0.0,1414.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,18244.0,30720.0,24482.0
Trinidad and Tobago,TFN,210.0,326.0,268.0
Turkey,TFN,5776.0,0.0,2888.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,2139.0,0.0,1069.5
United Arab Emirates,THSN,5081.0,30049.0,17565.0
United States of America,TFR,29360.0,31904.0,30632.0
Uzbekistan,VFR,15.0,0.0,7.5
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,10354.0,0.0,5177.0
