Destination,SERIES,2018,2019,Average
Albania,VFN,552638.0,596884.0,574761.0
Algeria,VFN,1735.0,1018.0,1376.5
Angola,TFR,170.0,49.0,109.5
Antigua and Barbuda,TFR,137.0,0.0,68.5
Argentina,TFR,4441.0,0.0,2220.5
Armenia,TFR,4519.0,0.0,2259.5
Australia,VFR,8540.0,0.0,4270.0
Austria,TCER,72671.0,87374.0,80022.5
Azerbaijan,VFR,1519.0,1952.0,1735.5
Bahamas,TFR,852.0,668.0,760.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,117.0,0.0,58.5
Belarus,VFN,2587.0,2468.0,2527.5
Belgium,TCER,41659.0,0.0,20829.5
Benin,TFR,336.0,0.0,168.0
Bhutan,TFN,121.0,112.0,116.5
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,6226.0,0.0,3113.0
Botswana,TFR,331.0,0.0,165.5
Brazil,TFR,5390.0,6931.0,6160.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,72.0,75.0,73.5
Bulgaria,TCER,128291.0,128177.0,128234.0
Cambodia,TFR,1924.0,0.0,962.0
Canada,TFR,12695.0,0.0,6347.5
Cayman Islands,TFR,88.0,0.0,44.0
Chile,TFN,1477.0,1964.0,1720.5
China,VFN,44949.0,0.0,22474.5
Colombia,TFR,1689.0,0.0,844.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,942.0,1083.0,1012.5
Croatia,TCER,33288.0,35404.0,34346.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,186370.0,0.0,93185.0
Czech Republic,TCEN,50636.0,48198.0,49417.0
Denmark,TCER,14735.0,16901.0,15818.0
Dominica,TFR,24.0,0.0,12.0
Dominican Republic,TFR,599.0,788.0,693.5
Ecuador,VFR,730.0,0.0,365.0
Egypt,VFN,23718.0,0.0,11859.0
El Salvador,TFN,87.0,150.0,118.5
Estonia,TCER,4799.0,0.0,2399.5
Ethiopia,TFR,1741.0,0.0,870.5
Finland,TCER,7557.0,9340.0,8448.5
France,TFR,165740.0,0.0,82870.0
Gambia,TFN,0.0,0.0,0.0
Georgia,THSR,9393.0,0.0,4696.5
Germany,TCER,179806.0,184350.0,182078.0
Grenada,TFN,49.0,55.0,52.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,12.0,27.0,19.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,10656.0,0.0,5328.0
Indonesia,VFN,7713.0,9705.0,8709.0
"Iran, Islamic Republic of",VFN,1740.0,0.0,870.0
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,0.0,0.0,0.0
Israel,TFR,29670.0,0.0,14835.0
Italy,TFN,372085.0,342657.0,357371.0
Jamaica,TFR,292.0,311.0,301.5
Japan,VFN,7968.0,9494.0,8731.0
Jordan,TFN,6225.0,0.0,3112.5
Kazakhstan,VFR,2740.0,2900.0,2820.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,9290.0,9756.0,9523.0
Kuwait,VFN,5169.0,0.0,2584.5
Lao People's Democratic Republic,VFN,520.0,586.0,553.0
Latvia,TCER,6803.0,4764.0,5783.5
Lebanon,TFN,13558.0,13537.0,13547.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,415.0,395.0,405.0
Luxembourg,TCER,3158.0,0.0,1579.0
Madagascar,TFN,291.0,0.0,145.5
Malaysia,TFN,3648.0,4518.0,4083.0
Maldives,TFN,2398.0,0.0,1199.0
Mali,TFR,27.0,0.0,13.5
Malta,TFR,17677.0,28145.0,22911.0
Mauritius,TFR,937.0,1086.0,1011.5
Mexico,TFR,3961.0,0.0,1980.5
"Moldova, Republic of",TCEN,1145.0,910.0,1027.5
Mongolia,TFN,266.0,312.0,289.0
Montenegro,TCEN,7528.0,0.0,3764.0
Morocco,TFN,12611.0,0.0,6305.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,981.0,1065.0,1023.0
Nicaragua,TFN,150.0,176.0,163.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,40947.0,57578.0,49262.5
Norway,TCER,11074.0,11085.0,11079.5
Oman,VFR,2387.0,0.0,1193.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,24.0,0.0,12.0
Panama,VFR,1772.0,0.0,886.0
Paraguay,TFN,99.0,0.0,49.5
Peru,TFR,2526.0,0.0,1263.0
Philippines,TFR,3453.0,3849.0,3651.0
Poland,TCER,32492.0,0.0,16246.0
Portugal,TCER,34367.0,34638.0,34502.5
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,57916.0,52338.0,55127.0
Russian Federation,VFN,28852.0,0.0,14426.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
San Marino,VFN,4042.0,0.0,2021.0
Saudi Arabia,TFN,4694.0,8354.0,6524.0
Serbia,TCEN,71359.0,74974.0,73166.5
Seychelles,TFR,541.0,521.0,531.0
Sierra Leone,TFR,68.0,0.0,34.0
Singapore,VFR,0.0,0.0,0.0
Slovakia,TCEN,9941.0,12495.0,11218.0
Slovenia,TCEN,12453.0,12362.0,12407.5
South Africa,TFR,6288.0,5957.0,6122.5
Spain,TFR,135165.17216965454,132863.79877967844,134014.4854746665
Sri Lanka,TFR,7778.0,6980.0,7379.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,13395.0,0.0,6697.5
Switzerland,TCER,39841.0,36381.0,38111.0
Syrian Arab Republic,VFN,968.0,1022.0,995.0
Taiwan Province of China,TCER,1391.0,1631.0,1511.0
Tajikistan,VFR,66.0,0.0,33.0
"Tanzania, United Republic of",VFR,735.0,0.0,367.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,335.0,1358.0,846.5
Trinidad and Tobago,TFN,158.0,212.0,185.0
Tunisia,TFN,2046.0,2776.0,2411.0
Turkey,TFN,659141.0,0.0,329570.5
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,17168.0,0.0,8584.0
United Arab Emirates,THSN,11946.0,36123.0,24034.5
United Kingdom,VFR,223120.0,250185.0,236652.5
United States of America,TFR,82796.0,84691.0,83743.5
United States Virgin Islands,THSN,12.0,22.0,17.0
Uruguay,VFN,964.0,0.0,482.0
Uzbekistan,VFR,731.0,0.0,365.5
