Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,662.0,0.0,331.0
Australia,VFR,390.0,0.0,195.0
Azerbaijan,VFR,2.0,10.0,6.0
Bahamas,TFR,113.0,108.0,110.5
Barbados,TFR,5385.0,0.0,2692.5
Belarus,VFN,1.0,2.0,1.5
Belgium,TCER,61.0,0.0,30.5
Bhutan,TFN,0.0,3.0,1.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,1441.0,0.0,720.5
Cayman Islands,TFR,29.0,0.0,14.5
Chile,TFN,39.0,47.0,43.0
China,VFN,2036.0,0.0,1018.0
Colombia,TFR,93.0,0.0,46.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,38.0,48.0,43.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,314.0,0.0,157.0
Ecuador,VFR,13.0,0.0,6.5
El Salvador,TFN,8.0,64.0,36.0
Finland,TCER,5.0,20.0,12.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,578.0,558.0,568.0
Haiti,TFR,0.0,0.0,0.0
India,TFN,205.0,0.0,102.5
Indonesia,VFN,112.0,89.0,100.5
Israel,TFR,32.0,0.0,16.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,587.0,597.0,592.0
Japan,VFN,57.0,53.0,55.0
Jordan,TFN,63.0,0.0,31.5
Kazakhstan,VFR,2.0,2.0,2.0
"Korea, Republic of",VFN,99.0,150.0,124.5
Kuwait,VFN,166.0,0.0,83.0
Lebanon,TFN,44.0,54.0,49.0
Libya,VFN,0.0,0.0,0.0
Malaysia,TFN,80.0,148.0,114.0
Maldives,TFN,14.0,0.0,7.0
Mauritius,TFR,4.0,3.0,3.5
Mexico,TFR,84.0,0.0,42.0
Mongolia,TFN,2.0,6.0,4.0
Morocco,TFN,19.0,0.0,9.5
New Zealand,VFR,30.0,29.0,29.5
Nicaragua,TFN,6.0,5.0,5.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,310.0,0.0,155.0
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,6.0,0.0,3.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,1573.0,0.0,786.5
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,91.0,45.5
Seychelles,TFR,3.0,1.0,2.0
South Africa,TFR,29.0,46.0,37.5
Sri Lanka,TFR,15.0,6.0,10.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,144.0,0.0,72.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,6708.0,7658.0,7183.0
Turkey,TFN,496.0,0.0,248.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,22.0,0.0,11.0
United Arab Emirates,THSN,226.0,889.0,557.5
United States of America,TFR,11032.0,12588.0,11810.0
Uzbekistan,VFR,1.0,0.0,0.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
