Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,809.0,0.0,404.5
Australia,VFR,50.0,0.0,25.0
Barbados,TFR,1557.0,0.0,778.5
Belarus,VFN,0.0,4.0,2.0
Belgium,TCER,261.0,0.0,130.5
Benin,TFR,9.0,0.0,4.5
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,1847.0,0.0,923.5
Cayman Islands,TFR,2.0,0.0,1.0
Colombia,TFR,35.0,0.0,17.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,11527.0,0.0,5763.5
Dominican Republic,TFR,3468.0,3877.0,3672.5
Ecuador,VFR,48.0,0.0,24.0
Finland,TCER,3.0,0.0,1.5
French Guiana,TFR,0.0,0.0,0.0
Grenada,TFN,90.0,109.0,99.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,41.0,35.0,38.0
Haiti,TFR,0.0,923.0,461.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,1.0,0.0,0.5
Indonesia,VFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,198.0,154.0,176.0
Kazakhstan,VFR,0.0,0.0,0.0
Kuwait,VFN,0.0,0.0,0.0
Mali,TFR,13.0,0.0,6.5
Martinique,TFR,49402.0,0.0,24701.0
Mauritius,TFR,40.0,40.0,40.0
Mexico,TFR,18.0,0.0,9.0
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,40.0,31.0,35.5
Nicaragua,TFN,0.0,1.0,0.5
Poland,TCER,24.0,0.0,12.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,2635.0,0.0,1317.5
Seychelles,TFR,10.0,7.0,8.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,1.0,0.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,18.0,58.0,38.0
United States of America,TFR,9251.0,9145.0,9198.0
