Destination,SERIES,2018,2019,Average
Australia,VFR,700.0,0.0,350.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,59.0,0.0,29.5
Canada,TFR,224.0,0.0,112.0
Cayman Islands,TFR,0.0,0.0,0.0
Colombia,TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,0.0,0.0
Ecuador,VFR,0.0,0.0,0.0
Finland,TCER,28.0,7.0,17.5
India,TFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Jordan,TFN,1.0,0.0,0.5
Malaysia,TFN,3.0,3.0,3.0
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,0.0,0.0,0.0
Mexico,TFR,83.0,0.0,41.5
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,319.0,338.0,328.5
Nicaragua,TFN,0.0,0.0,0.0
Palau,TFN,0.0,0.0,0.0
Panama,VFR,19.0,0.0,9.5
Paraguay,TFN,0.0,0.0,0.0
Philippines,TFR,32357.0,19835.0,26096.0
Poland,TCER,11.0,0.0,5.5
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,0.0,0.0,0.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,26.0,75.0,50.5
Turkey,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
