Destination,SERIES,2018,2019,Average
Albania,VFN,111.0,529.0,320.0
Angola,TFR,20.0,38.0,29.0
Antigua and Barbuda,TFR,34.0,0.0,17.0
Argentina,TFR,5526.0,0.0,2763.0
Armenia,TFR,13.0,0.0,6.5
Australia,VFR,410.0,0.0,205.0
Azerbaijan,VFR,15.0,37.0,26.0
Bahamas,TFR,468.0,667.0,567.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,97.0,0.0,48.5
Belarus,VFN,26.0,24.0,25.0
Belgium,TCER,1214.0,0.0,607.0
Belize,TFN,12157.0,0.0,6078.5
Bhutan,TFN,9.0,16.0,12.5
Botswana,TFR,20.0,0.0,10.0
Brazil,TFR,5130.0,5644.0,5387.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,55.0,106.0,80.5
Canada,TFR,6144.0,0.0,3072.0
Cayman Islands,TFR,60.0,0.0,30.0
Chile,TFN,3166.0,3417.0,3291.5
China,VFN,3587.0,0.0,1793.5
Colombia,TFR,23791.0,0.0,11895.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,65633.0,69471.0,67552.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,67.0,0.0,33.5
Dominican Republic,TFR,8351.0,9038.0,8694.5
Ecuador,VFR,3793.0,0.0,1896.5
Egypt,VFN,740.0,0.0,370.0
El Salvador,TFN,605823.0,612331.0,609077.0
Finland,TCER,111.0,134.0,122.5
Grenada,TFN,57.0,50.0,53.5
Guyana,TFR,72.0,88.0,80.0
Haiti,TFR,0.0,131.0,65.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,752.0,0.0,376.0
Indonesia,VFN,467.0,503.0,485.0
"Iran, Islamic Republic of",VFN,10.0,0.0,5.0
Israel,TFR,3734.0,0.0,1867.0
Italy,TFN,12341.0,7436.0,9888.5
Jamaica,TFR,786.0,639.0,712.5
Japan,VFN,1815.0,2170.0,1992.5
Jordan,TFN,498.0,0.0,249.0
Kazakhstan,VFR,93.0,82.0,87.5
"Korea, Republic of",VFN,1003.0,1038.0,1020.5
Kuwait,VFN,16.0,0.0,8.0
Latvia,TCER,38.0,26.0,32.0
Lebanon,TFN,124.0,94.0,109.0
Madagascar,TFN,2.0,0.0,1.0
Malaysia,TFN,311.0,344.0,327.5
Maldives,TFN,62.0,0.0,31.0
Mali,TFR,2.0,0.0,1.0
Mauritius,TFR,9.0,12.0,10.5
Mexico,TFR,150523.0,0.0,75261.5
Mongolia,TFN,6.0,9.0,7.5
Morocco,TFN,553.0,0.0,276.5
New Zealand,VFR,129.0,119.0,124.0
Nicaragua,TFN,68134.0,68046.0,68090.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,35800.0,0.0,17900.0
Paraguay,TFN,819.0,0.0,409.5
Peru,TFR,6621.0,0.0,3310.5
Poland,TCER,300.0,0.0,150.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,145.0,24.0,84.5
Seychelles,TFR,13.0,7.0,10.0
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,212.0,244.0,228.0
Sri Lanka,TFR,60.0,69.0,64.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,127.0,0.0,63.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,19.0,120.0,69.5
Trinidad and Tobago,TFN,394.0,419.0,406.5
Turkey,TFN,1681.0,0.0,840.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,128.0,0.0,64.0
United Arab Emirates,THSN,246.0,1488.0,867.0
United States of America,TFR,272671.0,282094.0,277382.5
United States Virgin Islands,THSN,1.0,0.0,0.5
Uzbekistan,VFR,5.0,0.0,2.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
