Destination,SERIES,2018,2019,Average
Angola,TFR,180.0,189.0,184.5
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,10.0,0.0,5.0
Australia,VFR,0.0,0.0,0.0
Azerbaijan,VFR,4.0,3.0,3.5
Bahamas,TFR,0.0,0.0,0.0
Belarus,VFN,6.0,1.0,3.5
Belgium,TCER,49.0,0.0,24.5
Benin,TFR,2500.0,0.0,1250.0
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,11.0,7.0,9.0
Canada,TFR,56.0,0.0,28.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,697.0,0.0,348.5
Colombia,TFR,5.0,0.0,2.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,13.0,12.0,12.5
Ecuador,VFR,8.0,0.0,4.0
Egypt,VFN,84.0,0.0,42.0
Finland,TCER,3.0,4.0,3.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,166.0,0.0,83.0
Indonesia,VFN,133.0,108.0,120.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,133.0,0.0,66.5
Japan,VFN,27.0,30.0,28.5
Jordan,TFN,1.0,0.0,0.5
Kazakhstan,VFR,7.0,3.0,5.0
"Korea, Republic of",VFN,32.0,23.0,27.5
Kuwait,VFN,73.0,0.0,36.5
Lebanon,TFN,67.0,124.0,95.5
Malaysia,TFN,47.0,23.0,35.0
Maldives,TFN,33.0,0.0,16.5
Mali,TFR,72.0,0.0,36.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,12.0,14.0,13.0
Mexico,TFR,20.0,0.0,10.0
Mongolia,TFN,0.0,0.0,0.0
Morocco,TFN,1171.0,0.0,585.5
New Zealand,VFR,1.0,0.0,0.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,12.0,0.0,6.0
Paraguay,TFN,3.0,0.0,1.5
Poland,TCER,13.0,0.0,6.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,260.0,80.0,170.0
Senegal,THSN,0.0,0.0,0.0
Seychelles,TFR,4.0,7.0,5.5
Sierra Leone,TFR,67.0,0.0,33.5
South Africa,TFR,147.0,134.0,140.5
Sri Lanka,TFR,11.0,4.0,7.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,239.0,0.0,119.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1817.0,3338.0,2577.5
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,188.0,0.0,94.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,44.0,0.0,22.0
United Arab Emirates,THSN,22.0,435.0,228.5
United States of America,TFR,196.0,196.0,196.0
