Destination,SERIES,2018,2019,Average
Albania,VFN,14.0,14.0,14.0
Angola,TFR,83.0,240.0,161.5
Armenia,TFR,29.0,0.0,14.5
Australia,VFR,220.0,0.0,110.0
Azerbaijan,VFR,13.0,21.0,17.0
Bahamas,TFR,8.0,5.0,6.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,3.0,0.0,1.5
Belarus,VFN,23.0,40.0,31.5
Belgium,TCER,802.0,0.0,401.0
Benin,TFR,1610.0,0.0,805.0
Bhutan,TFN,0.0,7.0,3.5
Botswana,TFR,50.0,0.0,25.0
Bulgaria,TCER,17.0,10.0,13.5
Burkina Faso,THSR,2219.0,0.0,1109.5
Canada,TFR,911.0,0.0,455.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,8695.0,0.0,4347.5
Colombia,TFR,4.0,0.0,2.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,10.0,12.0,11.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,34.0,0.0,17.0
Egypt,VFN,2323.0,0.0,1161.5
El Salvador,TFN,187.0,0.0,93.5
Finland,TCER,24.0,40.0,32.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,817.0,0.0,408.5
Indonesia,VFN,87.0,56.0,71.5
"Iran, Islamic Republic of",VFN,315.0,0.0,157.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,110.0,0.0,55.0
Italy,TFN,0.0,199.0,99.5
Japan,VFN,168.0,296.0,232.0
Jordan,TFN,14.0,0.0,7.0
Kazakhstan,VFR,27.0,5.0,16.0
"Korea, Republic of",VFN,205.0,235.0,220.0
Kuwait,VFN,1943.0,0.0,971.5
Lebanon,TFN,376.0,384.0,380.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,121.0,0.0,60.5
Malaysia,TFN,661.0,716.0,688.5
Maldives,TFN,11.0,0.0,5.5
Mali,TFR,4426.0,0.0,2213.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,73.0,57.0,65.0
Mexico,TFR,139.0,0.0,69.5
Mongolia,TFN,1.0,3.0,2.0
Morocco,TFN,29831.0,0.0,14915.5
New Zealand,VFR,27.0,165.0,96.0
Nicaragua,TFN,0.0,8.0,4.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,18.0,0.0,9.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,57.0,0.0,28.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,834.0,955.0,894.5
Seychelles,TFR,18.0,13.0,15.5
Sierra Leone,TFR,987.0,0.0,493.5
South Africa,TFR,1572.0,1322.0,1447.0
Sri Lanka,TFR,0.0,12.0,6.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,149.0,0.0,74.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,2365.0,4605.0,3485.0
Trinidad and Tobago,TFN,6.0,2.0,4.0
Turkey,TFN,1469.0,0.0,734.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,296.0,0.0,148.0
United Arab Emirates,THSN,380.0,1719.0,1049.5
United States of America,TFR,2657.0,2537.0,2597.0
Uzbekistan,VFR,10.0,0.0,5.0
