Destination,SERIES,2018,2019,Average
Albania,VFN,5.0,6.0,5.5
Angola,TFR,1768.0,2036.0,1902.0
Antigua and Barbuda,TFR,1947.0,0.0,973.5
Armenia,TFR,2.0,0.0,1.0
Australia,VFR,130.0,0.0,65.0
Azerbaijan,VFR,5.0,13.0,9.0
Bahamas,TFR,373.0,329.0,351.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,12162.0,0.0,6081.0
Belarus,VFN,8.0,0.0,4.0
Belgium,TCER,247.0,0.0,123.5
Bhutan,TFN,0.0,2.0,1.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,17.0,0.0,8.5
Brazil,TFR,4253.0,4885.0,4569.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,0.0,3.0,1.5
Canada,TFR,7602.0,0.0,3801.0
Cayman Islands,TFR,190.0,0.0,95.0
Chile,TFN,122.0,101.0,111.5
China,VFN,1300.0,0.0,650.0
Colombia,TFR,532.0,0.0,266.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,214.0,290.0,252.0
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,707.0,0.0,353.5
Dominica,TFR,384.0,0.0,192.0
Ecuador,VFR,102.0,0.0,51.0
Egypt,VFN,5.0,0.0,2.5
El Salvador,TFN,102.0,121.0,111.5
Finland,TCER,9.0,6.0,7.5
Grenada,TFN,763.0,913.0,838.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,518.0,0.0,259.0
Indonesia,VFN,77.0,88.0,82.5
Israel,TFR,92.0,0.0,46.0
Italy,TFN,0.0,19.0,9.5
Jamaica,TFR,2339.0,1892.0,2115.5
Japan,VFN,72.0,88.0,80.0
Kazakhstan,VFR,0.0,1.0,0.5
"Korea, Republic of",VFN,95.0,110.0,102.5
Kuwait,VFN,28.0,0.0,14.0
Lebanon,TFN,0.0,0.0,0.0
Malaysia,TFN,91.0,103.0,97.0
Maldives,TFN,9.0,0.0,4.5
Mali,TFR,0.0,0.0,0.0
Mauritius,TFR,32.0,14.0,23.0
Mexico,TFR,407.0,0.0,203.5
Mongolia,TFN,1.0,0.0,0.5
Morocco,TFN,31.0,0.0,15.5
New Zealand,VFR,23.0,36.0,29.5
Nicaragua,TFN,34.0,15.0,24.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,2738.0,0.0,1369.0
Paraguay,TFN,9.0,0.0,4.5
Poland,TCER,13.0,0.0,6.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,1360.0,0.0,680.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,2.0,0.0,1.0
Sint Eustatius,TFR,0.0,0.0,0.0
Sint Maarten (Dutch part),TFN,676.0,0.0,338.0
South Africa,TFR,175.0,201.0,188.0
Sri Lanka,TFR,22.0,12.0,17.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,95.0,0.0,47.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,20262.0,19537.0,19899.5
Turkey,TFN,33.0,0.0,16.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,8.0,0.0,4.0
United Arab Emirates,THSN,65.0,467.0,266.0
United States of America,TFR,55565.0,52243.0,53904.0
United States Virgin Islands,THSN,1.0,4.0,2.5
Uzbekistan,VFR,1.0,0.0,0.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
