Destination,SERIES,2018,2019,Average
Albania,VFN,9.0,20.0,14.5
Angola,TFR,1.0,13.0,7.0
Antigua and Barbuda,TFR,41.0,0.0,20.5
Argentina,TFR,3969.0,0.0,1984.5
Australia,VFR,40.0,0.0,20.0
Azerbaijan,VFR,16.0,9.0,12.5
Bahamas,TFR,1516.0,3309.0,2412.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,990.0,0.0,495.0
Belarus,VFN,4.0,2.0,3.0
Belgium,TCER,280.0,0.0,140.0
Benin,TFR,70.0,0.0,35.0
Bhutan,TFN,0.0,3.0,1.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,1507.0,1675.0,1591.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,9.0,10.0,9.5
Canada,TFR,9617.0,0.0,4808.5
Cayman Islands,TFR,46.0,0.0,23.0
Chile,TFN,34840.0,590.0,17715.0
China,VFN,578.0,0.0,289.0
Colombia,TFR,584.0,0.0,292.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,409.0,502.0,455.5
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,1776.0,0.0,888.0
Dominica,TFR,2983.0,0.0,1491.5
Dominican Republic,TFR,12406.0,17534.0,14970.0
Ecuador,VFR,243.0,0.0,121.5
Egypt,VFN,78.0,0.0,39.0
El Salvador,TFN,201.0,200.0,200.5
Finland,TCER,41.0,36.0,38.5
Grenada,TFN,34.0,30.0,32.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,5799.0,24190.0,14994.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,134.0,0.0,67.0
Indonesia,VFN,74.0,102.0,88.0
Israel,TFR,335.0,0.0,167.5
Italy,TFN,0.0,0.0,0.0
Jamaica,TFR,379.0,600.0,489.5
Japan,VFN,105.0,125.0,115.0
Jordan,TFN,39.0,0.0,19.5
Kazakhstan,VFR,16.0,30.0,23.0
"Korea, Republic of",VFN,159.0,193.0,176.0
Kuwait,VFN,23.0,0.0,11.5
Lebanon,TFN,66.0,58.0,62.0
Madagascar,TFN,21.0,0.0,10.5
Malaysia,TFN,74.0,57.0,65.5
Maldives,TFN,4.0,0.0,2.0
Mali,TFR,89.0,0.0,44.5
Mauritius,TFR,9.0,19.0,14.0
Mexico,TFR,1389.0,0.0,694.5
Mongolia,TFN,0.0,1.0,0.5
Morocco,TFN,1349.0,0.0,674.5
New Zealand,VFR,2.0,5.0,3.5
Nicaragua,TFN,95.0,75.0,85.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,1548.0,0.0,774.0
Paraguay,TFN,43.0,0.0,21.5
Poland,TCER,76.0,0.0,38.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,195.0,0.0,97.5
Saudi Arabia,TFN,6.0,4.0,5.0
Seychelles,TFR,4.0,17.0,10.5
Sierra Leone,TFR,7.0,0.0,3.5
Sint Maarten (Dutch part),TFN,1829.0,0.0,914.5
South Africa,TFR,104.0,107.0,105.5
Sri Lanka,TFR,10.0,9.0,9.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,47.0,0.0,23.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,541.0,195.0,368.0
Trinidad and Tobago,TFN,264.0,429.0,346.5
Turkey,TFN,447.0,0.0,223.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,17.0,0.0,8.5
United Arab Emirates,THSN,52.0,827.0,439.5
United States of America,TFR,131003.0,126295.0,128649.0
Uzbekistan,VFR,1.0,0.0,0.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
