Destination,SERIES,2018,2019,Average
Albania,VFN,82.0,107.0,94.5
Angola,TFR,70.0,94.0,82.0
Antigua and Barbuda,TFR,22.0,0.0,11.0
Argentina,TFR,2578.0,0.0,1289.0
Armenia,TFR,1.0,0.0,0.5
Australia,VFR,230.0,0.0,115.0
Azerbaijan,VFR,14.0,21.0,17.5
Bahamas,TFR,478.0,380.0,429.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,66.0,0.0,33.0
Belarus,VFN,26.0,13.0,19.5
Belgium,TCER,486.0,0.0,243.0
Belize,TFN,6487.0,0.0,3243.5
Benin,TFR,18.0,0.0,9.0
Bhutan,TFN,3.0,2.0,2.5
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,2729.0,2383.0,2556.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,114.0,214.0,164.0
Cambodia,TFR,187.0,0.0,93.5
Canada,TFR,2299.0,0.0,1149.5
Cayman Islands,TFR,3162.0,0.0,1581.0
Chile,TFN,1788.0,1638.0,1713.0
China,VFN,5580.0,0.0,2790.0
Colombia,TFR,11751.0,0.0,5875.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,38135.0,42024.0,40079.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,8.0,0.0,4.0
Dominican Republic,TFR,3630.0,3432.0,3531.0
Ecuador,VFR,2186.0,0.0,1093.0
Egypt,VFN,415.0,0.0,207.5
El Salvador,TFN,263162.0,273588.0,268375.0
Finland,TCER,225.0,218.0,221.5
Grenada,TFN,8.0,26.0,17.0
Guatemala,VFR,133356.0,0.0,66678.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,49.0,87.0,68.0
Haiti,TFR,0.0,139.0,69.5
"Hong Kong, China",TFR,844.0,814.0,829.0
India,TFN,521.0,0.0,260.5
Indonesia,VFN,331.0,340.0,335.5
Israel,TFR,1493.0,0.0,746.5
Italy,TFN,4157.0,14774.0,9465.5
Jamaica,TFR,216.0,331.0,273.5
Japan,VFN,954.0,980.0,967.0
Jordan,TFN,112.0,0.0,56.0
Kazakhstan,VFR,32.0,5.0,18.5
"Korea, Republic of",VFN,1312.0,1449.0,1380.5
Kuwait,VFN,71.0,0.0,35.5
Lebanon,TFN,61.0,76.0,68.5
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,335.0,279.0,307.0
Maldives,TFN,30.0,0.0,15.0
Mali,TFR,39.0,0.0,19.5
Mauritius,TFR,23.0,39.0,31.0
Mongolia,TFN,11.0,4.0,7.5
Morocco,TFN,317.0,0.0,158.5
New Zealand,VFR,25.0,54.0,39.5
Nicaragua,TFN,168148.0,158902.0,163525.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,24770.0,0.0,12385.0
Paraguay,TFN,316.0,0.0,158.0
Peru,TFR,3432.0,0.0,1716.0
Poland,TCER,433.0,0.0,216.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,95.0,169.0,132.0
Seychelles,TFR,6.0,12.0,9.0
South Africa,TFR,115.0,145.0,130.0
Sri Lanka,TFR,49.0,76.0,62.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,58.0,0.0,29.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,52.0,0.0,26.0
Trinidad and Tobago,TFN,126.0,183.0,154.5
Turkey,TFN,1041.0,0.0,520.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,87.0,0.0,43.5
United Arab Emirates,THSN,550.0,2447.0,1498.5
United States of America,TFR,213389.0,219472.0,216430.5
United States Virgin Islands,THSN,13.0,2.0,7.5
Uzbekistan,VFR,8.0,0.0,4.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
