Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,75.0,0.0,37.5
Argentina,TFR,7.0,0.0,3.5
Armenia,TFR,1473.0,0.0,736.5
Australia,VFR,308640.0,0.0,154320.0
Azerbaijan,VFR,2.0,0.0,1.0
Bahamas,TFR,362.0,528.0,445.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,56.0,0.0,28.0
Belarus,VFN,1157.0,1453.0,1305.0
Belgium,TCER,15785.0,0.0,7892.5
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,593.0,0.0,296.5
Brazil,TFR,4170.0,4250.0,4210.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,2650.0,1431.0,2040.5
Bulgaria,TCER,1714.0,1683.0,1698.5
Cambodia,TFR,12221.0,0.0,6110.5
Canada,TFR,154298.0,0.0,77149.0
Cayman Islands,TFR,135.0,0.0,67.5
Chile,TFN,0.0,0.0,0.0
China,VFN,79368424.0,0.0,39684212.0
Colombia,TFR,563.0,0.0,281.5
Cook Islands,TFR,136.0,72.0,104.0
Costa Rica,TFN,4.0,2.0,3.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,12.0,0.0,6.0
Ecuador,VFR,600.0,0.0,300.0
Egypt,VFN,132.0,0.0,66.0
Fiji,TFR,1061.0,2142.0,1601.5
Finland,TCER,34377.0,38212.0,36294.5
French Polynesia,TFR,368.0,415.0,391.5
Grenada,TFN,24.0,27.0,25.5
Guam,TFR,6593.0,5122.0,5857.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
Iceland,TFN,15545.0,14830.0,15187.5
India,TFN,1087.0,0.0,543.5
Indonesia,VFN,91182.0,50324.0,70753.0
Israel,TFR,9461.0,0.0,4730.5
Italy,TFN,9368.0,22467.0,15917.5
Japan,VFN,2207804.0,2210964.0,2209384.0
Jordan,TFN,3600.0,0.0,1800.0
Kazakhstan,VFR,7002.0,7427.0,7214.5
"Korea, Republic of",VFN,683818.0,694934.0,689376.0
Kuwait,VFN,426.0,0.0,213.0
Latvia,TCER,3085.0,1538.0,2311.5
Lebanon,TFN,290.0,65.0,177.5
Liechtenstein,TCER,388.0,586.0,487.0
"Macao, China",THSR,1492038.0,1601608.0,1546823.0
Malaysia,TFN,322.0,330.0,326.0
Maldives,TFN,3.0,0.0,1.5
Mauritius,TFR,1519.0,1432.0,1475.5
Mexico,TFR,6371.0,0.0,3185.5
Mongolia,TFN,3121.0,4311.0,3716.0
Morocco,TFN,3454.0,0.0,1727.0
Myanmar,TFN,7183.0,32005.0,19594.0
New Caledonia,TFR,251.0,251.0,251.0
New Zealand,VFR,58763.0,53720.0,56241.5
Nicaragua,TFN,0.0,3.0,1.5
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,2838.0,0.0,1419.0
Oman,VFR,1707.0,0.0,853.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,0.0,0.0,0.0
Panama,VFR,20.0,0.0,10.0
Paraguay,TFN,2.0,0.0,1.0
Peru,TFR,4191.0,0.0,2095.5
Philippines,TFR,117992.0,91653.0,104822.5
Poland,TCER,10167.0,0.0,5083.5
Russian Federation,VFN,23926.0,0.0,11963.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,3.0,0.0,1.5
Seychelles,TFR,336.0,315.0,325.5
Singapore,VFR,473124.0,488542.0,480833.0
Solomon Islands,TFR,161.0,147.0,154.0
South Africa,TFR,221.0,199.0,210.0
Sri Lanka,TFR,25.0,11.0,18.0
Suriname,TFR,0.0,0.0,0.0
Taiwan Province of China,TCER,1591319.0,1679929.0,1635624.0
"Tanzania, United Republic of",VFR,444.0,0.0,222.0
Thailand,TFR,1047559.0,0.0,523779.5
Tonga,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Tunisia,TFN,1217.0,1005.0,1111.0
Turkey,TFN,18452.0,0.0,9226.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1817.0,0.0,908.5
United Arab Emirates,THSN,2583.0,10214.0,6398.5
United Kingdom,VFR,402722.0,408963.0,405842.5
United States of America,TFR,151740.0,155243.0,153491.5
Uzbekistan,VFR,0.0,0.0,0.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,62208.0,51618.0,56913.0
Zimbabwe,VFR,19428.0,0.0,9714.0
