Destination,SERIES,2018,2019,Average
Albania,VFN,24410.0,30017.0,27213.5
Angola,TFR,116.0,185.0,150.5
Antigua and Barbuda,TFR,60.0,0.0,30.0
Argentina,TFR,3725.0,0.0,1862.5
Armenia,TFR,1528.0,0.0,764.0
Australia,VFR,6340.0,0.0,3170.0
Austria,TCER,620242.0,648425.0,634333.5
Azerbaijan,VFR,2513.0,3361.0,2937.0
Bahamas,TFR,765.0,605.0,685.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,269.0,0.0,134.5
Belarus,VFN,8080.0,7747.0,7913.5
Belgium,TCER,33381.0,0.0,16690.5
Bhutan,TFN,143.0,167.0,155.0
Bosnia and Herzegovina,TCER,15070.0,0.0,7535.0
Botswana,TFR,367.0,0.0,183.5
Brazil,TFR,6771.0,6854.0,6812.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,43866.0,48409.0,46137.5
Cambodia,TFR,5460.0,0.0,2730.0
Canada,TFR,13299.0,0.0,6649.5
Cayman Islands,TFR,123.0,0.0,61.5
Chile,TFN,1530.0,1838.0,1684.0
China,VFN,23619.0,0.0,11809.5
Colombia,TFR,1520.0,0.0,760.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1636.0,1966.0,1801.0
Croatia,TCER,598975.0,617391.0,608183.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,25343.0,0.0,12671.5
Czech Republic,TCEN,174508.0,175231.0,174869.5
Dominica,TFR,42.0,0.0,21.0
Dominican Republic,TFR,4346.0,5570.0,4958.0
Ecuador,VFR,661.0,0.0,330.5
Egypt,VFN,61307.0,0.0,30653.5
El Salvador,TFN,94.0,54.0,74.0
Estonia,TCER,6066.0,0.0,3033.0
Finland,TCER,8942.0,9884.0,9413.0
Georgia,THSR,3147.0,0.0,1573.5
Germany,TCER,303354.0,303337.0,303345.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,53.0,54.0,53.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,16.0,5.0,10.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,9201.0,0.0,4600.5
