Destination,SERIES,2018,2019,Average
Albania,VFN,532.0,677.0,604.5
Angola,TFR,15.0,9.0,12.0
Antigua and Barbuda,TFR,14.0,0.0,7.0
Argentina,TFR,595.0,0.0,297.5
Armenia,TFR,99.0,0.0,49.5
Australia,VFR,1250.0,0.0,625.0
Austria,TCER,14268.0,18339.0,16303.5
Azerbaijan,VFR,285.0,285.0,285.0
Bahamas,TFR,157.0,141.0,149.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,103.0,0.0,51.5
Belarus,VFN,240.0,432.0,336.0
Belgium,TCER,9286.0,0.0,4643.0
Bhutan,TFN,32.0,22.0,27.0
Bosnia and Herzegovina,TCER,336.0,0.0,168.0
Botswana,TFR,191.0,0.0,95.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,2381.0,1972.0,2176.5
Cambodia,TFR,761.0,0.0,380.5
Canada,TFR,10779.0,0.0,5389.5
Cayman Islands,TFR,17.0,0.0,8.5
Chile,TFN,282.0,284.0,283.0
China,VFN,2835.0,0.0,1417.5
Colombia,TFR,342.0,0.0,171.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,412.0,450.0,431.0
Croatia,TCER,6520.0,7988.0,7254.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,6983.0,5377.0,6180.0
Dominica,TFR,10.0,0.0,5.0
Ecuador,VFR,159.0,0.0,79.5
Egypt,VFN,777.0,0.0,388.5
El Salvador,TFN,18.0,25.0,21.5
Estonia,TCER,1838.0,0.0,919.0
Finland,TCER,6656.0,7080.0,6868.0
Gambia,TFN,0.0,0.0,0.0
Georgia,THSR,267.0,0.0,133.5
Germany,TCER,47445.0,46639.0,47042.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,6.0,17.0,11.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,5.0,10.0,7.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,1239.0,0.0,619.5
Indonesia,VFN,2445.0,2483.0,2464.0
"Iran, Islamic Republic of",VFN,64.0,0.0,32.0
Ireland,TFR,0.0,0.0,0.0
Israel,TFR,2033.0,0.0,1016.5
Italy,TFN,33513.0,15347.0,24430.0
Japan,VFN,1514.0,1672.0,1593.0
Jordan,TFN,276.0,0.0,138.0
Kazakhstan,VFR,65.0,108.0,86.5
"Korea, Republic of",VFN,601.0,737.0,669.0
Kuwait,VFN,118.0,0.0,59.0
Latvia,TCER,4884.0,4303.0,4593.5
Lebanon,TFN,165.0,199.0,182.0
Liechtenstein,TCER,116.0,196.0,156.0
Luxembourg,TCER,643.0,0.0,321.5
Malaysia,TFN,876.0,813.0,844.5
Maldives,TFN,239.0,0.0,119.5
Mali,TFR,39.0,0.0,19.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,87.0,68.0,77.5
Mexico,TFR,11298.0,0.0,5649.0
Mongolia,TFN,46.0,55.0,50.5
Montenegro,TCEN,661.0,0.0,330.5
Morocco,TFN,4880.0,0.0,2440.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,615.0,589.0,602.0
Nicaragua,TFN,63.0,44.0,53.5
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,381.0,355.0,368.0
Norway,TCER,14867.0,14729.0,14798.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,192.0,0.0,96.0
Paraguay,TFN,37.0,0.0,18.5
Poland,TCER,13994.0,0.0,6997.0
Portugal,TCER,7770.0,7185.0,7477.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,66.0,0.0,33.0
Saudi Arabia,TFN,1026.0,2009.0,1517.5
Serbia,TCEN,798.0,1036.0,917.0
Seychelles,TFR,54.0,37.0,45.5
Sierra Leone,TFR,41.0,0.0,20.5
Slovakia,TCEN,1309.0,1731.0,1520.0
Slovenia,TCEN,2963.0,2952.0,2957.5
South Africa,TFR,1082.0,857.0,969.5
Sri Lanka,TFR,446.0,427.0,436.5
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,15032.0,0.0,7516.0
Switzerland,TCER,6975.0,7050.0,7012.5
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,396.0,0.0,198.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,438.0,353.0,395.5
Trinidad and Tobago,TFN,23.0,24.0,23.5
Turkey,TFN,2864.0,0.0,1432.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1097.0,0.0,548.5
United Arab Emirates,THSN,888.0,2038.0,1463.0
United Kingdom,VFR,115707.0,95012.0,105359.5
United States of America,TFR,73361.0,60241.0,66801.0
Uzbekistan,VFR,19.0,0.0,9.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
