Destination,SERIES,2018,2019,Average
Albania,VFN,1852.0,2189.0,2020.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,5374.0,7719.0,6546.5
Antigua and Barbuda,TFR,516.0,0.0,258.0
Argentina,TFR,9352.0,0.0,4676.0
Armenia,TFR,31213.0,0.0,15606.5
Australia,VFR,357750.0,0.0,178875.0
Azerbaijan,VFR,39013.0,65058.0,52035.5
Bahamas,TFR,1993.0,2156.0,2074.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1202.0,0.0,601.0
Belarus,VFN,4310.0,4762.0,4536.0
Belgium,TCER,58005.0,0.0,29002.5
Benin,TFR,4603.0,0.0,2301.5
Bhutan,TFN,0.0,230381.0,115190.5
Bosnia and Herzegovina,TCER,2524.0,0.0,1262.0
Botswana,TFR,4903.0,0.0,2451.5
Brazil,TFR,16719.0,16958.0,16838.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,8635.0,8925.0,8780.0
Bulgaria,TCER,12283.0,11896.0,12089.5
Cambodia,TFR,65882.0,0.0,32941.0
Canada,TFR,287416.0,0.0,143708.0
Cayman Islands,TFR,331.0,0.0,165.5
Chile,TFN,4577.0,5563.0,5070.0
China,VFN,708517.0,0.0,354258.5
Colombia,TFR,7453.0,0.0,3726.5
Congo,THSR,1404.0,0.0,702.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,41.0,45.0,43.0
Costa Rica,TFN,8236.0,9398.0,8817.0
Cuba,VFR,35103.0,0.0,17551.5
Czech Republic,TCEN,96128.0,98012.0,97070.0
Dominica,TFR,106.0,0.0,53.0
Dominican Republic,TFR,1602.0,1653.0,1627.5
Ecuador,VFR,10644.0,0.0,5322.0
Egypt,VFN,126697.0,0.0,63348.5
El Salvador,TFN,541.0,514.0,527.5
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,25066.0,0.0,12533.0
Fiji,TFR,5901.0,6231.0,6066.0
Finland,TCER,33449.0,41039.0,37244.0
French Polynesia,TFR,403.0,405.0,404.0
Georgia,THSR,36763.0,0.0,18381.5
Germany,TCER,289734.0,307077.0,298405.5
Ghana,TFN,0.0,0.0,0.0
Guam,TFR,1078.0,196.0,637.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,275582.0,231670.0,253626.0
Iceland,TFN,19583.0,19852.0,19717.5
Indonesia,VFN,595636.0,657300.0,626468.0
"Iran, Islamic Republic of",VFN,67518.0,0.0,33759.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,70517.0,0.0,35258.5
Italy,TFN,160302.0,176304.0,168303.0
Jamaica,TFR,1528.0,1758.0,1643.0
Japan,VFN,154029.0,175896.0,164962.5
Jordan,TFN,43292.0,0.0,21646.0
Kazakhstan,VFR,32591.0,32418.0,32504.5
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,119791.0,143367.0,131579.0
Kuwait,VFN,1332454.0,0.0,666227.0
Kyrgyzstan,VFR,25947.0,0.0,12973.5
Lao People's Democratic Republic,VFN,4864.0,8152.0,6508.0
Latvia,TCER,8827.0,8508.0,8667.5
Lebanon,TFN,20242.0,20135.0,20188.5
Lesotho,VFR,3614.0,4950.0,4282.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,443.0,415.0,429.0
"Macao, China",THSR,116623.0,89994.0,103308.5
Madagascar,TFN,2997.0,0.0,1498.5
Malaysia,TFN,600311.0,735309.0,667810.0
Maldives,TFN,90474.0,0.0,45237.0
Mali,TFR,2187.0,0.0,1093.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,85765.0,75673.0,80719.0
Mexico,TFR,27830.0,0.0,13915.0
Mongolia,TFN,2298.0,2478.0,2388.0
Montenegro,TCEN,2269.0,0.0,1134.5
Morocco,TFN,14770.0,0.0,7385.0
Myanmar,TFN,102702.0,117317.0,110009.5
Nepal,TFN,200438.0,254150.0,227294.0
New Zealand,VFR,67953.0,66775.0,67364.0
Nicaragua,TFN,810.0,615.0,712.5
