Destination,SERIES,2018,2019,Average
Albania,VFN,859.0,1022.0,940.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,613.0,610.0,611.5
Antigua and Barbuda,TFR,24.0,0.0,12.0
Argentina,TFR,1598.0,0.0,799.0
Armenia,TFR,540.0,0.0,270.0
Australia,VFR,208730.0,0.0,104365.0
Azerbaijan,VFR,2294.0,2191.0,2242.5
Bahamas,TFR,529.0,363.0,446.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,91.0,0.0,45.5
Belarus,VFN,531.0,1031.0,781.0
Belgium,TCER,10245.0,0.0,5122.5
Benin,TFR,560.0,0.0,280.0
Bhutan,TFN,1033.0,1327.0,1180.0
Botswana,TFR,101.0,0.0,50.5
Brazil,TFR,2026.0,3934.0,2980.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,27462.0,33626.0,30544.0
Bulgaria,TCER,2070.0,1617.0,1843.5
Cambodia,TFR,55753.0,0.0,27876.5
Canada,TFR,25706.0,0.0,12853.0
Cayman Islands,TFR,13.0,0.0,6.5
Chile,TFN,1048.0,1307.0,1177.5
China,VFN,708517.0,0.0,354258.5
Colombia,TFR,740.0,0.0,370.0
Congo,THSR,349.0,0.0,174.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,60.0,83.0,71.5
Costa Rica,TFN,295.0,277.0,286.0
Cuba,VFR,40713.0,0.0,20356.5
Dominica,TFR,5.0,0.0,2.5
Ecuador,VFR,641.0,0.0,320.5
Egypt,VFN,46485.0,0.0,23242.5
El Salvador,TFN,19.0,30.0,24.5
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,9116.0,12700.0,10908.0
French Polynesia,TFR,167.0,146.0,156.5
Grenada,TFN,11.0,5.0,8.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,342760.0,285060.0,313910.0
India,TFN,46867.0,0.0,23433.5
"Iran, Islamic Republic of",VFN,4134.0,0.0,2067.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,35292.0,0.0,17646.0
Italy,TFN,23975.0,25804.0,24889.5
Japan,VFN,396852.0,412779.0,404815.5
Jordan,TFN,18707.0,0.0,9353.5
Kazakhstan,VFR,723.0,1179.0,951.0
"Korea, Republic of",VFN,249067.0,278575.0,263821.0
Kuwait,VFN,9886.0,0.0,4943.0
Lao People's Democratic Republic,VFN,3487.0,5161.0,4324.0
Latvia,TCER,1090.0,895.0,992.5
Lebanon,TFN,6208.0,5181.0,5694.5
Libya,VFN,0.0,0.0,0.0
"Macao, China",THSR,60596.0,53362.0,56979.0
Madagascar,TFN,189.0,0.0,94.5
Malaysia,TFN,3277689.0,3623277.0,3450483.0
Maldives,TFN,5885.0,0.0,2942.5
Mali,TFR,62.0,0.0,31.0
Mauritius,TFR,2519.0,2734.0,2626.5
Mexico,TFR,9818.0,0.0,4909.0
Mongolia,TFN,627.0,52.0,339.5
Morocco,TFN,7427.0,0.0,3713.5
Myanmar,TFN,12898.0,15558.0,14228.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,26070.0,27697.0,26883.5
Nicaragua,TFN,53.0,29.0,41.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,11377.0,13811.0,12594.0
Oman,VFR,273.0,0.0,136.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,153.0,0.0,76.5
Panama,VFR,943.0,0.0,471.5
Papua New Guinea,VFR,3358.0,3477.0,3417.5
Paraguay,TFN,12.0,0.0,6.0
Peru,TFR,2994.0,0.0,1497.0
Philippines,TFR,76652.0,70819.0,73735.5
Poland,TCER,4094.0,0.0,2047.0
Russian Federation,VFN,13356.0,0.0,6678.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,1396.0,0.0,698.0
Saudi Arabia,TFN,1375004.0,1134405.0,1254704.5
Seychelles,TFR,202.0,304.0,253.0
Sierra Leone,TFR,114.0,0.0,57.0
Singapore,VFR,3021455.0,3110626.0,3066040.5
South Africa,TFR,4067.0,3604.0,3835.5
Sri Lanka,TFR,5365.0,4919.0,5142.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,2079.0,2282.0,2180.5
Taiwan Province of China,TCER,107439.0,116687.0,112063.0
Tajikistan,VFR,79.0,0.0,39.5
"Tanzania, United Republic of",VFR,1233.0,0.0,616.5
Thailand,TFR,644479.0,0.0,322239.5
Timor-Leste,TFR,15523.0,9183.0,12353.0
Togo,THSR,316.0,563.0,439.5
Trinidad and Tobago,TFN,118.0,89.0,103.5
Turkey,TFN,117046.0,0.0,58523.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1331.0,0.0,665.5
United Arab Emirates,THSN,24219.0,111622.0,67920.5
United Kingdom,VFR,41650.0,53824.0,47737.0
United States of America,TFR,109143.0,117236.0,113189.5
Uzbekistan,VFR,1589.0,0.0,794.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,87941.0,106688.0,97314.5
Yemen,TFN,0.0,0.0,0.0
