Destination,SERIES,2018,2019,Average
Albania,VFN,375.0,357.0,366.0
Angola,TFR,55.0,47.0,51.0
Antigua and Barbuda,TFR,9.0,0.0,4.5
Armenia,TFR,160645.0,0.0,80322.5
Australia,VFR,13280.0,0.0,6640.0
Azerbaijan,VFR,240483.0,255571.0,248027.0
Bahamas,TFR,8.0,10.0,9.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,6.0,0.0,3.0
Belarus,VFN,4526.0,3291.0,3908.5
Belgium,TCER,7007.0,0.0,3503.5
Benin,TFR,61.0,0.0,30.5
Bhutan,TFN,5.0,13.0,9.0
Bosnia and Herzegovina,TCER,899.0,0.0,449.5
Botswana,TFR,29.0,0.0,14.5
Brazil,TFR,2254.0,1512.0,1883.0
Bulgaria,TCER,11531.0,8419.0,9975.0
Cambodia,TFR,1515.0,0.0,757.5
Canada,TFR,47589.0,0.0,23794.5
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,185.0,201.0,193.0
China,VFN,96910.0,0.0,48455.0
Colombia,TFR,212.0,0.0,106.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,255.0,270.0,262.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,3640.0,0.0,1820.0
Dominica,TFR,4.0,0.0,2.0
Ecuador,VFR,352.0,0.0,176.0
Egypt,VFN,542.0,0.0,271.0
El Salvador,TFN,1.0,6.0,3.5
Finland,TCER,2079.0,1685.0,1882.0
Georgia,THSR,127641.0,0.0,63820.5
Greece,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,35596.0,0.0,17798.0
Indonesia,VFN,11415.0,10440.0,10927.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,250.0,0.0,125.0
Italy,TFN,60048.0,32228.0,46138.0
Japan,VFN,5161.0,5252.0,5206.5
Jordan,TFN,857.0,0.0,428.5
Kazakhstan,VFR,10607.0,10143.0,10375.0
"Korea, Republic of",VFN,6627.0,4294.0,5460.5
Kuwait,VFN,70447.0,0.0,35223.5
Kyrgyzstan,VFR,1846.0,0.0,923.0
Latvia,TCER,678.0,607.0,642.5
Lebanon,TFN,23209.0,18429.0,20819.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,152.0,0.0,76.0
Malaysia,TFN,67094.0,46559.0,56826.5
Maldives,TFN,1768.0,0.0,884.0
Mali,TFR,70.0,0.0,35.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,258.0,136.0,197.0
Mexico,TFR,1993.0,0.0,996.5
Mongolia,TFN,227.0,302.0,264.5
Morocco,TFN,1709.0,0.0,854.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,745.0,543.0,644.0
Nicaragua,TFN,10.0,27.0,18.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,8874.0,0.0,4437.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,89.0,0.0,44.5
Paraguay,TFN,14.0,0.0,7.0
Peru,TFR,0.0,0.0,0.0
Philippines,TFR,2456.0,2290.0,2373.0
Poland,TCER,3827.0,0.0,1913.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,46791.0,0.0,23395.5
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,26.0,0.0,13.0
Saudi Arabia,TFN,85412.0,376.0,42894.0
Serbia,TCEN,27372.0,939.0,14155.5
Seychelles,TFR,369.0,232.0,300.5
Sierra Leone,TFR,72.0,0.0,36.0
Singapore,VFR,13938.0,7964.0,10951.0
South Africa,TFR,3319.0,1974.0,2646.5
Sri Lanka,TFR,5720.0,3249.0,4484.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,22260.0,19439.0,20849.5
Tajikistan,VFR,3577.0,0.0,1788.5
"Tanzania, United Republic of",VFR,1000.0,0.0,500.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,412.0,375.0,393.5
Trinidad and Tobago,TFN,11.0,9.0,10.0
Turkey,TFN,2001631.0,0.0,1000815.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,8415.0,0.0,4207.5
United Arab Emirates,THSN,293786.0,208946.0,251366.0
United Kingdom,VFR,0.0,0.0,0.0
United States of America,TFR,4915.0,5412.0,5163.5
Uzbekistan,VFR,2658.0,0.0,1329.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zimbabwe,VFR,910.0,0.0,455.0
