Destination,SERIES,2018,2019,Average
Albania,VFN,129.0,221.0,175.0
Angola,TFR,96.0,13.0,54.5
Antigua and Barbuda,TFR,5.0,0.0,2.5
Armenia,TFR,5106.0,0.0,2553.0
Australia,VFR,950.0,0.0,475.0
Azerbaijan,VFR,67469.0,50746.0,59107.5
Bahamas,TFR,7.0,6.0,6.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,8075.0,6650.0,7362.5
Belgium,TCER,1135.0,0.0,567.5
Benin,TFR,54.0,0.0,27.0
Bhutan,TFN,0.0,5.0,2.5
Botswana,TFR,0.0,0.0,0.0
Brazil,TFR,0.0,0.0,0.0
Bulgaria,TCER,1379.0,1459.0,1419.0
Cambodia,TFR,577.0,0.0,288.5
Canada,TFR,1513.0,0.0,756.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,14.0,14.0,14.0
China,VFN,21256.0,0.0,10628.0
Colombia,TFR,35.0,0.0,17.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,19.0,28.0,23.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Dominica,TFR,11.0,0.0,5.5
Ecuador,VFR,70.0,0.0,35.0
Egypt,VFN,104805.0,0.0,52402.5
El Salvador,TFN,1.0,1.0,1.0
Finland,TCER,404.0,526.0,465.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,68462.0,0.0,34231.0
Indonesia,VFN,2356.0,2933.0,2644.5
"Iran, Islamic Republic of",VFN,2525291.0,0.0,1262645.5
Israel,TFR,241.0,0.0,120.5
Italy,TFN,4554.0,15420.0,9987.0
Japan,VFN,1180.0,1319.0,1249.5
Jordan,TFN,171044.0,0.0,85522.0
Kazakhstan,VFR,189.0,301.0,245.0
"Korea, Republic of",VFN,2811.0,2823.0,2817.0
Kuwait,VFN,71146.0,0.0,35573.0
Latvia,TCER,158.0,151.0,154.5
Lebanon,TFN,211589.0,196265.0,203927.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,7.0,0.0,3.5
Malaysia,TFN,22291.0,21421.0,21856.0
Maldives,TFN,825.0,0.0,412.5
Mali,TFR,3.0,0.0,1.5
Mauritius,TFR,22.0,17.0,19.5
Mexico,TFR,112.0,0.0,56.0
Mongolia,TFN,58.0,32.0,45.0
Morocco,TFN,961.0,0.0,480.5
New Zealand,VFR,191.0,174.0,182.5
Nicaragua,TFN,0.0,9.0,4.5
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,2327.0,0.0,1163.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,17.0,0.0,8.5
Paraguay,TFN,7.0,0.0,3.5
Poland,TCER,1575.0,0.0,787.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,19.0,0.0,9.5
Saudi Arabia,TFN,239790.0,278544.0,259167.0
Seychelles,TFR,29.0,39.0,34.0
Sierra Leone,TFR,99.0,0.0,49.5
South Africa,TFR,260.0,363.0,311.5
Sri Lanka,TFR,1021.0,852.0,936.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,194646.0,257527.0,226086.5
Tajikistan,VFR,8.0,0.0,4.0
"Tanzania, United Republic of",VFR,216.0,0.0,108.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,19.0,8.0,13.5
Trinidad and Tobago,TFN,1.0,4.0,2.5
Tunisia,TFN,3562.0,3661.0,3611.5
Turkey,TFN,1172588.0,0.0,586294.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,8572.0,0.0,4286.0
United Arab Emirates,THSN,181726.0,208855.0,195290.5
United States of America,TFR,9753.0,11374.0,10563.5
Uzbekistan,VFR,186.0,0.0,93.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
