Destination,SERIES,2018,2019,Average
Albania,VFN,5946.0,6538.0,6242.0
Angola,TFR,364.0,312.0,338.0
Antigua and Barbuda,TFR,881.0,0.0,440.5
Argentina,TFR,9897.0,0.0,4948.5
Armenia,TFR,983.0,0.0,491.5
Aruba,TFR,476.0,0.0,238.0
Australia,VFR,62370.0,0.0,31185.0
Austria,TCER,87368.0,96300.0,91834.0
Azerbaijan,VFR,1511.0,2010.0,1760.5
Bahamas,TFR,1192.0,1151.0,1171.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,3540.0,0.0,1770.0
Belarus,VFN,2161.0,2470.0,2315.5
Belgium,TCER,67821.0,0.0,33910.5
Benin,TFR,47.0,0.0,23.5
Bhutan,TFN,163.0,205.0,184.0
Bosnia and Herzegovina,TCER,5602.0,0.0,2801.0
Botswana,TFR,1840.0,0.0,920.0
Brazil,TFR,23917.0,34973.0,29445.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,246.0,310.0,278.0
Bulgaria,TCER,22883.0,27705.0,25294.0
Cambodia,TFR,12142.0,0.0,6071.0
Canada,TFR,72649.0,0.0,36324.5
Cayman Islands,TFR,1345.0,0.0,672.5
Chile,TFN,5851.0,6158.0,6004.5
China,VFN,44002.0,0.0,22001.0
Colombia,TFR,6217.0,0.0,3108.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,89.0,115.0,102.0
Costa Rica,TFN,4578.0,4411.0,4494.5
Croatia,TCER,84075.0,111088.0,97581.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,19987.0,0.0,9993.5
Czech Republic,TCEN,57397.0,55345.0,56371.0
Denmark,TCER,32176.0,34199.0,33187.5
Dominica,TFR,73.0,0.0,36.5
Dominican Republic,TFR,947.0,1424.0,1185.5
Ecuador,VFR,2482.0,0.0,1241.0
Egypt,VFN,10460.0,0.0,5230.0
El Salvador,TFN,557.0,577.0,567.0
Estonia,TCER,5076.0,0.0,2538.0
Finland,TCER,15694.0,17229.0,16461.5
Gambia,TFN,601.0,0.0,300.5
Georgia,THSR,2200.0,0.0,1100.0
Germany,TCER,230032.0,224422.0,227227.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,223.0,288.0,255.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,178.0,155.0,166.5
Honduras,TFN,0.0,0.0,0.0
Iceland,TFN,25322.0,20529.0,22925.5
India,TFN,39276.0,0.0,19638.0
Indonesia,VFN,28742.0,28602.0,28672.0
"Iran, Islamic Republic of",VFN,1363.0,0.0,681.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,11260.0,0.0,5630.0
Italy,TFN,465933.0,496975.0,481454.0
