Destination,SERIES,2018,2019,Average
Albania,VFN,14237.0,19739.0,16988.0
Angola,TFR,1044.0,1431.0,1237.5
Antigua and Barbuda,TFR,91.0,0.0,45.5
Argentina,TFR,40141.0,0.0,20070.5
Armenia,TFR,6319.0,0.0,3159.5
Australia,VFR,15770.0,0.0,7885.0
Austria,TCER,191381.0,239351.0,215366.0
Azerbaijan,VFR,40082.0,47003.0,43542.5
Bahamas,TFR,1345.0,1099.0,1222.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,165.0,0.0,82.5
Belarus,VFN,34854.0,37000.0,35927.0
Belgium,TCER,39314.0,0.0,19657.0
Benin,TFR,172.0,0.0,86.0
Bhutan,TFN,356.0,509.0,432.5
Bosnia and Herzegovina,TCER,7877.0,0.0,3938.5
Botswana,TFR,2656.0,0.0,1328.0
Brazil,TFR,33326.0,38391.0,35858.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,178185.0,199989.0,189087.0
Cambodia,TFR,14727.0,0.0,7363.5
Canada,TFR,66083.0,0.0,33041.5
Cayman Islands,TFR,186.0,0.0,93.0
Chile,TFN,16879.0,20199.0,18539.0
China,VFN,97484.0,0.0,48742.0
Colombia,TFR,12830.0,0.0,6415.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,64.0,48.0,56.0
Costa Rica,TFN,14359.0,14869.0,14614.0
Croatia,TCER,65160.0,63928.0,64544.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,232561.0,0.0,116280.5
Czech Republic,TCEN,162774.0,161217.0,161995.5
Dominica,TFR,53.0,0.0,26.5
Dominican Republic,TFR,2431.0,2650.0,2540.5
Ecuador,VFR,4607.0,0.0,2303.5
Egypt,VFN,405399.0,0.0,202699.5
El Salvador,TFN,468.0,389.0,428.5
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,12100.0,0.0,6050.0
Finland,TCER,16813.0,20716.0,18764.5
Georgia,THSR,240142.0,0.0,120071.0
Germany,TCER,313989.0,291150.0,302569.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,48.0,24.0,36.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,50627.0,44268.0,47447.5
Iceland,TFN,10016.0,7487.0,8751.5
India,TFN,67366.0,0.0,33683.0
Indonesia,VFN,473.0,924.0,698.5
Italy,TFN,126231.0,139023.0,132627.0
Jamaica,TFR,898.0,807.0,852.5
Japan,VFN,39193.0,44214.0,41703.5
Jordan,TFN,95854.0,0.0,47927.0
Kazakhstan,VFR,6700.0,7082.0,6891.0
Kenya,VFR,0.0,0.0,0.0
"Korea, Republic of",VFN,15328.0,17102.0,16215.0
Kyrgyzstan,VFR,4650.0,0.0,2325.0
Lao People's Democratic Republic,VFN,2997.0,4041.0,3519.0
Latvia,TCER,20268.0,15780.0,18024.0
Lithuania,TFR,28800.0,0.0,14400.0
Madagascar,TFN,342.0,0.0,171.0
Malaysia,TFN,4.0,4.0,4.0
Maldives,TFN,7748.0,0.0,3874.0
Mali,TFR,20.0,0.0,10.0
Malta,TFR,22645.0,21230.0,21937.5
Mauritius,TFR,2165.0,3082.0,2623.5
Mexico,TFR,37858.0,0.0,18929.0
"Moldova, Republic of",TCEN,3749.0,4197.0,3973.0
Monaco,THSN,2434.0,2666.0,2550.0
Mongolia,TFN,939.0,1152.0,1045.5
Montenegro,TCEN,34904.0,0.0,17452.0
Morocco,TFN,35955.0,0.0,17977.5
Nepal,TFN,6913.0,7619.0,7266.0
New Zealand,VFR,6082.0,6356.0,6219.0
Nicaragua,TFN,1027.0,1135.0,1081.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,10767.0,12436.0,11601.5
Panama,VFR,9017.0,0.0,4508.5
Papua New Guinea,VFR,318.0,292.0,305.0
Paraguay,TFN,758.0,0.0,379.0
Peru,TFR,15285.0,0.0,7642.5
Philippines,TFR,20343.0,22851.0,21597.0
Poland,TCER,260634.0,0.0,130317.0
Portugal,TCER,0.0,0.0,0.0
Romania,TCER,277468.0,234526.0,255997.0
Russian Federation,VFN,224842.0,0.0,112421.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,271.0,0.0,135.5
Serbia,TCEN,31940.0,29627.0,30783.5
Seychelles,TFR,4814.0,5185.0,4999.5
Sierra Leone,TFR,102.0,0.0,51.0
Singapore,VFR,22385.0,24297.0,23341.0
Slovakia,TCEN,36567.0,34002.0,35284.5
Slovenia,TCEN,70354.0,59617.0,64985.5
South Africa,TFR,26007.0,28887.0,27447.0
Spain,TFR,316433.2940998298,341773.46738589363,329103.3807428617
Sri Lanka,TFR,13833.0,14770.0,14301.5
State of Palestine,THSN,87406.0,85090.0,86248.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,478.0,0.0,239.0
"Tanzania, United Republic of",VFR,31419.0,0.0,15709.5
Thailand,TFR,185366.0,0.0,92683.0
Togo,THSR,2784.0,1703.0,2243.5
Trinidad and Tobago,TFN,128.0,180.0,154.0
Turkey,TFN,441633.0,0.0,220816.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,317830.0,0.0,158915.0
United Arab Emirates,THSN,29.0,0.0,14.5
United Kingdom,VFR,263752.0,264664.0,264208.0
United States of America,TFR,439153.0,450572.0,444862.5
Uruguay,VFN,4392.0,0.0,2196.0
Uzbekistan,VFR,9779.0,0.0,4889.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,4991.0,0.0,2495.5
