Destination,SERIES,2018,2019,Average
Albania,VFN,436103.0,467745.0,451924.0
Algeria,VFN,30987.0,24430.0,27708.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,2928.0,3112.0,3020.0
Anguilla,TFR,476.0,1257.0,866.5
Antigua and Barbuda,TFR,6832.0,0.0,3416.0
Argentina,TFR,137204.0,0.0,68602.0
Armenia,TFR,10802.0,0.0,5401.0
Aruba,TFR,10071.0,0.0,5035.5
Australia,VFR,77940.0,0.0,38970.0
Austria,TCER,1098950.0,1107823.0,1103386.5
Azerbaijan,VFR,11026.0,12215.0,11620.5
Bahamas,TFR,13534.0,13714.0,13624.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,3382.0,0.0,1691.0
Belarus,VFN,21783.0,22213.0,21998.0
Belgium,TCER,284377.0,0.0,142188.5
Belize,TFN,3503.0,0.0,1751.5
Benin,TFR,2963.0,0.0,1481.5
Bermuda,TFR,820.0,0.0,410.0
Bhutan,TFN,1229.0,1469.0,1349.0
"Bolivia, Plurinational State of",TFN,14240.0,0.0,7120.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,44979.0,0.0,22489.5
Botswana,TFR,6392.0,0.0,3196.0
Brazil,TFR,175763.0,182587.0,179175.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,491.0,612.0,551.5
Bulgaria,TCER,90033.0,83886.0,86959.5
Burkina Faso,THSR,1931.0,0.0,965.5
Cabo Verde,THSR,30969.0,25521.0,28245.0
Cambodia,TFR,33979.0,0.0,16989.5
Cameroon,THSN,10473.0,0.0,5236.5
Canada,TFR,118979.0,0.0,59489.5
Cayman Islands,TFR,1306.0,0.0,653.0
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,47117.0,45430.0,46273.5
China,VFN,277776.0,0.0,138888.0
Colombia,TFR,37029.0,0.0,18514.5
Comoros,TFN,0.0,0.0,0.0
Congo,THSR,4217.0,0.0,2108.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,1530.0,1401.0,1465.5
Costa Rica,TFN,29171.0,30196.0,29683.5
Croatia,TCER,1148078.0,1175069.0,1161573.5
Cuba,VFR,208287.0,0.0,104143.5
Curaçao,TFR,1165.0,0.0,582.5
Cyprus,TFR,24041.0,0.0,12020.5
Czech Republic,TCEN,408422.0,409731.0,409076.5
Denmark,TCER,333701.0,325257.0,329479.0
Dominica,TFR,127.0,0.0,63.5
Dominican Republic,TFR,76434.0,83925.0,80179.5
Ecuador,VFR,30838.0,0.0,15419.0
Egypt,VFN,421992.0,0.0,210996.0
El Salvador,TFN,4866.0,5430.0,5148.0
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,35157.0,0.0,17578.5
Ethiopia,TFR,31021.0,0.0,15510.5
Fiji,TFR,3359.0,3259.0,3309.0
Finland,TCER,74991.0,81566.0,78278.5
France,TFR,6963211.0,0.0,3481605.5
French Polynesia,TFR,8802.0,8369.0,8585.5
Gambia,TFN,1727.0,0.0,863.5
Georgia,THSR,18745.0,0.0,9372.5
Germany,TCER,1786746.0,1849395.0,1818070.5
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,1667114.0,1553173.0,1610143.5
Grenada,TFN,738.0,630.0,684.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,146.0,371.0,258.5
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,68610.0,59100.0,63855.0
Hungary,TFN,528122.0,729762.0,628942.0
Iceland,TFN,46401.0,47117.0,46759.0
India,TFN,126931.0,0.0,63465.5
Indonesia,VFN,94288.0,91229.0,92758.5
"Iran, Islamic Republic of",VFN,20013.0,0.0,10006.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,376000.0,0.0,188000.0
Israel,TFR,150581.0,0.0,75290.5
Jamaica,TFR,13721.0,13540.0,13630.5
Japan,VFN,150060.0,162769.0,156414.5
Jordan,TFN,40284.0,0.0,20142.0
Kazakhstan,VFR,12724.0,12554.0,12639.0
Kenya,VFR,0.0,0.0,0.0
Kiribati,TFN,30.0,0.0,15.0
"Korea, Republic of",VFN,46546.0,49344.0,47945.0
Kuwait,VFN,17279.0,0.0,8639.5
Kyrgyzstan,VFR,3748.0,0.0,1874.0
Lao People's Democratic Republic,VFN,6198.0,7330.0,6764.0
Latvia,TCER,48301.0,44051.0,46176.0
Lebanon,TFN,37013.0,37687.0,37350.0
Lesotho,VFR,413.0,693.0,553.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,2668.0,2833.0,2750.5
Lithuania,TFR,52700.0,0.0,26350.0
Luxembourg,TCER,28383.0,0.0,14191.5
"Macao, China",THSR,6768.0,6789.0,6778.5
Madagascar,TFN,43984.0,0.0,21992.0
Malaysia,TFN,52055.0,54710.0,53382.5
Maldives,TFN,105147.0,0.0,52573.5
Mali,TFR,2343.0,0.0,1171.5
Malta,TFR,390607.0,392955.0,391781.0
Martinique,TFR,3374.0,6802.0,5088.0
Mauritius,TFR,38361.0,41991.0,40176.0
Mexico,TFR,135358.0,0.0,67679.0
"Moldova, Republic of",TCEN,6414.0,7188.0,6801.0
Monaco,THSN,43264.0,43159.0,43211.5
Mongolia,TFN,3192.0,3655.0,3423.5
Montenegro,TCEN,37602.0,0.0,18801.0
Montserrat,TFR,0.0,0.0,0.0
Morocco,TFN,305505.0,0.0,152752.5
Myanmar,TFN,16855.0,19121.0,17988.0
Namibia,TFN,13320.0,13123.0,13221.5
Nepal,TFN,15318.0,15676.0,15497.0
Netherlands,TCER,597000.0,0.0,298500.0
New Caledonia,TFR,842.0,747.0,794.5
New Zealand,VFR,12458.0,12306.0,12382.0
Nicaragua,TFN,4647.0,3893.0,4270.0
Niger,TFN,3659.0,4476.0,4067.5
Nigeria,VFN,0.0,0.0,0.0
Niue,TFR,0.0,0.0,0.0
North Macedonia,TCEN,13403.0,13757.0,13580.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,152443.0,150181.0,151312.0
Oman,VFR,83016.0,0.0,41508.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,350.0,0.0,175.0
Panama,VFR,27868.0,0.0,13934.0
Papua New Guinea,VFR,544.0,559.0,551.5
Paraguay,TFN,4534.0,0.0,2267.0
Peru,TFR,73653.0,0.0,36826.5
Philippines,TFR,35182.0,38951.0,37066.5
Poland,TCER,271096.0,0.0,135548.0
Portugal,TCER,693801.0,741865.0,717833.0
Qatar,VFN,36447.0,58656.0,47551.5
Reunion,TFR,0.0,0.0,0.0
Romania,TCER,240155.0,222283.0,231219.0
Russian Federation,VFN,205460.0,0.0,102730.0
Rwanda,VFN,0.0,0.0,0.0
Saba,TFR,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
