Destination,SERIES,2018,2019,Average
Albania,VFN,20.0,30.0,25.0
Angola,TFR,1.0,2.0,1.5
Antigua and Barbuda,TFR,4000.0,0.0,2000.0
Australia,VFR,680.0,0.0,340.0
Azerbaijan,VFR,27.0,40.0,33.5
Bahamas,TFR,6868.0,6490.0,6679.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,9901.0,0.0,4950.5
Belarus,VFN,7.0,6.0,6.5
Belgium,TCER,729.0,0.0,364.5
Belize,TFN,974.0,0.0,487.0
Benin,TFR,78.0,0.0,39.0
Bhutan,TFN,5.0,1.0,3.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,55.0,0.0,27.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,65.0,77.0,71.0
Cambodia,TFR,268.0,0.0,134.0
Canada,TFR,33665.0,0.0,16832.5
Cayman Islands,TFR,10110.0,0.0,5055.0
Chile,TFN,292.0,246.0,269.0
China,VFN,7349.0,0.0,3674.5
Colombia,TFR,1388.0,0.0,694.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,997.0,1180.0,1088.5
Cuba,VFR,0.0,0.0,0.0
Curaçao,TFR,666.0,0.0,333.0
Dominica,TFR,635.0,0.0,317.5
Dominican Republic,TFR,2391.0,2621.0,2506.0
Ecuador,VFR,195.0,0.0,97.5
Egypt,VFN,267.0,0.0,133.5
El Salvador,TFN,206.0,305.0,255.5
Finland,TCER,70.0,52.0,61.0
Grenada,TFN,971.0,988.0,979.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,2546.0,2297.0,2421.5
Haiti,TFR,641.0,305.0,473.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1121.0,0.0,560.5
Indonesia,VFN,423.0,558.0,490.5
Israel,TFR,471.0,0.0,235.5
Italy,TFN,0.0,959.0,479.5
Japan,VFN,1259.0,1483.0,1371.0
Jordan,TFN,19.0,0.0,9.5
Kazakhstan,VFR,22.0,19.0,20.5
"Korea, Republic of",VFN,1104.0,1376.0,1240.0
Kuwait,VFN,192.0,0.0,96.0
Latvia,TCER,21.0,43.0,32.0
Lebanon,TFN,42.0,47.0,44.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,9.0,0.0,4.5
Malaysia,TFN,305.0,404.0,354.5
Maldives,TFN,48.0,0.0,24.0
Mali,TFR,6.0,0.0,3.0
Mauritius,TFR,57.0,39.0,48.0
Mexico,TFR,3796.0,0.0,1898.0
Mongolia,TFN,4.0,11.0,7.5
Morocco,TFN,611.0,0.0,305.5
New Zealand,VFR,127.0,109.0,118.0
Nicaragua,TFN,97.0,131.0,114.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,5474.0,0.0,2737.0
Paraguay,TFN,6.0,0.0,3.0
Peru,TFR,0.0,0.0,0.0
Poland,TCER,152.0,0.0,76.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,1755.0,0.0,877.5
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,48.0,107.0,77.5
Seychelles,TFR,19.0,15.0,17.0
Sierra Leone,TFR,164.0,0.0,82.0
Sint Maarten (Dutch part),TFN,1287.0,0.0,643.5
South Africa,TFR,848.0,952.0,900.0
Sri Lanka,TFR,102.0,58.0,80.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,616.0,0.0,308.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,26.0,0.0,13.0
Trinidad and Tobago,TFN,10915.0,11073.0,10994.0
Turkey,TFN,1209.0,0.0,604.5
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,106.0,0.0,53.0
United Arab Emirates,THSN,645.0,3510.0,2077.5
United States of America,TFR,290929.0,293334.0,292131.5
United States Virgin Islands,THSN,155.0,133.0,144.0
Uzbekistan,VFR,0.0,0.0,0.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
