Destination,SERIES,2018,2019,Average
Albania,VFN,6405.0,6543.0,6474.0
Algeria,VFN,2778.0,2152.0,2465.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,370.0,550.0,460.0
Antigua and Barbuda,TFR,124.0,0.0,62.0
Argentina,TFR,26858.0,0.0,13429.0
Armenia,TFR,3947.0,0.0,1973.5
Aruba,TFR,236.0,0.0,118.0
Australia,VFR,469230.0,0.0,234615.0
Austria,TCER,220198.0,256355.0,238276.5
Azerbaijan,VFR,5537.0,6135.0,5836.0
Bahamas,TFR,1394.0,1330.0,1362.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,364.0,0.0,182.0
Belarus,VFN,4006.0,4100.0,4053.0
Belgium,TCER,84508.0,0.0,42254.0
Benin,TFR,3643.0,0.0,1821.5
Bermuda,TFR,336.0,0.0,168.0
Bhutan,TFN,2674.0,3010.0,2842.0
"Bolivia, Plurinational State of",TFN,13638.0,0.0,6819.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,7884.0,0.0,3942.0
Botswana,TFR,7014.0,0.0,3507.0
Brazil,TFR,63708.0,78914.0,71311.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,5360.0,10680.0,8020.0
Bulgaria,TCER,15365.0,14999.0,15182.0
Burkina Faso,THSR,2013.0,0.0,1006.5
Cambodia,TFR,210471.0,0.0,105235.5
Canada,TFR,251235.0,0.0,125617.5
Cayman Islands,TFR,191.0,0.0,95.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,16511.0,16691.0,16601.0
China,VFN,2689662.0,0.0,1344831.0
Colombia,TFR,8138.0,0.0,4069.0
Congo,THSR,489.0,0.0,244.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,400.0,324.0,362.0
Costa Rica,TFN,6460.0,6692.0,6576.0
Croatia,TCER,159574.0,150217.0,154895.5
Cuba,VFR,19157.0,0.0,9578.5
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,129119.0,147760.0,138439.5
Denmark,TCER,39279.0,43667.0,41473.0
Dominica,TFR,105.0,0.0,52.5
Dominican Republic,TFR,1702.0,1567.0,1634.5
