Destination,SERIES,2018,2019,Average
Albania,VFN,384.0,474.0,429.0
Angola,TFR,82.0,146.0,114.0
Antigua and Barbuda,TFR,5.0,0.0,2.5
Armenia,TFR,1972.0,0.0,986.0
Australia,VFR,2200.0,0.0,1100.0
Azerbaijan,VFR,3560.0,4335.0,3947.5
Bahamas,TFR,54.0,74.0,64.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,893.0,951.0,922.0
Belgium,TCER,2129.0,0.0,1064.5
Benin,TFR,35.0,0.0,17.5
Bhutan,TFN,11.0,10.0,10.5
Botswana,TFR,36.0,0.0,18.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,1853.0,1992.0,1922.5
Cambodia,TFR,495.0,0.0,247.5
Canada,TFR,6190.0,0.0,3095.0
Cayman Islands,TFR,1.0,0.0,0.5
Chile,TFN,98.0,100.0,99.0
China,VFN,28309.0,0.0,14154.5
Colombia,TFR,118.0,0.0,59.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,109.0,113.0,111.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,15250.0,0.0,7625.0
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,96.0,0.0,48.0
Egypt,VFN,208283.0,0.0,104141.5
El Salvador,TFN,36.0,26.0,31.0
Finland,TCER,479.0,614.0,546.5
Grenada,TFN,0.0,4.0,2.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,3756.0,3217.0,3486.5
India,TFN,7036.0,0.0,3518.0
Indonesia,VFN,6228.0,6571.0,6399.5
"Iran, Islamic Republic of",VFN,1099.0,0.0,549.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,18126.0,0.0,9063.0
Italy,TFN,7362.0,12256.0,9809.0
Japan,VFN,1618.0,1669.0,1643.5
Kazakhstan,VFR,789.0,1227.0,1008.0
"Korea, Republic of",VFN,2693.0,2984.0,2838.5
Kuwait,VFN,137950.0,0.0,68975.0
Latvia,TCER,156.0,179.0,167.5
Lebanon,TFN,92920.0,87477.0,90198.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,12.0,0.0,6.0
Malaysia,TFN,14628.0,14387.0,14507.5
Maldives,TFN,1504.0,0.0,752.0
Mali,TFR,33.0,0.0,16.5
Mauritius,TFR,152.0,253.0,202.5
Mexico,TFR,637.0,0.0,318.5
Mongolia,TFN,54.0,86.0,70.0
Morocco,TFN,5050.0,0.0,2525.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,230.0,267.0,248.5
Nicaragua,TFN,26.0,30.0,28.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,3217.0,0.0,1608.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,105.0,0.0,52.5
Paraguay,TFN,10.0,0.0,5.0
Peru,TFR,0.0,0.0,0.0
Philippines,TFR,1129.0,1931.0,1530.0
Poland,TCER,1041.0,0.0,520.5
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,23.0,0.0,11.5
Saudi Arabia,TFN,615993.0,444047.0,530020.0
Seychelles,TFR,145.0,117.0,131.0
Sierra Leone,TFR,76.0,0.0,38.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,2315.0,2463.0,2389.0
Sri Lanka,TFR,3156.0,3085.0,3120.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,110370.0,356940.0,233655.0
Tajikistan,VFR,41.0,0.0,20.5
"Tanzania, United Republic of",VFR,720.0,0.0,360.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,4.0,5.0,4.5
Tunisia,TFN,7464.0,6842.0,7153.0
Turkey,TFN,406322.0,0.0,203161.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,7844.0,0.0,3922.0
United Arab Emirates,THSN,395045.0,414793.0,404919.0
United States of America,TFR,37240.0,35482.0,36361.0
Uzbekistan,VFR,335.0,0.0,167.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
