Destination,SERIES,2018,2019,Average
Albania,VFN,839.0,935.0,887.0
Angola,TFR,65.0,118.0,91.5
Australia,VFR,1480.0,0.0,740.0
Azerbaijan,VFR,37679.0,47495.0,42587.0
Bahamas,TFR,71.0,50.0,60.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,50.0,0.0,25.0
Belarus,VFN,52261.0,60382.0,56321.5
Belgium,TCER,1913.0,0.0,956.5
Bhutan,TFN,9.0,26.0,17.5
Botswana,TFR,13.0,0.0,6.5
Bulgaria,TCER,3442.0,3656.0,3549.0
Cambodia,TFR,1989.0,0.0,994.5
Canada,TFR,3512.0,0.0,1756.0
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,59.0,106.0,82.5
China,VFN,195081.0,0.0,97540.5
Colombia,TFR,137.0,0.0,68.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,151.0,218.0,184.5
Dominica,TFR,4.0,0.0,2.0
Ecuador,VFR,73.0,0.0,36.5
Egypt,VFN,133015.0,0.0,66507.5
Finland,TCER,1760.0,1644.0,1702.0
Georgia,THSR,22814.0,0.0,11407.0
Grenada,TFN,0.0,2.0,1.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,16.0,15.0,15.5
India,TFN,13314.0,0.0,6657.0
Indonesia,VFN,7955.0,9781.0,8868.0
"Iran, Islamic Republic of",VFN,2695.0,0.0,1347.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,5887.0,0.0,2943.5
Italy,TFN,7022.0,5071.0,6046.5
Japan,VFN,4391.0,5431.0,4911.0
Jordan,TFN,1225.0,0.0,612.5
"Korea, Republic of",VFN,52859.0,52966.0,52912.5
Kuwait,VFN,1319.0,0.0,659.5
Kyrgyzstan,VFR,2675523.0,0.0,1337761.5
Latvia,TCER,4710.0,6104.0,5407.0
Lebanon,TFN,1375.0,1472.0,1423.5
Lithuania,TFR,6500.0,0.0,3250.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,13861.0,18138.0,15999.5
Maldives,TFN,4249.0,0.0,2124.5
Mali,TFR,17.0,0.0,8.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,306.0,316.0,311.0
Mexico,TFR,948.0,0.0,474.0
"Moldova, Republic of",TCEN,517.0,556.0,536.5
Mongolia,TFN,16144.0,16264.0,16204.0
Morocco,TFN,700.0,0.0,350.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,359.0,287.0,323.0
Nicaragua,TFN,16.0,20.0,18.0
Oman,VFR,1502.0,0.0,751.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,68.0,0.0,34.0
Paraguay,TFN,7.0,0.0,3.5
Poland,TCER,4546.0,0.0,2273.0
Russian Federation,VFN,3510144.0,0.0,1755072.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,58.0,0.0,29.0
Saudi Arabia,TFN,14377.0,22008.0,18192.5
Seychelles,TFR,397.0,439.0,418.0
Sierra Leone,TFR,65.0,0.0,32.5
South Africa,TFR,576.0,563.0,569.5
Sri Lanka,TFR,2721.0,2399.0,2560.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,13933.0,0.0,6966.5
"Tanzania, United Republic of",VFR,188.0,0.0,94.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,9.0,14.0,11.5
Turkey,TFN,426861.0,0.0,213430.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,46898.0,0.0,23449.0
United Arab Emirates,THSN,71161.0,206333.0,138747.0
United States of America,TFR,26716.0,28244.0,27480.0
Uzbekistan,VFR,2293077.0,0.0,1146538.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
