Destination,SERIES,2018,2019,Average
Albania,VFN,76.0,69.0,72.5
Angola,TFR,456.0,577.0,516.5
Antigua and Barbuda,TFR,27.0,0.0,13.5
Australia,VFR,5340.0,0.0,2670.0
Azerbaijan,VFR,158.0,241.0,199.5
Bahamas,TFR,95.0,190.0,142.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,59.0,0.0,29.5
Belarus,VFN,53.0,55.0,54.0
Belgium,TCER,1215.0,0.0,607.5
Benin,TFR,133.0,0.0,66.5
Bhutan,TFN,12.0,22.0,17.0
Botswana,TFR,4004.0,0.0,2002.0
Brazil,TFR,880.0,785.0,832.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,430.0,464.0,447.0
Cambodia,TFR,485.0,0.0,242.5
Canada,TFR,6224.0,0.0,3112.0
Cayman Islands,TFR,27.0,0.0,13.5
Chile,TFN,72.0,85.0,78.5
China,VFN,25760.0,0.0,12880.0
Colombia,TFR,248.0,0.0,124.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,177.0,160.0,168.5
Dominica,TFR,21.0,0.0,10.5
Ecuador,VFR,89.0,0.0,44.5
Egypt,VFN,11180.0,0.0,5590.0
El Salvador,TFN,13.0,20.0,16.5
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,23380.0,0.0,11690.0
Finland,TCER,570.0,540.0,555.0
Grenada,TFN,18.0,19.0,18.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,48845.0,0.0,24422.5
Indonesia,VFN,3020.0,2845.0,2932.5
"Iran, Islamic Republic of",VFN,583.0,0.0,291.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,4745.0,0.0,2372.5
Italy,TFN,3434.0,6598.0,5016.0
Japan,VFN,1948.0,2388.0,2168.0
Jordan,TFN,1020.0,0.0,510.0
Kazakhstan,VFR,93.0,72.0,82.5
"Korea, Republic of",VFN,1910.0,2127.0,2018.5
Kuwait,VFN,2383.0,0.0,1191.5
Latvia,TCER,103.0,54.0,78.5
Lebanon,TFN,2094.0,2363.0,2228.5
Lesotho,VFR,384.0,604.0,494.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,604.0,0.0,302.0
Malaysia,TFN,6198.0,6063.0,6130.5
Maldives,TFN,386.0,0.0,193.0
Mali,TFR,997.0,0.0,498.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,4035.0,4887.0,4461.0
Mexico,TFR,1313.0,0.0,656.5
Mongolia,TFN,27.0,27.0,27.0
Morocco,TFN,2062.0,0.0,1031.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,442.0,529.0,485.5
Nicaragua,TFN,10.0,4.0,7.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,68.0,0.0,34.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,183.0,0.0,91.5
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,594.0,0.0,297.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,12656.0,9973.0,11314.5
Seychelles,TFR,2512.0,2157.0,2334.5
Sierra Leone,TFR,641.0,0.0,320.5
Slovakia,TCEN,265.0,464.0,364.5
South Africa,TFR,29193.0,30329.0,29761.0
Sri Lanka,TFR,874.0,1559.0,1216.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,238642.0,0.0,119321.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1785.0,4358.0,3071.5
Trinidad and Tobago,TFN,116.0,129.0,122.5
Turkey,TFN,7178.0,0.0,3589.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,416.0,0.0,208.0
United Arab Emirates,THSN,10797.0,85302.0,48049.5
United Kingdom,VFR,41052.0,35906.0,38479.0
United States of America,TFR,33485.0,35455.0,34470.0
Uzbekistan,VFR,62.0,0.0,31.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,11754.0,0.0,5877.0
Zimbabwe,VFR,25045.0,0.0,12522.5
