Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Armenia,TFR,3.0,0.0,1.5
Australia,VFR,1530.0,0.0,765.0
Azerbaijan,VFR,0.0,1.0,0.5
Bahamas,TFR,1.0,0.0,0.5
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,6.0,0.0,3.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,0.0,0.0,0.0
Canada,TFR,12.0,0.0,6.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,1777.0,0.0,888.5
Colombia,TFR,5.0,0.0,2.5
Costa Rica,TFN,4.0,0.0,2.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,54.0,0.0,27.0
Finland,TCER,5.0,10.0,7.5
India,TFN,98.0,0.0,49.0
Indonesia,VFN,52.0,50.0,51.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
Japan,VFN,114.0,109.0,111.5
Jordan,TFN,2.0,0.0,1.0
"Korea, Republic of",VFN,871.0,852.0,861.5
Kuwait,VFN,0.0,0.0,0.0
Lebanon,TFN,4.0,0.0,2.0
Malaysia,TFN,52.0,28.0,40.0
Maldives,TFN,0.0,0.0,0.0
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,5.0,6.0,5.5
Mexico,TFR,70.0,0.0,35.0
Mongolia,TFN,3.0,3.0,3.0
Morocco,TFN,57.0,0.0,28.5
New Zealand,VFR,833.0,677.0,755.0
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Panama,VFR,15.0,0.0,7.5
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,3.0,4.0,3.5
Seychelles,TFR,4.0,3.0,3.5
South Africa,TFR,8.0,7.0,7.5
Sri Lanka,TFR,3.0,5.0,4.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,3.0,0.0,1.5
Turkey,TFN,110.0,0.0,55.0
Tuvalu,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,21.0,0.0,10.5
United Arab Emirates,THSN,47.0,245.0,146.0
United States of America,TFR,143.0,174.0,158.5
