Destination,SERIES,2018,2019,Average
Albania,VFN,3.0,37.0,20.0
Angola,TFR,367.0,75.0,221.0
Antigua and Barbuda,TFR,11.0,0.0,5.5
Armenia,TFR,7.0,0.0,3.5
Australia,VFR,0.0,0.0,0.0
Azerbaijan,VFR,34.0,36.0,35.0
Bahamas,TFR,0.0,0.0,0.0
Barbados,TFR,8.0,0.0,4.0
Belarus,VFN,142.0,194.0,168.0
Belgium,TCER,3072.0,0.0,1536.0
Benin,TFR,160.0,0.0,80.0
Bhutan,TFN,0.0,2.0,1.0
Botswana,TFR,48.0,0.0,24.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,160.0,519.0,339.5
Canada,TFR,2138.0,0.0,1069.0
Cayman Islands,TFR,28.0,0.0,14.0
Chile,TFN,0.0,0.0,0.0
China,VFN,250654.0,0.0,125327.0
Colombia,TFR,4.0,0.0,2.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,0.0,1.0,0.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,10.0,0.0,5.0
Ecuador,VFR,183.0,0.0,91.5
Egypt,VFN,47.0,0.0,23.5
Finland,TCER,612.0,813.0,712.5
Grenada,TFN,46.0,3.0,24.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,124.0,0.0,62.0
Indonesia,VFN,622.0,241.0,431.5
"Iran, Islamic Republic of",VFN,207.0,0.0,103.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,7.0,44.0,25.5
Japan,VFN,13.0,13.0,13.0
Jordan,TFN,15.0,0.0,7.5
Kazakhstan,VFR,25.0,97.0,61.0
Kuwait,VFN,87.0,0.0,43.5
Latvia,TCER,0.0,0.0,0.0
Lebanon,TFN,164.0,219.0,191.5
Malaysia,TFN,139.0,183.0,161.0
Maldives,TFN,15.0,0.0,7.5
Mauritius,TFR,26.0,6.0,16.0
Mexico,TFR,234.0,0.0,117.0
Mongolia,TFN,411.0,454.0,432.5
Morocco,TFN,38.0,0.0,19.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,3.0,38.0,20.5
Nicaragua,TFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,0.0,0.0,0.0
Peru,TFR,0.0,0.0,0.0
Poland,TCER,751.0,0.0,375.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,2.0,2.0,2.0
Sierra Leone,TFR,89.0,0.0,44.5
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,95.0,113.0,104.0
Sri Lanka,TFR,2.0,35.0,18.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,715.0,0.0,357.5
"Tanzania, United Republic of",VFR,294.0,0.0,147.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,818.0,840.0,829.0
Trinidad and Tobago,TFN,0.0,2.0,1.0
Turkey,TFN,15.0,0.0,7.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,6.0,0.0,3.0
United Arab Emirates,THSN,4871.0,13735.0,9303.0
United States of America,TFR,525.0,600.0,562.5
Uzbekistan,VFR,46.0,0.0,23.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
