Destination,SERIES,2018,2019,Average
Albania,VFN,7886.0,5029.0,6457.5
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,106.0,476.0,291.0
Antigua and Barbuda,TFR,23.0,0.0,11.5
Argentina,TFR,35622.0,0.0,17811.0
Armenia,TFR,6947.0,0.0,3473.5
Australia,VFR,288110.0,0.0,144055.0
Austria,TCER,319932.0,324596.0,322264.0
Azerbaijan,VFR,7848.0,9412.0,8630.0
Bahamas,TFR,449.0,561.0,505.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,137.0,0.0,68.5
Belarus,VFN,1821.0,2140.0,1980.5
Belgium,TCER,28886.0,0.0,14443.0
Bhutan,TFN,998.0,1408.0,1203.0
Bosnia and Herzegovina,TCER,45388.0,0.0,22694.0
Botswana,TFR,4940.0,0.0,2470.0
Brazil,TFR,33845.0,39321.0,36583.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,9125.0,15767.0,12446.0
Bulgaria,TCER,9635.0,7349.0,8492.0
Cambodia,TFR,301770.0,0.0,150885.0
Canada,TFR,245757.0,0.0,122878.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,22994.0,19975.0,21484.5
China,VFN,4191790.0,0.0,2095895.0
Colombia,TFR,8004.0,0.0,4002.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,4879.0,4933.0,4906.0
Croatia,TCER,408110.0,403613.0,405861.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,415166.0,387563.0,401364.5
Denmark,TCER,18376.0,18042.0,18209.0
Dominica,TFR,2.0,0.0,1.0
Dominican Republic,TFR,1519.0,1371.0,1445.0
Ecuador,VFR,3813.0,0.0,1906.5
Egypt,VFN,20488.0,0.0,10244.0
El Salvador,TFN,1445.0,2315.0,1880.0
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,14997.0,0.0,7498.5
Ethiopia,TFR,3255.0,0.0,1627.5
Fiji,TFR,8176.0,6806.0,7491.0
Finland,TCER,32803.0,28044.0,30423.5
French Polynesia,TFR,1051.0,1034.0,1042.5
Germany,TCER,357980.0,340702.0,349341.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,1.0,0.0,0.5
Guam,TFR,747032.0,753889.0,750460.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,1116088.0,780141.0,948114.5
Iceland,TFN,17022.0,16351.0,16686.5
India,TFN,150536.0,0.0,75268.0
Indonesia,VFN,358885.0,388316.0,373600.5
"Iran, Islamic Republic of",VFN,7912.0,0.0,3956.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,45085.0,0.0,22542.5
Italy,TFN,50352.0,46647.0,48499.5
Jamaica,TFR,308.0,407.0,357.5
Japan,VFN,7538952.0,5584597.0,6561774.5
Jordan,TFN,14985.0,0.0,7492.5
Kazakhstan,VFR,35136.0,40180.0,37658.0
Kuwait,VFN,29286.0,0.0,14643.0
Kyrgyzstan,VFR,14389.0,0.0,7194.5
Lao People's Democratic Republic,VFN,174405.0,203191.0,188798.0
Latvia,TCER,6953.0,8341.0,7647.0
Lebanon,TFN,3013.0,3688.0,3350.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,194.0,195.0,194.5
Luxembourg,TCER,2694.0,0.0,1347.0
"Macao, China",THSR,481414.0,552973.0,517193.5
Madagascar,TFN,783.0,0.0,391.5
Malaysia,TFN,616783.0,673065.0,644924.0
Maldives,TFN,34400.0,0.0,17200.0
Mali,TFR,211.0,0.0,105.5
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,7204.0,7072.0,7138.0
Mexico,TFR,86169.0,0.0,43084.5
Mongolia,TFN,84184.0,101279.0,92731.5
Montenegro,TCEN,5016.0,0.0,2508.0
Morocco,TFN,36989.0,0.0,18494.5
Myanmar,TFN,72852.0,111794.0,92323.0
Nepal,TFN,37142.0,29680.0,33411.0
New Caledonia,TFR,350.0,315.0,332.5
New Zealand,VFR,87853.0,88481.0,88167.0
Nicaragua,TFN,1850.0,1762.0,1806.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,3245.0,2376.0,2810.5
Northern Mariana Islands,VFN,240577.0,0.0,120288.5
Norway,TCER,58862.0,57320.0,58091.0
Oman,VFR,1229.0,0.0,614.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,14347.0,0.0,7173.5
Panama,VFR,6180.0,0.0,3090.0
Papua New Guinea,VFR,955.0,1243.0,1099.0
Paraguay,TFN,3639.0,0.0,1819.5
Peru,TFR,32133.0,0.0,16066.5
Philippines,TFR,1624251.0,1989322.0,1806786.5
Poland,TCER,44007.0,0.0,22003.5
Portugal,TCER,170854.0,205601.0,188227.5
