Destination,SERIES,2018,2019,Average
Albania,VFN,788.0,811.0,799.5
Angola,TFR,0.0,2.0,1.0
Antigua and Barbuda,TFR,31.0,0.0,15.5
Armenia,TFR,608.0,0.0,304.0
Australia,VFR,4230.0,0.0,2115.0
Azerbaijan,VFR,29741.0,30290.0,30015.5
Bahamas,TFR,129.0,138.0,133.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,14.0,0.0,7.0
Belarus,VFN,240.0,704.0,472.0
Belgium,TCER,7289.0,0.0,3644.5
Benin,TFR,21.0,0.0,10.5
Bhutan,TFN,19.0,143.0,81.0
Bosnia and Herzegovina,TCER,8223.0,0.0,4111.5
Botswana,TFR,29.0,0.0,14.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,127.0,67.0,97.0
Bulgaria,TCER,1222.0,1425.0,1323.5
Cambodia,TFR,472.0,0.0,236.0
Canada,TFR,4742.0,0.0,2371.0
Cayman Islands,TFR,10.0,0.0,5.0
Chile,TFN,45.0,88.0,66.5
China,VFN,6483.0,0.0,3241.5
Colombia,TFR,96.0,0.0,48.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,105.0,62.0,83.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,2840.0,0.0,1420.0
Dominica,TFR,1.0,0.0,0.5
Ecuador,VFR,45.0,0.0,22.5
Egypt,VFN,164532.0,0.0,82266.0
Ethiopia,TFR,2845.0,0.0,1422.5
Finland,TCER,710.0,1003.0,856.5
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,3100.0,2370.0,2735.0
India,TFN,11811.0,0.0,5905.5
Indonesia,VFN,5551.0,5762.0,5656.5
"Iran, Islamic Republic of",VFN,62841.0,0.0,31420.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,39.0,0.0,19.5
Italy,TFN,25187.0,17846.0,21516.5
Japan,VFN,2939.0,3465.0,3202.0
Jordan,TFN,86481.0,0.0,43240.5
Kazakhstan,VFR,180.0,289.0,234.5
"Korea, Republic of",VFN,2695.0,3446.0,3070.5
Latvia,TCER,161.0,152.0,156.5
Lebanon,TFN,40382.0,43285.0,41833.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,14.0,0.0,7.0
Malaysia,TFN,7928.0,9632.0,8780.0
Maldives,TFN,4559.0,0.0,2279.5
Mali,TFR,150.0,0.0,75.0
Mauritius,TFR,661.0,817.0,739.0
Mexico,TFR,1088.0,0.0,544.0
Mongolia,TFN,136.0,162.0,149.0
Morocco,TFN,18045.0,0.0,9022.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,759.0,751.0,755.0
Nicaragua,TFN,9.0,13.0,11.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,38170.0,0.0,19085.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,34.0,0.0,17.0
Paraguay,TFN,2.0,0.0,1.0
Philippines,TFR,6448.0,6309.0,6378.5
Poland,TCER,2138.0,0.0,1069.0
Portugal,TCER,0.0,0.0,0.0
Qatar,VFN,70969.0,88035.0,79502.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,1992838.0,2187736.0,2090287.0
Seychelles,TFR,521.0,751.0,636.0
Sierra Leone,TFR,53.0,0.0,26.5
Singapore,VFR,9794.0,9625.0,9709.5
South Africa,TFR,1200.0,1220.0,1210.0
Sri Lanka,TFR,3465.0,3239.0,3352.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,3938.0,7081.0,5509.5
Tajikistan,VFR,59.0,0.0,29.5
"Tanzania, United Republic of",VFR,846.0,0.0,423.0
Thailand,TFR,77365.0,0.0,38682.5
Togo,THSR,142.0,45.0,93.5
Trinidad and Tobago,TFN,6.0,5.0,5.5
Tunisia,TFN,1525.0,1847.0,1686.0
Turkey,TFN,298534.0,0.0,149267.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,2030.0,0.0,1015.0
United Arab Emirates,THSN,396561.0,374066.0,385313.5
United Kingdom,VFR,167475.0,181011.0,174243.0
United States of America,TFR,62658.0,61231.0,61944.5
Uzbekistan,VFR,211.0,0.0,105.5
Yemen,TFN,0.0,0.0,0.0
