Destination,SERIES,2018,2019,Average
Albania,VFN,85.0,178.0,131.5
Angola,TFR,0.0,0.0,0.0
Australia,VFR,100.0,0.0,50.0
Azerbaijan,VFR,3226.0,4460.0,3843.0
Bahamas,TFR,5.0,1.0,3.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,8501.0,12507.0,10504.0
Belgium,TCER,291.0,0.0,145.5
Bhutan,TFN,0.0,2.0,1.0
Botswana,TFR,0.0,0.0,0.0
Bulgaria,TCER,430.0,526.0,478.0
Cambodia,TFR,293.0,0.0,146.5
Canada,TFR,339.0,0.0,169.5
Chile,TFN,5.0,11.0,8.0
China,VFN,38269.0,0.0,19134.5
Colombia,TFR,9.0,0.0,4.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,20.0,21.0,20.5
Ecuador,VFR,16.0,0.0,8.0
Egypt,VFN,7452.0,0.0,3726.0
Finland,TCER,138.0,100.0,119.0
Georgia,THSR,1938.0,0.0,969.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,2.0,0.0,1.0
India,TFN,4056.0,0.0,2028.0
Indonesia,VFN,1237.0,1332.0,1284.5
"Iran, Islamic Republic of",VFN,796.0,0.0,398.0
Israel,TFR,644.0,0.0,322.0
Italy,TFN,0.0,1252.0,626.0
Japan,VFN,1446.0,1695.0,1570.5
Jordan,TFN,570.0,0.0,285.0
Kazakhstan,VFR,1327877.0,1494410.0,1411143.5
"Korea, Republic of",VFN,7305.0,7659.0,7482.0
Kuwait,VFN,1609.0,0.0,804.5
Latvia,TCER,771.0,547.0,659.0
Lebanon,TFN,393.0,400.0,396.5
Malaysia,TFN,2813.0,3295.0,3054.0
Maldives,TFN,259.0,0.0,129.5
Mali,TFR,5.0,0.0,2.5
Mauritius,TFR,24.0,31.0,27.5
Mexico,TFR,271.0,0.0,135.5
"Moldova, Republic of",TCEN,119.0,184.0,151.5
Mongolia,TFN,524.0,727.0,625.5
Morocco,TFN,163.0,0.0,81.5
New Zealand,VFR,74.0,26.0,50.0
Nicaragua,TFN,1.0,9.0,5.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,41.0,0.0,20.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,461.0,0.0,230.5
Russian Federation,VFN,451852.0,0.0,225926.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,8500.0,15585.0,12042.5
Seychelles,TFR,40.0,34.0,37.0
Sierra Leone,TFR,0.0,0.0,0.0
South Africa,TFR,112.0,138.0,125.0
Sri Lanka,TFR,459.0,397.0,428.0
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,68788.0,0.0,34394.0
"Tanzania, United Republic of",VFR,24.0,0.0,12.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,6.0,8.0,7.0
Turkey,TFN,114840.0,0.0,57420.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,6018.0,0.0,3009.0
United Arab Emirates,THSN,4021.0,11315.0,7668.0
United States of America,TFR,3596.0,3957.0,3776.5
Uzbekistan,VFR,1055688.0,0.0,527844.0
