Destination,SERIES,2018,2019,Average
Albania,VFN,3.0,5.0,4.0
Antigua and Barbuda,TFR,2.0,0.0,1.0
Australia,VFR,2380.0,0.0,1190.0
Azerbaijan,VFR,19.0,31.0,25.0
Bahamas,TFR,1.0,0.0,0.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,3.0,26.0,14.5
Belgium,TCER,300.0,0.0,150.0
Bhutan,TFN,2.0,56.0,29.0
Botswana,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,233.0,221.0,227.0
Bulgaria,TCER,94.0,93.0,93.5
Cambodia,TFR,426180.0,0.0,213090.0
Canada,TFR,314.0,0.0,157.0
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,3.0,5.0,4.0
China,VFN,305200.0,0.0,152600.0
Colombia,TFR,10.0,0.0,5.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,4.0,11.0,7.5
Cuba,VFR,0.0,0.0,0.0
Ecuador,VFR,10.0,0.0,5.0
Egypt,VFN,13.0,0.0,6.5
Finland,TCER,68.0,69.0,68.5
Guinea,TFR,0.0,0.0,0.0
India,TFN,1990.0,0.0,995.0
Indonesia,VFN,3809.0,4142.0,3975.5
Israel,TFR,319.0,0.0,159.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,5987.0,6154.0,6070.5
Jordan,TFN,20.0,0.0,10.0
Kazakhstan,VFR,52.0,32.0,42.0
"Korea, Republic of",VFN,11924.0,12816.0,12370.0
Kuwait,VFN,36.0,0.0,18.0
Latvia,TCER,44.0,65.0,54.5
Lebanon,TFN,6.0,8.0,7.0
Malaysia,TFN,23782.0,26955.0,25368.5
Maldives,TFN,347.0,0.0,173.5
Mali,TFR,6.0,0.0,3.0
Mauritius,TFR,9.0,14.0,11.5
Mexico,TFR,361.0,0.0,180.5
Mongolia,TFN,153.0,104.0,128.5
Morocco,TFN,222.0,0.0,111.0
New Zealand,VFR,608.0,447.0,527.5
Nicaragua,TFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,2.0,0.0,1.0
Paraguay,TFN,0.0,0.0,0.0
Philippines,TFR,1183.0,1454.0,1318.5
Poland,TCER,99.0,0.0,49.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,1.0,7.0,4.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,27.0,30.0,28.5
Sri Lanka,TFR,158.0,129.0,143.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,10.0,0.0,5.0
Thailand,TFR,1682304.0,0.0,841152.0
Trinidad and Tobago,TFN,0.0,1.0,0.5
Turkey,TFN,51.0,0.0,25.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,31.0,0.0,15.5
United Arab Emirates,THSN,83.0,405.0,244.0
United States of America,TFR,1905.0,1914.0,1909.5
Uzbekistan,VFR,18.0,0.0,9.0
Viet Nam,VFR,120009.0,98492.0,109250.5
