Destination,SERIES,2018,2019,Average
Albania,VFN,2247.0,4662.0,3454.5
Angola,TFR,93.0,78.0,85.5
Argentina,TFR,993.0,0.0,496.5
Armenia,TFR,1871.0,0.0,935.5
Australia,VFR,1470.0,0.0,735.0
Austria,TCER,25696.0,28048.0,26872.0
Azerbaijan,VFR,2429.0,2467.0,2448.0
Bahamas,TFR,204.0,198.0,201.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,95.0,0.0,47.5
Belarus,VFN,193708.0,205630.0,199669.0
Belgium,TCER,11936.0,0.0,5968.0
Bhutan,TFN,34.0,53.0,43.5
Bosnia and Herzegovina,TCER,690.0,0.0,345.0
Botswana,TFR,56.0,0.0,28.0
Brazil,TFR,1081.0,1289.0,1185.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,15522.0,13524.0,14523.0
Cambodia,TFR,1495.0,0.0,747.5
Canada,TFR,2727.0,0.0,1363.5
Cayman Islands,TFR,18.0,0.0,9.0
Chile,TFN,506.0,554.0,530.0
China,VFN,8243.0,0.0,4121.5
Colombia,TFR,406.0,0.0,203.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,513.0,529.0,521.0
Croatia,TCER,24411.0,24929.0,24670.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,15676.0,0.0,7838.0
Czech Republic,TCEN,22716.0,27499.0,25107.5
Dominica,TFR,13.0,0.0,6.5
Ecuador,VFR,400.0,0.0,200.0
Egypt,VFN,29513.0,0.0,14756.5
El Salvador,TFN,46.0,29.0,37.5
Estonia,TCER,162873.0,0.0,81436.5
Finland,TCER,25511.0,26253.0,25882.0
Germany,TCER,77086.0,82932.0,80009.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,17.0,14.0,15.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,6.0,7.0,6.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,3792.0,0.0,1896.0
Indonesia,VFN,4213.0,5278.0,4745.5
Israel,TFR,14186.0,0.0,7093.0
Italy,TFN,116796.0,120103.0,118449.5
Japan,VFN,2551.0,2701.0,2626.0
Jordan,TFN,64.0,0.0,32.0
Kazakhstan,VFR,4117.0,4372.0,4244.5
"Korea, Republic of",VFN,2357.0,2272.0,2314.5
Kuwait,VFN,271.0,0.0,135.5
Lebanon,TFN,507.0,550.0,528.5
Liechtenstein,TCER,84.0,95.0,89.5
Lithuania,TFR,362100.0,0.0,181050.0
Luxembourg,TCER,973.0,0.0,486.5
Madagascar,TFN,4.0,0.0,2.0
Malaysia,TFN,2269.0,2117.0,2193.0
Maldives,TFN,1199.0,0.0,599.5
Mali,TFR,3.0,0.0,1.5
Malta,TFR,14735.0,16331.0,15533.0
Mauritius,TFR,800.0,631.0,715.5
Mexico,TFR,1776.0,0.0,888.0
"Moldova, Republic of",TCEN,698.0,593.0,645.5
Mongolia,TFN,118.0,109.0,113.5
Montenegro,TCEN,3300.0,0.0,1650.0
Morocco,TFN,6000.0,0.0,3000.0
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,506.0,633.0,569.5
Nicaragua,TFN,97.0,120.0,108.5
North Macedonia,TCEN,648.0,1012.0,830.0
Norway,TCER,20348.0,20314.0,20331.0
Oman,VFR,205.0,0.0,102.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,386.0,0.0,193.0
Paraguay,TFN,36.0,0.0,18.0
Poland,TCER,76780.0,0.0,38390.0
Romania,TCER,2973.0,4886.0,3929.5
Russian Federation,VFN,286914.0,0.0,143457.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,2342.0,0.0,1171.0
Saudi Arabia,TFN,255.0,428.0,341.5
Serbia,TCEN,1330.0,1377.0,1353.5
Seychelles,TFR,312.0,416.0,364.0
Sierra Leone,TFR,98.0,0.0,49.0
Slovakia,TCEN,7428.0,11325.0,9376.5
Slovenia,TCEN,6697.0,6889.0,6793.0
South Africa,TFR,815.0,722.0,768.5
Sri Lanka,TFR,1940.0,1856.0,1898.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,23710.0,0.0,11855.0
Switzerland,TCER,7527.0,7141.0,7334.0
Tajikistan,VFR,124.0,0.0,62.0
"Tanzania, United Republic of",VFR,497.0,0.0,248.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,0.0,195.0,97.5
Trinidad and Tobago,TFN,55.0,181.0,118.0
Turkey,TFN,65508.0,0.0,32754.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,42979.0,0.0,21489.5
United Arab Emirates,THSN,6452.0,23193.0,14822.5
United Kingdom,VFR,130013.0,143937.0,136975.0
United States of America,TFR,20349.0,21032.0,20690.5
Uzbekistan,VFR,1265.0,0.0,632.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
