Destination,SERIES,2018,2019,Average
Albania,VFN,447.0,544.0,495.5
Angola,TFR,2369.0,3517.0,2943.0
Antigua and Barbuda,TFR,22.0,0.0,11.0
Argentina,TFR,959.0,0.0,479.5
Armenia,TFR,11491.0,0.0,5745.5
Australia,VFR,7300.0,0.0,3650.0
Azerbaijan,VFR,888.0,1236.0,1062.0
Bahamas,TFR,82.0,101.0,91.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,19.0,0.0,9.5
Belarus,VFN,3383.0,3421.0,3402.0
Belgium,TCER,5679.0,0.0,2839.5
Benin,TFR,4058.0,0.0,2029.0
Bhutan,TFN,21.0,30.0,25.5
Botswana,TFR,111.0,0.0,55.5
Brazil,TFR,2860.0,3692.0,3276.0
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,0.0,0.0,0.0
Bulgaria,TCER,3376.0,2293.0,2834.5
Burkina Faso,THSR,388.0,0.0,194.0
Canada,TFR,11815.0,0.0,5907.5
Cayman Islands,TFR,13.0,0.0,6.5
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,154.0,145.0,149.5
China,VFN,18549.0,0.0,9274.5
Colombia,TFR,493.0,0.0,246.5
Congo,THSR,555.0,0.0,277.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,190.0,186.0,188.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,62255.0,0.0,31127.5
Dominica,TFR,22.0,0.0,11.0
Ecuador,VFR,537.0,0.0,268.5
Egypt,VFN,120637.0,0.0,60318.5
El Salvador,TFN,16.0,14.0,15.0
Finland,TCER,655.0,685.0,670.0
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,7.0,8.0,7.5
Guinea,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,6724.0,0.0,3362.0
Indonesia,VFN,5228.0,6066.0,5647.0
"Iran, Islamic Republic of",VFN,44086.0,0.0,22043.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,230.0,0.0,115.0
Italy,TFN,20104.0,28217.0,24160.5
Japan,VFN,1559.0,1710.0,1634.5
Jordan,TFN,48682.0,0.0,24341.0
Kazakhstan,VFR,503.0,486.0,494.5
"Korea, Republic of",VFN,1023.0,1083.0,1053.0
Kuwait,VFN,132685.0,0.0,66342.5
Latvia,TCER,244.0,281.0,262.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,92.0,0.0,46.0
Malaysia,TFN,4433.0,4228.0,4330.5
Maldives,TFN,1898.0,0.0,949.0
Mali,TFR,603.0,0.0,301.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,499.0,565.0,532.0
Mexico,TFR,1158.0,0.0,579.0
Mongolia,TFN,36.0,51.0,43.5
Morocco,TFN,5029.0,0.0,2514.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,120.0,157.0,138.5
Nicaragua,TFN,28.0,10.0,19.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,5407.0,0.0,2703.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,200.0,0.0,100.0
Paraguay,TFN,99.0,0.0,49.5
Peru,TFR,0.0,0.0,0.0
Poland,TCER,1722.0,0.0,861.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,62927.0,83942.0,73434.5
Seychelles,TFR,445.0,448.0,446.5
Sierra Leone,TFR,772.0,0.0,386.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,3040.0,3018.0,3029.0
Sri Lanka,TFR,5521.0,4304.0,4912.5
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,1281185.0,1549207.0,1415196.0
Tajikistan,VFR,40.0,0.0,20.0
"Tanzania, United Republic of",VFR,1065.0,0.0,532.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1192.0,1763.0,1477.5
Trinidad and Tobago,TFN,26.0,33.0,29.5
Tunisia,TFN,4446.0,3969.0,4207.5
Turkey,TFN,333019.0,0.0,166509.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,7097.0,0.0,3548.5
United Arab Emirates,THSN,203891.0,218156.0,211023.5
United States of America,TFR,36951.0,36548.0,36749.5
Uzbekistan,VFR,190.0,0.0,95.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
