Destination,SERIES,2018,2019,Average
Albania,VFN,9.0,2.0,5.5
Angola,TFR,60.0,66.0,63.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,3.0,0.0,1.5
Australia,VFR,70.0,0.0,35.0
Azerbaijan,VFR,7.0,7.0,7.0
Bahamas,TFR,0.0,1.0,0.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,2.0,0.0,1.0
Belarus,VFN,0.0,14.0,7.0
Belgium,TCER,82.0,0.0,41.0
Benin,TFR,70.0,0.0,35.0
Bhutan,TFN,0.0,4.0,2.0
Botswana,TFR,21030.0,0.0,10515.0
Bulgaria,TCER,6.0,2.0,4.0
Canada,TFR,73.0,0.0,36.5
Cayman Islands,TFR,1.0,0.0,0.5
China,VFN,1281.0,0.0,640.5
Colombia,TFR,3.0,0.0,1.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,2.0,2.0,2.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,16.0,0.0,8.0
Egypt,VFN,192.0,0.0,96.0
Finland,TCER,0.0,4.0,2.0
Grenada,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,753.0,0.0,376.5
Indonesia,VFN,122.0,95.0,108.5
Israel,TFR,119.0,0.0,59.5
Italy,TFN,79.0,0.0,39.5
Japan,VFN,82.0,123.0,102.5
Jordan,TFN,3.0,0.0,1.5
Kazakhstan,VFR,16.0,0.0,8.0
"Korea, Republic of",VFN,47.0,54.0,50.5
Kuwait,VFN,63.0,0.0,31.5
Lebanon,TFN,6.0,13.0,9.5
Madagascar,TFN,4.0,0.0,2.0
Malaysia,TFN,105.0,69.0,87.0
Maldives,TFN,7.0,0.0,3.5
Mali,TFR,11.0,0.0,5.5
Mauritius,TFR,337.0,240.0,288.5
Mexico,TFR,32.0,0.0,16.0
Mongolia,TFN,0.0,2.0,1.0
Morocco,TFN,144.0,0.0,72.0
New Zealand,VFR,1.0,6.0,3.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,1.0,0.0,0.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,50.0,0.0,25.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,100.0,63.0,81.5
Seychelles,TFR,49.0,30.0,39.5
Sierra Leone,TFR,41.0,0.0,20.5
South Africa,TFR,1739188.0,1563448.0,1651318.0
Sri Lanka,TFR,7.0,13.0,10.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1195.0,0.0,597.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,52.0,113.0,82.5
Trinidad and Tobago,TFN,2.0,0.0,1.0
Turkey,TFN,116.0,0.0,58.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,4.0,0.0,2.0
United Arab Emirates,THSN,108.0,491.0,299.5
United States of America,TFR,450.0,393.0,421.5
Uzbekistan,VFR,0.0,0.0,0.0
Zimbabwe,VFR,29179.0,0.0,14589.5
