Destination,SERIES,2018,2019,Average
Albania,VFN,2.0,7.0,4.5
Angola,TFR,31.0,18.0,24.5
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,1.0,0.0,0.5
Australia,VFR,90.0,0.0,45.0
Azerbaijan,VFR,5.0,23.0,14.0
Bahamas,TFR,3.0,6.0,4.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,5.0,0.0,2.5
Belarus,VFN,21.0,43.0,32.0
Belgium,TCER,196.0,0.0,98.0
Benin,TFR,1144.0,0.0,572.0
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,66.0,0.0,33.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,14.0,6.0,10.0
Cambodia,TFR,1399.0,0.0,699.5
Canada,TFR,214.0,0.0,107.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,3832.0,0.0,1916.0
Colombia,TFR,6.0,0.0,3.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,19.0,30.0,24.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,5.0,0.0,2.5
Egypt,VFN,233.0,0.0,116.5
El Salvador,TFN,1.0,0.0,0.5
Finland,TCER,24.0,15.0,19.5
Ghana,TFN,0.0,0.0,0.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,710.0,0.0,355.0
Indonesia,VFN,65.0,93.0,79.0
Israel,TFR,115.0,0.0,57.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,104.0,163.0,133.5
Jordan,TFN,10.0,0.0,5.0
Kazakhstan,VFR,12.0,8.0,10.0
"Korea, Republic of",VFN,530.0,405.0,467.5
Kuwait,VFN,85.0,0.0,42.5
Latvia,TCER,9.0,23.0,16.0
Lebanon,TFN,245.0,162.0,203.5
Madagascar,TFN,1.0,0.0,0.5
Malaysia,TFN,101.0,106.0,103.5
Maldives,TFN,9.0,0.0,4.5
Mali,TFR,423.0,0.0,211.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,57.0,44.0,50.5
Mexico,TFR,70.0,0.0,35.0
Mongolia,TFN,0.0,2.0,1.0
Morocco,TFN,466.0,0.0,233.0
New Zealand,VFR,21.0,18.0,19.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,68.0,0.0,34.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,9.0,0.0,4.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,51.0,0.0,25.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,37.0,34.0,35.5
Seychelles,TFR,7.0,3.0,5.0
Sierra Leone,TFR,948.0,0.0,474.0
South Africa,TFR,671.0,731.0,701.0
Sri Lanka,TFR,12.0,7.0,9.5
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,251.0,0.0,125.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,857.0,1043.0,950.0
Trinidad and Tobago,TFN,5.0,10.0,7.5
Turkey,TFN,249.0,0.0,124.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,66.0,0.0,33.0
United Arab Emirates,THSN,237.0,2495.0,1366.0
United States of America,TFR,3483.0,3042.0,3262.5
