Destination,SERIES,2018,2019,Average
Albania,VFN,261.0,224.0,242.5
Algeria,VFN,11550.0,17433.0,14491.5
Angola,TFR,63.0,131.0,97.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,4.0,0.0,2.0
Australia,VFR,80.0,0.0,40.0
Azerbaijan,VFR,148.0,267.0,207.5
Bahamas,TFR,0.0,0.0,0.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,341.0,268.0,304.5
Belgium,TCER,636.0,0.0,318.0
Benin,TFR,1520.0,0.0,760.0
Botswana,TFR,33.0,0.0,16.5
Bulgaria,TCER,469.0,419.0,444.0
Canada,TFR,466.0,0.0,233.0
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,2.0,2.0,2.0
China,VFN,3199.0,0.0,1599.5
Colombia,TFR,0.0,0.0,0.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,1.0,6.0,3.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,18.0,0.0,9.0
Egypt,VFN,410659.0,0.0,205329.5
Finland,TCER,108.0,110.0,109.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,716.0,0.0,358.0
Indonesia,VFN,1911.0,2623.0,2267.0
"Iran, Islamic Republic of",VFN,124.0,0.0,62.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,0.0,0.0,0.0
Italy,TFN,5985.0,8363.0,7174.0
Japan,VFN,159.0,169.0,164.0
Jordan,TFN,26920.0,0.0,13460.0
Kazakhstan,VFR,42.0,86.0,64.0
"Korea, Republic of",VFN,2787.0,4941.0,3864.0
Kuwait,VFN,2069.0,0.0,1034.5
Latvia,TCER,64.0,83.0,73.5
Lebanon,TFN,2711.0,2113.0,2412.0
Madagascar,TFN,24.0,0.0,12.0
Malaysia,TFN,5057.0,6498.0,5777.5
Maldives,TFN,205.0,0.0,102.5
Mali,TFR,386.0,0.0,193.0
Malta,TFR,3359.0,2828.0,3093.5
Mauritius,TFR,49.0,35.0,42.0
Mexico,TFR,69.0,0.0,34.5
Mongolia,TFN,4.0,2.0,3.0
Morocco,TFN,3117.0,0.0,1558.5
New Zealand,VFR,4.0,21.0,12.5
Nicaragua,TFN,13.0,5.0,9.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,342.0,0.0,171.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,57.0,0.0,28.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,438.0,0.0,219.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,4.0,0.0,2.0
Saudi Arabia,TFN,92044.0,82054.0,87049.0
Seychelles,TFR,81.0,34.0,57.5
Sierra Leone,TFR,182.0,0.0,91.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,898.0,866.0,882.0
Sri Lanka,TFR,97.0,118.0,107.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,300.0,378.0,339.0
Tajikistan,VFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,175.0,0.0,87.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,45.0,263.0,154.0
Trinidad and Tobago,TFN,2.0,5.0,3.5
Tunisia,TFN,1504018.0,1956060.0,1730039.0
Turkey,TFN,188301.0,0.0,94150.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,3350.0,0.0,1675.0
United Arab Emirates,THSN,2368.0,9621.0,5994.5
United States of America,TFR,297.0,393.0,345.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
