Destination,SERIES,2018,2019,Average
Albania,VFN,109.0,152.0,130.5
Antigua and Barbuda,TFR,6.0,0.0,3.0
Australia,VFR,100.0,0.0,50.0
Azerbaijan,VFR,10.0,32.0,21.0
Bahamas,TFR,59.0,22.0,40.5
Barbados,TFR,9.0,0.0,4.5
Belarus,VFN,16.0,27.0,21.5
Belgium,TCER,868.0,0.0,434.0
Bhutan,TFN,7.0,5.0,6.0
Botswana,TFR,34.0,0.0,17.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,83.0,124.0,103.5
Canada,TFR,440.0,0.0,220.0
Cayman Islands,TFR,1.0,0.0,0.5
Chile,TFN,88.0,84.0,86.0
China,VFN,356.0,0.0,178.0
Colombia,TFR,54.0,0.0,27.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,112.0,80.0,96.0
Cuba,VFR,0.0,0.0,0.0
Czech Republic,TCEN,1526.0,1429.0,1477.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,17.0,0.0,8.5
Egypt,VFN,454.0,0.0,227.0
El Salvador,TFN,2.0,4.0,3.0
Finland,TCER,290.0,457.0,373.5
Grenada,TFN,1.0,1.0,1.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,136.0,0.0,68.0
Indonesia,VFN,228.0,412.0,320.0
Israel,TFR,156.0,0.0,78.0
Italy,TFN,6761.0,8893.0,7827.0
Japan,VFN,229.0,194.0,211.5
Jordan,TFN,28.0,0.0,14.0
Kazakhstan,VFR,11.0,15.0,13.0
"Korea, Republic of",VFN,82.0,57.0,69.5
Kuwait,VFN,35.0,0.0,17.5
Latvia,TCER,106.0,162.0,134.0
Lebanon,TFN,27.0,19.0,23.0
Malaysia,TFN,106.0,95.0,100.5
Maldives,TFN,158.0,0.0,79.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,93.0,153.0,123.0
Mexico,TFR,264.0,0.0,132.0
Mongolia,TFN,10.0,9.0,9.5
Morocco,TFN,0.0,0.0,0.0
New Zealand,VFR,94.0,98.0,96.0
Nicaragua,TFN,9.0,1.0,5.0
Norway,TCER,1239.0,1308.0,1273.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,41.0,0.0,20.5
Paraguay,TFN,11.0,0.0,5.5
Poland,TCER,470.0,0.0,235.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,120.0,0.0,60.0
Saudi Arabia,TFN,10.0,28.0,19.0
Seychelles,TFR,49.0,65.0,57.0
Slovakia,TCEN,327.0,396.0,361.5
South Africa,TFR,245.0,271.0,258.0
Sri Lanka,TFR,126.0,108.0,117.0
Suriname,TFR,0.0,0.0,0.0
Switzerland,TCER,16942.0,17518.0,17230.0
"Tanzania, United Republic of",VFR,196.0,0.0,98.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1.0,1.0,1.0
Turkey,TFN,1513.0,0.0,756.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,120.0,0.0,60.0
United Arab Emirates,THSN,373.0,1066.0,719.5
United States of America,TFR,2159.0,2312.0,2235.5
Uzbekistan,VFR,13.0,0.0,6.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
