Destination,SERIES,2018,2019,Average
Albania,VFN,4975.0,9833.0,7404.0
Angola,TFR,0.0,150.0,75.0
Argentina,TFR,1558.0,0.0,779.0
Armenia,TFR,1708.0,0.0,854.0
Australia,VFR,1900.0,0.0,950.0
Austria,TCER,33830.0,37865.0,35847.5
Azerbaijan,VFR,1902.0,2474.0,2188.0
Bahamas,TFR,225.0,199.0,212.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,106.0,0.0,53.0
Belarus,VFN,1038479.0,1130053.0,1084266.0
Belgium,TCER,18493.0,0.0,9246.5
Bhutan,TFN,79.0,58.0,68.5
Bosnia and Herzegovina,TCER,1215.0,0.0,607.5
Botswana,TFR,115.0,0.0,57.5
Brazil,TFR,1804.0,2478.0,2141.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,27404.0,22259.0,24831.5
Cambodia,TFR,2250.0,0.0,1125.0
Canada,TFR,2797.0,0.0,1398.5
Cayman Islands,TFR,25.0,0.0,12.5
Chile,TFN,727.0,943.0,835.0
China,VFN,10972.0,0.0,5486.0
Colombia,TFR,796.0,0.0,398.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,968.0,956.0,962.0
Croatia,TCER,41512.0,45687.0,43599.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,20406.0,0.0,10203.0
Czech Republic,TCEN,65918.0,71628.0,68773.0
Dominica,TFR,12.0,0.0,6.0
Ecuador,VFR,452.0,0.0,226.0
Egypt,VFN,69907.0,0.0,34953.5
El Salvador,TFN,54.0,77.0,65.5
Estonia,TCER,66948.0,0.0,33474.0
Finland,TCER,17490.0,19623.0,18556.5
Germany,TCER,105098.0,111582.0,108340.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,18.0,7.0,12.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,15.0,29.0,22.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,5111.0,0.0,2555.5
Indonesia,VFN,8497.0,9180.0,8838.5
"Iran, Islamic Republic of",VFN,658.0,0.0,329.0
Israel,TFR,19211.0,0.0,9605.5
Italy,TFN,199988.0,339035.0,269511.5
Japan,VFN,4498.0,5260.0,4879.0
Jordan,TFN,2787.0,0.0,1393.5
Kazakhstan,VFR,5941.0,6166.0,6053.5
"Korea, Republic of",VFN,2490.0,2671.0,2580.5
Kuwait,VFN,450.0,0.0,225.0
Kyrgyzstan,VFR,785.0,0.0,392.5
Latvia,TCER,190931.0,209536.0,200233.5
Lebanon,TFN,1470.0,941.0,1205.5
Liechtenstein,TCER,95.0,103.0,99.0
Luxembourg,TCER,1386.0,0.0,693.0
Madagascar,TFN,120.0,0.0,60.0
Malaysia,TFN,3582.0,3450.0,3516.0
Maldives,TFN,2638.0,0.0,1319.0
Mali,TFR,14.0,0.0,7.0
Malta,TFR,13757.0,16455.0,15106.0
Mauritius,TFR,829.0,1338.0,1083.5
Mexico,TFR,3349.0,0.0,1674.5
"Moldova, Republic of",TCEN,974.0,931.0,952.5
Mongolia,TFN,113.0,125.0,119.0
Montenegro,TCEN,7505.0,0.0,3752.5
Morocco,TFN,237.0,0.0,118.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,616.0,593.0,604.5
Nicaragua,TFN,179.0,180.0,179.5
North Macedonia,TCEN,964.0,1504.0,1234.0
Norway,TCER,45226.0,47009.0,46117.5
Oman,VFR,273.0,0.0,136.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,539.0,0.0,269.5
Paraguay,TFN,52.0,0.0,26.0
Peru,TFR,1348.0,0.0,674.0
Poland,TCER,167253.0,0.0,83626.5
Romania,TCER,6375.0,6446.0,6410.5
Russian Federation,VFN,215654.0,0.0,107827.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,6660.0,0.0,3330.0
Saudi Arabia,TFN,462.0,787.0,624.5
Serbia,TCEN,8267.0,7066.0,7666.5
Seychelles,TFR,349.0,490.0,419.5
Sierra Leone,TFR,66.0,0.0,33.0
Slovakia,TCEN,18936.0,19718.0,19327.0
Slovenia,TCEN,7663.0,8182.0,7922.5
South Africa,TFR,1350.0,1307.0,1328.5
Sri Lanka,TFR,3386.0,2793.0,3089.5
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,36333.0,0.0,18166.5
Switzerland,TCER,8696.0,8969.0,8832.5
Tajikistan,VFR,134.0,0.0,67.0
"Tanzania, United Republic of",VFR,968.0,0.0,484.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,122.0,375.0,248.5
Trinidad and Tobago,TFN,112.0,256.0,184.0
Tunisia,TFN,6262.0,8066.0,7164.0
Turkey,TFN,198959.0,0.0,99479.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,93230.0,0.0,46615.0
United Arab Emirates,THSN,9070.0,25486.0,17278.0
United Kingdom,VFR,321866.0,235956.0,278911.0
United States of America,TFR,31568.0,34088.0,32828.0
Uzbekistan,VFR,772.0,0.0,386.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
