Destination,SERIES,2018,2019,Average
Albania,VFN,1120.0,2054.0,1587.0
Algeria,VFN,573.0,218.0,395.5
Angola,TFR,1.0,8.0,4.5
Anguilla,TFR,1.0,3.0,2.0
Antigua and Barbuda,TFR,66.0,0.0,33.0
Australia,VFR,1800.0,0.0,900.0
Austria,TCER,76606.0,81092.0,78849.0
Azerbaijan,VFR,345.0,362.0,353.5
Bahamas,TFR,295.0,278.0,286.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,137.0,0.0,68.5
Belarus,VFN,351.0,307.0,329.0
Belgium,TCER,122483.0,0.0,61241.5
Benin,TFR,400.0,0.0,200.0
Bhutan,TFN,58.0,20.0,39.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,642.0,0.0,321.0
Botswana,TFR,248.0,0.0,124.0
Brazil,TFR,1969.0,1849.0,1909.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,3302.0,3484.0,3393.0
Cambodia,TFR,690.0,0.0,345.0
Canada,TFR,6220.0,0.0,3110.0
Cayman Islands,TFR,43.0,0.0,21.5
Chile,TFN,600.0,623.0,611.5
China,VFN,3186.0,0.0,1593.0
Colombia,TFR,483.0,0.0,241.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,545.0,594.0,569.5
Croatia,TCER,10752.0,10896.0,10824.0
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,0.0,0.0,0.0
Czech Republic,TCEN,5989.0,5785.0,5887.0
Dominica,TFR,11.0,0.0,5.5
Dominican Republic,TFR,1075.0,1082.0,1078.5
Ecuador,VFR,403.0,0.0,201.5
Egypt,VFN,4619.0,0.0,2309.5
El Salvador,TFN,60.0,68.0,64.0
Estonia,TCER,1496.0,0.0,748.0
Finland,TCER,3840.0,4739.0,4289.5
French Polynesia,TFR,271.0,235.0,253.0
Georgia,THSR,316.0,0.0,158.0
Germany,TCER,293848.0,307389.0,300618.5
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,8.0,24.0,16.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
