Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Armenia,TFR,41.0,0.0,20.5
Australia,VFR,9790.0,0.0,4895.0
Azerbaijan,VFR,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,46.0,38.0,42.0
Belgium,TCER,605.0,0.0,302.5
Bhutan,TFN,0.0,0.0,0.0
Botswana,TFR,26.0,0.0,13.0
Brunei Darussalam,TFN,0.0,0.0,0.0
Cambodia,TFR,640.0,0.0,320.0
Canada,TFR,2664.0,0.0,1332.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,25150834.0,0.0,12575417.0
Colombia,TFR,2.0,0.0,1.0
Costa Rica,TFN,0.0,0.0,0.0
Ecuador,VFR,27.0,0.0,13.5
Finland,TCER,626.0,694.0,660.0
Guinea,TFR,0.0,0.0,0.0
"Hong Kong, China",TFR,320994.0,273596.0,297295.0
India,TFN,56.0,0.0,28.0
Indonesia,VFN,309.0,401.0,355.0
Israel,TFR,302.0,0.0,151.0
Italy,TFN,0.0,0.0,0.0
Japan,VFN,108694.0,121197.0,114945.5
Kazakhstan,VFR,20.0,20.0,20.0
"Korea, Republic of",VFN,52831.0,52462.0,52646.5
Kuwait,VFN,7.0,0.0,3.5
Lebanon,TFN,0.0,0.0,0.0
Malaysia,TFN,19.0,12.0,15.5
Maldives,TFN,2.0,0.0,1.0
Mali,TFR,28.0,0.0,14.0
Mauritius,TFR,34.0,36.0,35.0
Mexico,TFR,135.0,0.0,67.5
Mongolia,TFN,172.0,167.0,169.5
New Zealand,VFR,3467.0,2918.0,3192.5
Nicaragua,TFN,0.0,2.0,1.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,0.0,0.0,0.0
Panama,VFR,4.0,0.0,2.0
Philippines,TFR,9336.0,8429.0,8882.5
Poland,TCER,375.0,0.0,187.5
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,13.0,5.0,9.0
Singapore,VFR,0.0,0.0,0.0
South Africa,TFR,61.0,48.0,54.5
Sri Lanka,TFR,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Turkey,TFN,631.0,0.0,315.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,22.0,0.0,11.0
United Arab Emirates,THSN,1454.0,5528.0,3491.0
United States of America,TFR,4630.0,3550.0,4090.0
