Destination,SERIES,2018,2019,Average
Albania,VFN,9.0,22.0,15.5
Angola,TFR,33.0,72.0,52.5
Antigua and Barbuda,TFR,2.0,0.0,1.0
Australia,VFR,360.0,0.0,180.0
Azerbaijan,VFR,14.0,9.0,11.5
Bahamas,TFR,3.0,10.0,6.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,13.0,9.0,11.0
Belgium,TCER,271.0,0.0,135.5
Benin,TFR,489.0,0.0,244.5
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,142.0,0.0,71.0
Bulgaria,TCER,17.0,47.0,32.0
Canada,TFR,857.0,0.0,428.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,15567.0,0.0,7783.5
Colombia,TFR,29.0,0.0,14.5
Comoros,TFN,2901.0,2469.0,2685.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,13.0,15.0,14.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,16.0,0.0,8.0
Egypt,VFN,824.0,0.0,412.0
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,19.0,12.0,15.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,2907.0,0.0,1453.5
Indonesia,VFN,555.0,492.0,523.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,271.0,0.0,135.5
Italy,TFN,673.0,8.0,340.5
Japan,VFN,325.0,434.0,379.5
Jordan,TFN,30.0,0.0,15.0
Kazakhstan,VFR,10.0,4.0,7.0
"Korea, Republic of",VFN,689.0,821.0,755.0
Kuwait,VFN,1227.0,0.0,613.5
Lebanon,TFN,428.0,409.0,418.5
Malaysia,TFN,546.0,633.0,589.5
Maldives,TFN,19.0,0.0,9.5
Mali,TFR,168.0,0.0,84.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,14365.0,15979.0,15172.0
Mexico,TFR,35.0,0.0,17.5
Mongolia,TFN,8.0,6.0,7.0
Morocco,TFN,887.0,0.0,443.5
New Zealand,VFR,27.0,47.0,37.0
Nicaragua,TFN,0.0,1.0,0.5
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,21.0,0.0,10.5
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,68.0,0.0,34.0
Reunion,TFR,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,727.0,465.0,596.0
Seychelles,TFR,796.0,774.0,785.0
Sierra Leone,TFR,10.0,0.0,5.0
South Africa,TFR,2571.0,3114.0,2842.5
Sri Lanka,TFR,97.0,207.0,152.0
Suriname,TFR,0.0,0.0,0.0
Taiwan Province of China,TCER,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,1042.0,0.0,521.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,844.0,1958.0,1401.0
Trinidad and Tobago,TFN,6.0,2.0,4.0
Turkey,TFN,420.0,0.0,210.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,31.0,0.0,15.5
United Arab Emirates,THSN,131.0,1038.0,584.5
United States of America,TFR,1495.0,1674.0,1584.5
Uzbekistan,VFR,3.0,0.0,1.5
