Destination,SERIES,2018,2019,Average
Angola,TFR,48.0,34.0,41.0
Antigua and Barbuda,TFR,0.0,0.0,0.0
Australia,VFR,8430.0,0.0,4215.0
Azerbaijan,VFR,13.0,11.0,12.0
Bahamas,TFR,8.0,5.0,6.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,3.0,1.0,2.0
Belgium,TCER,109.0,0.0,54.5
Benin,TFR,610.0,0.0,305.0
Bhutan,TFN,0.0,4.0,2.0
Botswana,TFR,9065.0,0.0,4532.5
Bulgaria,TCER,12.0,2.0,7.0
Canada,TFR,219.0,0.0,109.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,3325.0,0.0,1662.5
Colombia,TFR,20.0,0.0,10.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,17.0,29.0,23.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,3.0,0.0,1.5
Egypt,VFN,617.0,0.0,308.5
El Salvador,TFN,2.0,0.0,1.0
Eritrea,VFN,0.0,0.0,0.0
Ethiopia,TFR,6043.0,0.0,3021.5
Finland,TCER,19.0,27.0,23.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,2465.0,0.0,1232.5
Indonesia,VFN,165.0,167.0,166.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,308.0,0.0,154.0
Italy,TFN,0.0,586.0,293.0
Japan,VFN,331.0,333.0,332.0
Jordan,TFN,27.0,0.0,13.5
Kazakhstan,VFR,11.0,8.0,9.5
"Korea, Republic of",VFN,160.0,160.0,160.0
Kuwait,VFN,224.0,0.0,112.0
Lebanon,TFN,173.0,200.0,186.5
Lesotho,VFR,3331.0,3346.0,3338.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,61.0,0.0,30.5
Malaysia,TFN,288.0,296.0,292.0
Maldives,TFN,19.0,0.0,9.5
Mali,TFR,15.0,0.0,7.5
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,420.0,469.0,444.5
Mexico,TFR,38.0,0.0,19.0
Mongolia,TFN,2.0,1.0,1.5
Morocco,TFN,262.0,0.0,131.0
Mozambique,VFR,6614.0,43527.0,25070.5
New Zealand,VFR,74.0,97.0,85.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,8.0,0.0,4.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,65.0,0.0,32.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,428.0,297.0,362.5
Seychelles,TFR,115.0,92.0,103.5
Sierra Leone,TFR,23.0,0.0,11.5
South Africa,TFR,197317.0,199079.0,198198.0
Sri Lanka,TFR,34.0,40.0,37.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,45560.0,0.0,22780.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,97.0,758.0,427.5
Trinidad and Tobago,TFN,9.0,11.0,10.0
Turkey,TFN,256.0,0.0,128.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,29.0,0.0,14.5
United Arab Emirates,THSN,486.0,2863.0,1674.5
United States of America,TFR,2384.0,2028.0,2206.0
Uzbekistan,VFR,1.0,0.0,0.5
Zambia,TFR,0.0,0.0,0.0
Zimbabwe,VFR,398561.0,0.0,199280.5
