Destination,SERIES,2018,2019,Average
Albania,VFN,8428.0,6368.0,7398.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,385.0,466.0,425.5
Antigua and Barbuda,TFR,29.0,0.0,14.5
Argentina,TFR,3233.0,0.0,1616.5
Armenia,TFR,538.0,0.0,269.0
Australia,VFR,401040.0,0.0,200520.0
Azerbaijan,VFR,1483.0,2300.0,1891.5
Bahamas,TFR,105.0,194.0,149.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,78.0,0.0,39.0
Belarus,VFN,394.0,484.0,439.0
Belgium,TCER,10629.0,0.0,5314.5
Benin,TFR,275.0,0.0,137.5
Bhutan,TFN,3140.0,2761.0,2950.5
Bosnia and Herzegovina,TCER,18779.0,0.0,9389.5
Botswana,TFR,570.0,0.0,285.0
Brazil,TFR,4818.0,3301.0,4059.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,59981.0,82876.0,71428.5
Bulgaria,TCER,4927.0,4399.0,4663.0
Cambodia,TFR,201116.0,0.0,100558.0
Canada,TFR,11158.0,0.0,5579.0
Cayman Islands,TFR,21.0,0.0,10.5
Chile,TFN,1639.0,1965.0,1802.0
China,VFN,1290744.0,0.0,645372.0
Colombia,TFR,756.0,0.0,378.0
Congo,THSR,524.0,0.0,262.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,459.0,554.0,506.5
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,3.0,0.0,1.5
Ecuador,VFR,412.0,0.0,206.0
Egypt,VFN,32302.0,0.0,16151.0
El Salvador,TFN,39.0,32.0,35.5
Eritrea,VFN,0.0,0.0,0.0
Fiji,TFR,0.0,0.0,0.0
Finland,TCER,14476.0,15016.0,14746.0
French Polynesia,TFR,111.0,137.0,124.0
Grenada,TFN,9.0,25.0,17.0
Guam,TFR,363.0,399.0,381.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,391708.0,275939.0,333823.5
India,TFN,319172.0,0.0,159586.0
Indonesia,VFN,2503344.0,2980753.0,2742048.5
"Iran, Islamic Republic of",VFN,4938.0,0.0,2469.0
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,13736.0,0.0,6868.0
Italy,TFN,30255.0,20095.0,25175.0
Japan,VFN,468360.0,501592.0,484976.0
Jordan,TFN,17113.0,0.0,8556.5
Kazakhstan,VFR,7571.0,6835.0,7203.0
"Korea, Republic of",VFN,382929.0,408590.0,395759.5
Kuwait,VFN,5515.0,0.0,2757.5
Kyrgyzstan,VFR,860.0,0.0,430.0
Lao People's Democratic Republic,VFN,26002.0,28321.0,27161.5
Latvia,TCER,1173.0,1866.0,1519.5
Lebanon,TFN,3096.0,3538.0,3317.0
Libya,VFN,0.0,0.0,0.0
"Macao, China",THSR,110901.0,107026.0,108963.5
Madagascar,TFN,108.0,0.0,54.0
Maldives,TFN,22202.0,0.0,11101.0
Mali,TFR,27.0,0.0,13.5
Mauritius,TFR,2264.0,2045.0,2154.5
Mexico,TFR,3244.0,0.0,1622.0
Mongolia,TFN,1731.0,2062.0,1896.5
Morocco,TFN,9717.0,0.0,4858.5
Myanmar,TFN,47632.0,44203.0,45917.5
Nepal,TFN,22770.0,21329.0,22049.5
New Zealand,VFR,56430.0,41779.0,49104.5
Nicaragua,TFN,70.0,94.0,82.0
Nigeria,VFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,11972.0,13315.0,12643.5
Oman,VFR,546.0,0.0,273.0
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,155.0,0.0,77.5
Panama,VFR,502.0,0.0,251.0
Papua New Guinea,VFR,5776.0,6878.0,6327.0
Paraguay,TFN,9.0,0.0,4.5
Peru,TFR,2307.0,0.0,1153.5
Philippines,TFR,145246.0,139882.0,142564.0
Poland,TCER,4240.0,0.0,2120.0
Portugal,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,76.0,0.0,38.0
Saudi Arabia,TFN,320109.0,314446.0,317277.5
Seychelles,TFR,185.0,204.0,194.5
Sierra Leone,TFR,158.0,0.0,79.0
Singapore,VFR,1254022.0,1220730.0,1237376.0
South Africa,TFR,7460.0,9295.0,8377.5
Sri Lanka,TFR,22808.0,16861.0,19834.5
Suriname,TFR,0.0,0.0,0.0
Syrian Arab Republic,VFN,194.0,141.0,167.5
Taiwan Province of China,TCER,486262.0,497470.0,491866.0
Tajikistan,VFR,182.0,0.0,91.0
"Tanzania, United Republic of",VFR,1838.0,0.0,919.0
Thailand,TFR,4042998.0,0.0,2021499.0
Timor-Leste,TFR,1441.0,1386.0,1413.5
Togo,THSR,354.0,525.0,439.5
Trinidad and Tobago,TFN,357.0,303.0,330.0
Turkey,TFN,95384.0,0.0,47692.0
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,754.0,0.0,377.0
United Arab Emirates,THSN,15131.0,62802.0,38966.5
United Kingdom,VFR,238980.0,209550.0,224265.0
United States of America,TFR,87881.0,86914.0,87397.5
Uzbekistan,VFR,2768.0,0.0,1384.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,540119.0,606206.0,573162.5
Yemen,TFN,0.0,0.0,0.0
Zimbabwe,VFR,5030.0,0.0,2515.0
