Destination,SERIES,2018,2019,Average
Albania,VFN,31.0,0.0,15.5
Angola,TFR,0.0,6.0,3.0
Australia,VFR,990.0,0.0,495.0
Azerbaijan,VFR,27.0,32.0,29.5
Bahamas,TFR,0.0,3.0,1.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,181.0,227.0,204.0
Belgium,TCER,199.0,0.0,99.5
Bhutan,TFN,0.0,13.0,6.5
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,5.0,2.0,3.5
Canada,TFR,81.0,0.0,40.5
Cayman Islands,TFR,0.0,0.0,0.0
Chile,TFN,2.0,13.0,7.5
China,VFN,4905.0,0.0,2452.5
Colombia,TFR,4.0,0.0,2.0
Costa Rica,TFN,7.0,15.0,11.0
Cuba,VFR,0.0,0.0,0.0
Ecuador,VFR,5.0,0.0,2.5
Egypt,VFN,181.0,0.0,90.5
El Salvador,TFN,0.0,0.0,0.0
Finland,TCER,29.0,84.0,56.5
Guinea,TFR,0.0,0.0,0.0
India,TFN,62337.0,0.0,31168.5
Indonesia,VFN,2559.0,2845.0,2702.0
"Iran, Islamic Republic of",VFN,10.0,0.0,5.0
Israel,TFR,52.0,0.0,26.0
Italy,TFN,6332.0,284.0,3308.0
Japan,VFN,454.0,526.0,490.0
Jordan,TFN,327.0,0.0,163.5
Kazakhstan,VFR,37.0,31.0,34.0
"Korea, Republic of",VFN,233.0,298.0,265.5
Kuwait,VFN,71.0,0.0,35.5
Lebanon,TFN,11.0,29.0,20.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,0.0,0.0,0.0
Malaysia,TFN,21691.0,27403.0,24547.0
Mali,TFR,4.0,0.0,2.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,51.0,312.0,181.5
Mexico,TFR,11.0,0.0,5.5
Mongolia,TFN,10.0,32.0,21.0
Morocco,TFN,97.0,0.0,48.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,127.0,185.0,156.0
Nicaragua,TFN,0.0,3.0,1.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,47.0,0.0,23.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,47.0,0.0,23.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,7450.0,7979.0,7714.5
Seychelles,TFR,105.0,124.0,114.5
South Africa,TFR,53.0,77.0,65.0
Sri Lanka,TFR,76108.0,60278.0,68193.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,133.0,0.0,66.5
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,4.0,4.0,4.0
Turkey,TFN,957.0,0.0,478.5
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,141.0,0.0,70.5
United Arab Emirates,THSN,701.0,1323.0,1012.0
United States of America,TFR,281.0,379.0,330.0
Uzbekistan,VFR,7.0,0.0,3.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
