Destination,SERIES,2018,2019,Average
Albania,VFN,13.0,31.0,22.0
Algeria,VFN,21731.0,21720.0,21725.5
Angola,TFR,573.0,757.0,665.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Armenia,TFR,50.0,0.0,25.0
Australia,VFR,130.0,0.0,65.0
Azerbaijan,VFR,25.0,26.0,25.5
Bahamas,TFR,4.0,12.0,8.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,1.0,0.0,0.5
Belarus,VFN,38.0,19.0,28.5
Belgium,TCER,909.0,0.0,454.5
Benin,TFR,4522.0,0.0,2261.0
Bhutan,TFN,0.0,1.0,0.5
Botswana,TFR,27.0,0.0,13.5
Bulgaria,TCER,50.0,53.0,51.5
Burkina Faso,THSR,9203.0,0.0,4601.5
Canada,TFR,1055.0,0.0,527.5
Cayman Islands,TFR,0.0,0.0,0.0
Central African Republic,TFN,0.0,0.0,0.0
China,VFN,4868.0,0.0,2434.0
Colombia,TFR,12.0,0.0,6.0
Congo,THSR,1510.0,0.0,755.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,3.0,12.0,7.5
Ecuador,VFR,12.0,0.0,6.0
Egypt,VFN,950.0,0.0,475.0
Ethiopia,TFR,4246.0,0.0,2123.0
Finland,TCER,915.0,763.0,839.0
Ghana,TFN,0.0,0.0,0.0
Grenada,TFN,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,829.0,0.0,414.5
Indonesia,VFN,397.0,278.0,337.5
"Iran, Islamic Republic of",VFN,94.0,0.0,47.0
Israel,TFR,260.0,0.0,130.0
Italy,TFN,315.0,1299.0,807.0
Japan,VFN,151.0,233.0,192.0
Jordan,TFN,26.0,0.0,13.0
Kazakhstan,VFR,15.0,9.0,12.0
"Korea, Republic of",VFN,203.0,250.0,226.5
Kuwait,VFN,1471.0,0.0,735.5
Lebanon,TFN,242.0,241.0,241.5
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,126.0,0.0,63.0
Malaysia,TFN,142.0,125.0,133.5
Maldives,TFN,18.0,0.0,9.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,44.0,53.0,48.5
Mexico,TFR,98.0,0.0,49.0
Mongolia,TFN,5.0,4.0,4.5
Morocco,TFN,29902.0,0.0,14951.0
New Zealand,VFR,88.0,81.0,84.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Oman,VFR,205.0,0.0,102.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,21.0,0.0,10.5
Paraguay,TFN,1.0,0.0,0.5
Poland,TCER,69.0,0.0,34.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,11615.0,4001.0,7808.0
Senegal,THSN,0.0,0.0,0.0
Seychelles,TFR,15.0,10.0,12.5
Sierra Leone,TFR,168.0,0.0,84.0
South Africa,TFR,1418.0,1142.0,1280.0
Sri Lanka,TFR,17.0,19.0,18.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,199.0,0.0,99.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,8603.0,12510.0,10556.5
Trinidad and Tobago,TFN,4.0,1.0,2.5
Turkey,TFN,2886.0,0.0,1443.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,34.0,0.0,17.0
United Arab Emirates,THSN,456.0,3734.0,2095.0
United States of America,TFR,3777.0,3788.0,3782.5
Uzbekistan,VFR,1.0,0.0,0.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
