Destination,SERIES,2018,2019,Average
Albania,VFN,1176.0,3613.0,2394.5
Angola,TFR,44.0,28.0,36.0
Antigua and Barbuda,TFR,71.0,0.0,35.5
Armenia,TFR,137.0,0.0,68.5
Australia,VFR,2830.0,0.0,1415.0
Austria,TCER,15257.0,14844.0,15050.5
Azerbaijan,VFR,174.0,187.0,180.5
Bahamas,TFR,243.0,251.0,247.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,79.0,0.0,39.5
Belarus,VFN,263.0,262.0,262.5
Belgium,TCER,10222.0,0.0,5111.0
Bhutan,TFN,22.0,35.0,28.5
Bosnia and Herzegovina,TCER,553.0,0.0,276.5
Botswana,TFR,63.0,0.0,31.5
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,3805.0,2153.0,2979.0
Cambodia,TFR,439.0,0.0,219.5
Canada,TFR,2436.0,0.0,1218.0
Cayman Islands,TFR,19.0,0.0,9.5
Chile,TFN,180.0,229.0,204.5
China,VFN,2239.0,0.0,1119.5
Colombia,TFR,225.0,0.0,112.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,153.0,176.0,164.5
Croatia,TCER,3714.0,3253.0,3483.5
Cuba,VFR,0.0,0.0,0.0
Cyprus,TFR,5630.0,0.0,2815.0
Czech Republic,TCEN,5303.0,5985.0,5644.0
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,84.0,0.0,42.0
Egypt,VFN,1367.0,0.0,683.5
El Salvador,TFN,14.0,8.0,11.0
Estonia,TCER,1117.0,0.0,558.5
Finland,TCER,1696.0,2149.0,1922.5
Germany,TCER,26276.0,27658.0,26967.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,13.0,27.0,20.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,17.0,23.0,20.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,1596.0,0.0,798.0
Indonesia,VFN,1279.0,1355.0,1317.0
Israel,TFR,2111.0,0.0,1055.5
Italy,TFN,126450.0,92760.0,109605.0
Japan,VFN,1208.0,1575.0,1391.5
Jordan,TFN,417.0,0.0,208.5
Kazakhstan,VFR,146.0,220.0,183.0
"Korea, Republic of",VFN,425.0,594.0,509.5
Kuwait,VFN,257.0,0.0,128.5
Latvia,TCER,1851.0,1876.0,1863.5
Lebanon,TFN,453.0,393.0,423.0
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,69.0,60.0,64.5
Luxembourg,TCER,691.0,0.0,345.5
Madagascar,TFN,1.0,0.0,0.5
Malaysia,TFN,846.0,765.0,805.5
Maldives,TFN,578.0,0.0,289.0
Mali,TFR,15.0,0.0,7.5
Mauritius,TFR,294.0,368.0,331.0
Mexico,TFR,531.0,0.0,265.5
Mongolia,TFN,16.0,26.0,21.0
Montenegro,TCEN,881.0,0.0,440.5
Morocco,TFN,3722.0,0.0,1861.0
New Zealand,VFR,549.0,601.0,575.0
Nicaragua,TFN,20.0,14.0,17.0
Nigeria,VFN,0.0,0.0,0.0
North Macedonia,TCEN,1516.0,2084.0,1800.0
Norway,TCER,1633.0,2167.0,1900.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,71.0,0.0,35.5
Paraguay,TFN,8.0,0.0,4.0
Poland,TCER,5868.0,0.0,2934.0
Romania,TCER,2102.0,2458.0,2280.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,414.0,0.0,207.0
Saudi Arabia,TFN,387.0,574.0,480.5
Serbia,TCEN,1969.0,2716.0,2342.5
Seychelles,TFR,178.0,193.0,185.5
Sierra Leone,TFR,5.0,0.0,2.5
Slovakia,TCEN,2264.0,3025.0,2644.5
Slovenia,TCEN,6960.0,6899.0,6929.5
South Africa,TFR,1014.0,941.0,977.5
Sri Lanka,TFR,509.0,713.0,611.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,3427.0,0.0,1713.5
Switzerland,TCER,6467.0,6391.0,6429.0
"Tanzania, United Republic of",VFR,595.0,0.0,297.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,13.0,90.0,51.5
Trinidad and Tobago,TFN,26.0,28.0,27.0
Tunisia,TFN,2235.0,2407.0,2321.0
Turkey,TFN,6732.0,0.0,3366.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,1193.0,0.0,596.5
United Arab Emirates,THSN,743.0,2911.0,1827.0
United Kingdom,VFR,111271.0,189764.0,150517.5
United States of America,TFR,7501.0,8583.0,8042.0
Uzbekistan,VFR,39.0,0.0,19.5
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
