Destination,SERIES,2018,2019,Average
Armenia,TFR,1.0,0.0,0.5
Australia,VFR,80.0,0.0,40.0
Bahamas,TFR,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,0.0,0.0,0.0
Belgium,TCER,26.0,0.0,13.0
Bulgaria,TCER,0.0,0.0,0.0
Canada,TFR,75.0,0.0,37.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,338.0,0.0,169.0
Colombia,TFR,1.0,0.0,0.5
Costa Rica,TFN,5.0,5.0,5.0
Ecuador,VFR,1.0,0.0,0.5
Guam,TFR,1629.0,1635.0,1632.0
Indonesia,VFN,46.0,27.0,36.5
Japan,VFN,288.0,290.0,289.0
Kiribati,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,91.0,72.0,81.5
Kuwait,VFN,0.0,0.0,0.0
Malaysia,TFN,73.0,68.0,70.5
Maldives,TFN,1.0,0.0,0.5
Mali,TFR,1.0,0.0,0.5
Mauritius,TFR,1.0,1.0,1.0
Mexico,TFR,10.0,0.0,5.0
Mongolia,TFN,5.0,2.0,3.5
New Zealand,VFR,118.0,89.0,103.5
Palau,TFN,156.0,0.0,78.0
Poland,TCER,0.0,0.0,0.0
Russian Federation,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,1.0,0.5
Seychelles,TFR,0.0,0.0,0.0
South Africa,TFR,2.0,0.0,1.0
Sri Lanka,TFR,4.0,2.0,3.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1.0,1.0,1.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,12.0,196.0,104.0
United States of America,TFR,97.0,154.0,125.5
Uzbekistan,VFR,30.0,0.0,15.0
