Destination,SERIES,2018,2019,Average
Angola,TFR,0.0,0.0,0.0
Antigua and Barbuda,TFR,160.0,0.0,80.0
Australia,VFR,50.0,0.0,25.0
Bahamas,TFR,99.0,73.0,86.0
Barbados,TFR,2028.0,0.0,1014.0
Belgium,TCER,241.0,0.0,120.5
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,0.0,0.0,0.0
British Virgin Islands,TFR,0.0,0.0,0.0
Canada,TFR,1551.0,0.0,775.5
Cayman Islands,TFR,9.0,0.0,4.5
Colombia,TFR,16.0,0.0,8.0
Costa Rica,TFN,0.0,0.0,0.0
Cuba,VFR,0.0,0.0,0.0
Dominica,TFR,3006.0,0.0,1503.0
Dominican Republic,TFR,1778.0,1829.0,1803.5
Ecuador,VFR,19.0,0.0,9.5
Finland,TCER,1.0,2.0,1.5
French Guiana,TFR,0.0,0.0,0.0
Grenada,TFN,158.0,182.0,170.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,67.0,70.0,68.5
Haiti,TFR,0.0,105.0,52.5
Honduras,TFN,0.0,0.0,0.0
India,TFN,0.0,0.0,0.0
Indonesia,VFN,6.0,1.0,3.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,0.0,0.0,0.0
"Korea, Republic of",VFN,0.0,0.0,0.0
Kuwait,VFN,0.0,0.0,0.0
Malaysia,TFN,0.0,0.0,0.0
Mali,TFR,3.0,0.0,1.5
Mauritius,TFR,50.0,37.0,43.5
Mexico,TFR,18.0,0.0,9.0
Morocco,TFN,13.0,0.0,6.5
New Zealand,VFR,35.0,17.0,26.0
Nicaragua,TFN,0.0,0.0,0.0
Panama,VFR,1.0,0.0,0.5
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,73.0,0.0,36.5
Russian Federation,VFN,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,28805.0,0.0,14402.5
Saudi Arabia,TFN,4.0,0.0,2.0
Seychelles,TFR,11.0,13.0,12.0
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,1.0,1.0,1.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,10.0,0.0,5.0
United States of America,TFR,7839.0,7101.0,7470.0
