Destination,SERIES,2018,2019,Average
Algeria,VFN,17061.0,12013.0,14537.0
Angola,TFR,1157.0,1127.0,1142.0
Antigua and Barbuda,TFR,4.0,0.0,2.0
Armenia,TFR,11.0,0.0,5.5
Australia,VFR,70.0,0.0,35.0
Azerbaijan,VFR,29.0,27.0,28.0
Bahamas,TFR,1.0,0.0,0.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,0.0,0.0,0.0
Belarus,VFN,5.0,9.0,7.0
Belgium,TCER,424.0,0.0,212.0
Benin,TFR,344.0,0.0,172.0
Bhutan,TFN,12.0,1.0,6.5
Botswana,TFR,20.0,0.0,10.0
Bulgaria,TCER,11.0,8.0,9.5
Burkina Faso,THSR,825.0,0.0,412.5
Canada,TFR,199.0,0.0,99.5
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,2352.0,0.0,1176.0
Colombia,TFR,5.0,0.0,2.5
Congo,THSR,273.0,0.0,136.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,3.0,2.0,2.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,6.0,0.0,3.0
Egypt,VFN,1530.0,0.0,765.0
Finland,TCER,50.0,51.0,50.5
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
Honduras,TFN,0.0,0.0,0.0
India,TFN,206.0,0.0,103.0
Indonesia,VFN,192.0,158.0,175.0
"Iran, Islamic Republic of",VFN,59.0,0.0,29.5
Israel,TFR,0.0,0.0,0.0
Italy,TFN,157.0,1344.0,750.5
Japan,VFN,64.0,94.0,79.0
Jordan,TFN,8.0,0.0,4.0
Kazakhstan,VFR,9.0,3.0,6.0
"Korea, Republic of",VFN,44.0,47.0,45.5
Kuwait,VFN,512.0,0.0,256.0
Latvia,TCER,17.0,21.0,19.0
Lebanon,TFN,307.0,281.0,294.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,171.0,0.0,85.5
Malaysia,TFN,313.0,311.0,312.0
Maldives,TFN,12.0,0.0,6.0
Mali,TFR,2624.0,0.0,1312.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,46.0,56.0,51.0
Mexico,TFR,30.0,0.0,15.0
Mongolia,TFN,2.0,6.0,4.0
Morocco,TFN,51796.0,0.0,25898.0
New Zealand,VFR,50.0,1.0,25.5
Nicaragua,TFN,0.0,0.0,0.0
Nigeria,VFN,0.0,0.0,0.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,2.0,0.0,1.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,68.0,0.0,34.0
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,7402.0,6309.0,6855.5
Seychelles,TFR,12.0,5.0,8.5
Sierra Leone,TFR,12.0,0.0,6.0
South Africa,TFR,212.0,234.0,223.0
Sri Lanka,TFR,3.0,29.0,16.0
Suriname,TFR,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,77.0,0.0,38.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,1398.0,1485.0,1441.5
Trinidad and Tobago,TFN,1.0,1.0,1.0
Tunisia,TFN,20109.0,20100.0,20104.5
Turkey,TFN,2714.0,0.0,1357.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,52.0,0.0,26.0
United Arab Emirates,THSN,2660.0,0.0,1330.0
United States of America,TFR,703.0,1265.0,984.0
Uzbekistan,VFR,2.0,0.0,1.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Yemen,TFN,0.0,0.0,0.0
