Destination,SERIES,2018,2019,Average
Albania,VFN,54.0,92.0,73.0
Angola,TFR,85.0,35.0,60.0
Antigua and Barbuda,TFR,1.0,0.0,0.5
Australia,VFR,280.0,0.0,140.0
Azerbaijan,VFR,67.0,71.0,69.0
Bahamas,TFR,58.0,55.0,56.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,19.0,0.0,9.5
Belarus,VFN,26.0,23.0,24.5
Belgium,TCER,654.0,0.0,327.0
Benin,TFR,36.0,0.0,18.0
Bhutan,TFN,0.0,19.0,9.5
Botswana,TFR,847.0,0.0,423.5
Bulgaria,TCER,143.0,103.0,123.0
Canada,TFR,3090.0,0.0,1545.0
Cayman Islands,TFR,8.0,0.0,4.0
China,VFN,22787.0,0.0,11393.5
Colombia,TFR,47.0,0.0,23.5
Comoros,TFN,224.0,288.0,256.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,57.0,67.0,62.0
Dominica,TFR,2.0,0.0,1.0
Ecuador,VFR,21.0,0.0,10.5
Egypt,VFN,854.0,0.0,427.0
Eritrea,VFN,0.0,0.0,0.0
Finland,TCER,95.0,88.0,91.5
Grenada,TFN,3.0,0.0,1.5
Guinea,TFR,0.0,0.0,0.0
Guyana,TFR,0.0,0.0,0.0
India,TFN,42096.0,0.0,21048.0
Indonesia,VFN,3953.0,4434.0,4193.5
Iraq,VFN,0.0,0.0,0.0
Israel,TFR,1355.0,0.0,677.5
Italy,TFN,420.0,2770.0,1595.0
Japan,VFN,1575.0,1866.0,1720.5
Jordan,TFN,1020.0,0.0,510.0
Kazakhstan,VFR,30.0,32.0,31.0
"Korea, Republic of",VFN,1086.0,1418.0,1252.0
Kuwait,VFN,149.0,0.0,74.5
Lebanon,TFN,161.0,120.0,140.5
Lesotho,VFR,917.0,1131.0,1024.0
Libya,VFN,0.0,0.0,0.0
Madagascar,TFN,5448.0,0.0,2724.0
Malaysia,TFN,16686.0,17378.0,17032.0
Maldives,TFN,312.0,0.0,156.0
Mali,TFR,70.0,0.0,35.0
Malta,TFR,0.0,0.0,0.0
Mexico,TFR,155.0,0.0,77.5
Mongolia,TFN,30.0,15.0,22.5
Morocco,TFN,1023.0,0.0,511.5
Nepal,TFN,0.0,0.0,0.0
New Zealand,VFR,561.0,577.0,569.0
Nicaragua,TFN,7.0,4.0,5.5
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,88.0,0.0,44.0
Paraguay,TFN,0.0,0.0,0.0
Poland,TCER,149.0,0.0,74.5
Reunion,TFR,30506.0,25291.0,27898.5
Russian Federation,VFN,0.0,0.0,0.0
Rwanda,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,7477.0,7526.0,7501.5
Seychelles,TFR,3581.0,4144.0,3862.5
Singapore,VFR,14099.0,13096.0,13597.5
South Africa,TFR,19928.0,21934.0,20931.0
Sri Lanka,TFR,720.0,739.0,729.5
Suriname,TFR,0.0,0.0,0.0
Taiwan Province of China,TCER,0.0,0.0,0.0
"Tanzania, United Republic of",VFR,2603.0,0.0,1301.5
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,39.0,3008.0,1523.5
Trinidad and Tobago,TFN,22.0,10.0,16.0
Turkey,TFN,5998.0,0.0,2999.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,163.0,0.0,81.5
United Arab Emirates,THSN,2004.0,12357.0,7180.5
United States of America,TFR,4473.0,5131.0,4802.0
Uzbekistan,VFR,15.0,0.0,7.5
Zimbabwe,VFR,3113.0,0.0,1556.5
