Destination,SERIES,2018,2019,Average
Albania,VFN,1481.0,1776.0,1628.5
Algeria,VFN,747.0,703.0,725.0
American Samoa,TFN,0.0,0.0,0.0
Angola,TFR,439.0,269.0,354.0
Antigua and Barbuda,TFR,233.0,0.0,116.5
Argentina,TFR,92535.0,0.0,46267.5
Armenia,TFR,475.0,0.0,237.5
Aruba,TFR,1480.0,0.0,740.0
Australia,VFR,11880.0,0.0,5940.0
Austria,TCER,0.0,0.0,0.0
Azerbaijan,VFR,622.0,762.0,692.0
Bahamas,TFR,5533.0,5738.0,5635.5
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,728.0,0.0,364.0
Belarus,VFN,1293.0,709.0,1001.0
Belgium,TCER,42111.0,0.0,21055.5
Belize,TFN,6808.0,0.0,3404.0
Benin,TFR,612.0,0.0,306.0
Bhutan,TFN,406.0,375.0,390.5
"Bolivia, Plurinational State of",TFN,13938.0,0.0,6969.0
Bonaire,TFR,0.0,0.0,0.0
Botswana,TFR,711.0,0.0,355.5
Brazil,TFR,79891.0,82921.0,81406.0
British Virgin Islands,TFR,0.0,0.0,0.0
Bulgaria,TCER,3111.0,2918.0,3014.5
Cambodia,TFR,8705.0,0.0,4352.5
Canada,TFR,404402.0,0.0,202201.0
Cayman Islands,TFR,583.0,0.0,291.5
Chile,TFN,50170.0,49989.0,50079.5
China,VFN,92546.0,0.0,46273.0
Colombia,TFR,182014.0,0.0,91007.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,98918.0,97173.0,98045.5
Cuba,VFR,171555.0,0.0,85777.5
Czech Republic,TCEN,44003.0,45186.0,44594.5
Dominica,TFR,78.0,0.0,39.0
Dominican Republic,TFR,40445.0,49450.0,44947.5
Ecuador,VFR,30683.0,0.0,15341.5
Egypt,VFN,13281.0,0.0,6640.5
El Salvador,TFN,37100.0,52186.0,44643.0
Finland,TCER,4510.0,4871.0,4690.5
France,TFR,688050.0,0.0,344025.0
French Polynesia,TFR,930.0,961.0,945.5
Georgia,THSR,134.0,0.0,67.0
Germany,TCER,0.0,0.0,0.0
Greece,TFR,0.0,0.0,0.0
Grenada,TFN,142.0,235.0,188.5
Guatemala,VFR,104710.0,0.0,52355.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,402.0,524.0,463.0
