Destination,SERIES,2018,2019,Average
American Samoa,TFN,0.0,0.0,0.0
Australia,VFR,140.0,0.0,70.0
Bahamas,TFR,1.0,1.0,1.0
Barbados,TFR,0.0,0.0,0.0
Belgium,TCER,40.0,0.0,20.0
Bulgaria,TCER,0.0,5.0,2.5
Canada,TFR,66.0,0.0,33.0
Cayman Islands,TFR,0.0,0.0,0.0
China,VFN,228.0,0.0,114.0
Colombia,TFR,2.0,0.0,1.0
Costa Rica,TFN,6.0,3.0,4.5
Dominica,TFR,0.0,0.0,0.0
Ecuador,VFR,18.0,0.0,9.0
Finland,TCER,9.0,1.0,5.0
Guam,TFR,14422.0,14761.0,14591.5
Indonesia,VFN,42.0,11.0,26.5
Israel,TFR,11.0,0.0,5.5
Italy,TFN,0.0,0.0,0.0
Japan,VFN,607.0,609.0,608.0
"Korea, Republic of",VFN,242.0,426.0,334.0
Malaysia,TFN,15.0,19.0,17.0
Maldives,TFN,1.0,0.0,0.5
Marshall Islands,TFR,0.0,0.0,0.0
Mauritius,TFR,1.0,1.0,1.0
Mexico,TFR,28.0,0.0,14.0
Mongolia,TFN,0.0,0.0,0.0
New Zealand,VFR,113.0,60.0,86.5
Nicaragua,TFN,0.0,0.0,0.0
Northern Mariana Islands,VFN,1463.0,0.0,731.5
Palau,TFN,556.0,0.0,278.0
Panama,VFR,14.0,0.0,7.0
Poland,TCER,41.0,0.0,20.5
Russian Federation,VFN,0.0,0.0,0.0
San Marino,VFN,0.0,0.0,0.0
Saudi Arabia,TFN,0.0,0.0,0.0
Seychelles,TFR,0.0,0.0,0.0
South Africa,TFR,10.0,3.0,6.5
Sri Lanka,TFR,3.0,2.0,2.5
Suriname,TFR,0.0,0.0,0.0
Thailand,TFR,0.0,0.0,0.0
Trinidad and Tobago,TFN,0.0,0.0,0.0
Turkey,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,0.0,0.0,0.0
United Arab Emirates,THSN,66.0,125.0,95.5
United States of America,TFR,667.0,598.0,632.5
Uzbekistan,VFR,0.0,0.0,0.0
