Destination,SERIES,2018,2019,Average
Albania,VFN,1830.0,2465.0,2147.5
Angola,TFR,0.0,15.0,7.5
Australia,VFR,130.0,0.0,65.0
Azerbaijan,VFR,3568.0,3397.0,3482.5
Bahamas,TFR,49.0,53.0,51.0
Barbados,TFR,4.0,0.0,2.0
Belarus,VFN,77928.0,75662.0,76795.0
Belgium,TCER,1633.0,0.0,816.5
Bhutan,TFN,2.0,7.0,4.5
Botswana,TFR,10.0,0.0,5.0
Bulgaria,TCER,61782.0,93529.0,77655.5
Canada,TFR,1811.0,0.0,905.5
Cayman Islands,TFR,2.0,0.0,1.0
Chile,TFN,74.0,61.0,67.5
China,VFN,3897.0,0.0,1948.5
Colombia,TFR,38.0,0.0,19.0
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Costa Rica,TFN,62.0,68.0,65.0
Ecuador,VFR,31.0,0.0,15.5
Egypt,VFN,21962.0,0.0,10981.0
Finland,TCER,544.0,395.0,469.5
Georgia,THSR,1223.0,0.0,611.5
Grenada,TFN,3.0,3.0,3.0
Guinea,TFR,0.0,0.0,0.0
India,TFN,843.0,0.0,421.5
Indonesia,VFN,835.0,1135.0,985.0
Israel,TFR,11044.0,0.0,5522.0
Italy,TFN,195513.0,143470.0,169491.5
Japan,VFN,287.0,345.0,316.0
Jordan,TFN,22.0,0.0,11.0
Kazakhstan,VFR,12629.0,11913.0,12271.0
"Korea, Republic of",VFN,342.0,399.0,370.5
Kuwait,VFN,55.0,0.0,27.5
Kyrgyzstan,VFR,2788.0,0.0,1394.0
Latvia,TCER,1990.0,1419.0,1704.5
Lebanon,TFN,1165.0,1076.0,1120.5
Madagascar,TFN,7.0,0.0,3.5
Malaysia,TFN,394.0,487.0,440.5
Maldives,TFN,550.0,0.0,275.0
Mali,TFR,4.0,0.0,2.0
Malta,TFR,0.0,0.0,0.0
Mauritius,TFR,96.0,109.0,102.5
Mexico,TFR,313.0,0.0,156.5
Mongolia,TFN,46.0,62.0,54.0
Morocco,TFN,262.0,0.0,131.0
New Zealand,VFR,36.0,64.0,50.0
Nicaragua,TFN,10.0,5.0,7.5
Norway,TCER,623.0,723.0,673.0
Pakistan,TFN,0.0,0.0,0.0
Panama,VFR,61.0,0.0,30.5
Paraguay,TFN,6.0,0.0,3.0
Poland,TCER,7425.0,0.0,3712.5
Romania,TCER,68507.0,64076.0,66291.5
Russian Federation,VFN,457572.0,0.0,228786.0
Rwanda,VFN,0.0,0.0,0.0
San Marino,VFN,294.0,0.0,147.0
Saudi Arabia,TFN,0.0,156.0,78.0
Seychelles,TFR,110.0,138.0,124.0
Sierra Leone,TFR,15.0,0.0,7.5
Slovakia,TCEN,1402.0,2227.0,1814.5
South Africa,TFR,167.0,150.0,158.5
Sri Lanka,TFR,452.0,449.0,450.5
Suriname,TFR,0.0,0.0,0.0
Tajikistan,VFR,1010.0,0.0,505.0
"Tanzania, United Republic of",VFR,52.0,0.0,26.0
Thailand,TFR,0.0,0.0,0.0
Togo,THSR,6.0,203.0,104.5
Trinidad and Tobago,TFN,5.0,3.0,4.0
Turkey,TFN,194197.0,0.0,97098.5
Turkmenistan,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,4398556.0,0.0,2199278.0
United Arab Emirates,THSN,1596.0,3402.0,2499.0
United States of America,TFR,8653.0,9990.0,9321.5
Uzbekistan,VFR,5470.0,0.0,2735.0
